main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owners,operators,operation_periods,company_URL,facility_URL,MDO_URL,source_id,ore_type,mining_method,mining_submethod
BC-MAIN-599152a0,Copper Mountain,nan,,CMP-12afc634,Hudbay Minerals Inc,Princeton,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,,Sulfide,Concentrator,
BC-MAIN-6b4800fe,Gibraltar,nan,,CMP-e35f138c,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel
BC-MAIN-857b7b89,Brucejack,nan,,CMP-4a434d72,Newmont Corporation,Stewart,British Columbia,active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel
BC-MAIN-8eb8be0d,Red Chris,nan,,CMP-4a434d72,Newmont Corporation,Kinaskan Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Gold, copper, silver",Orla Mining Ltd (100%),,2015–open,x,x,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,,Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping
BC-MAIN-aa76f6f2,New Afton,nan,,CMP-d94be190,New Gold Inc,Kamloops,British Columbia,active_facility,,,mining,"Underground, concentrator",Base metals and precious metals,"Gold, copper, silver",New Gold Inc (100%),,2012–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#new-afton-mine,https://miningdataonline.com/property/11/new-afton-mine.aspx,,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving
BC-MAIN-ed23117f,Mount Milligan,nan,,CMP-fa032e20,Centerra Gold Inc,Fort St. James,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals and precious metals,"Copper, gold, silver",Centerra Gold Inc (100%),Thompson Creek Metals Company Inc,2014–open,https://www.centerragold.com/,https://www.centerragold.com/operations/mount-milligan/,https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx,,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel
ON-MAIN-0aadf28f,Rainy River,nan,,CMP-d94be190,New Gold Inc,Fort Frances,Ontario,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,"Gold, silver",New Gold Inc (100%),,2017–open,https://newgold.com/home/default.aspx,https://newgold.com/assets/#rainy-river-mine,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping"
ON-MAIN-1c674cd0,Borden,GRP-0d911886,Porcupine complex,CMP-4a434d72,Newmont Corporation,Chapleau,Ontario,active_facility,,,mining,"Open-pit, underground",Precious metals,Gold,Discovery Silver Corp (100%),,2019–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/porcupine-canada,https://miningdataonline.com/property/66/Porcupine-Operation.aspx,,,,
ON-MAIN-538513cd,Hoyle Pond,GRP-0d911886,Porcupine complex,CMP-4a434d72,Newmont Corporation,south of Porcupine,Ontario,active_facility,,,mining,Underground,Precious metals,Gold,Dhilmar Ltd (100%),,,https://www.newmont.com/home/default.aspx,,https://miningdataonline.com/property/233/Eleonore-Mine.aspx,,,,
ON-MAIN-687b8c8d,Island,nan,,CMP-3a4ccc7f,Alamos Gold Inc,Dubreuilville,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Alamos Gold Inc (100%),Alamos Gold Inc,2007–open,https://alamosgold.com,https://www.alamosgold.com/operations/producing-mines/young-davidson-canada/default.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping
