env_id,year,compartment_id,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id
1754097,2023,comp3c458811,NA - GHG,,,tCO2eq,84511.00036162816,,BC-MAIN-8eb8be0d,,,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
npri-11454-2023-1,2023,comp3c458811,NA - 16,Emission,Stack Emissions,tonnes,0.483,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-1,2023,comp3c458811,NA - 01,Emission,Stack Emissions,tonnes,7e-06,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-2,2023,comp3c458811,NA - 02,Emission,Stack Emissions,kg,1.8225,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-2,2023,comp3c458811,NA - 02,Emission,Stack Emissions,kg,0.032638,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-3,2023,comp3c458811,NA - 03,Emission,Stack Emissions,kg,0.0138,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-3,2023,comp3c458811,NA - 03,Emission,Stack Emissions,kg,0.106318,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-4,2023,comp3c458811,75-15-0,Emission,Stack Emissions,tonnes,30.228766,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-11454-2023-4,2023,comp3c458811,630-08-0,Emission,Stack Emissions,tonnes,96.4102,,ON-MAIN-687b8c8d,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-26132-2023-5,2023,comp3c458811,630-08-0,Emission,Stack Emissions,tonnes,214.673254,,ON-MAIN-7607a50e,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
