technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass_t,mass_source,mass_note,needs_density,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key
TECH-6dc537e6-2023-2,2023,Material use,Cement,t,27374.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,27374.0,t,reported in tonnes,False,1661000.0,,1661000.0,0.01648043347381096,main_id
TECH-6dc537e6-2023-6,2023,Material use,Lime,t,2229.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,2229.0,t,reported in tonnes,False,1661000.0,,1661000.0,0.0013419626730885009,main_id
TECH-6dc537e6-2023-7,2023,Material use,Lubricants,kl,380.687,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,335.00455999999997,L×density→t,kl→L × density kg/L; density=0.88,False,1661000.0,,1661000.0,0.00020168847682119204,main_id
TECH-6dc537e6-2023-8,2023,Material use,Nitric acid (HNO3),l,26575.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,1661000.0,,1661000.0,,main_id
TECH-6dc537e6-2023-10,2023,Material use,Sodium cyanide (NaCN),t,838.8,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,838.8,t,reported in tonnes,False,1661000.0,,1661000.0,0.0005049969897652016,main_id
TECH-6dc537e6-2023-11,2023,Material use,Sulfuric acid (H2SO4),l,73.96,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,1661000.0,,1661000.0,,main_id
TECH-6dc537e6-2023-12,2023,Material use,Tires,t,241.250566996281,,QC-MAIN-6dc537e6,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,241.250566996281,t,reported in tonnes,False,1661000.0,,1661000.0,0.00014524417037705057,main_id
TECH-687b8c8d-2023-6,2023,Material use,Total sodium cyanide used,t,245.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,245.0,t,reported in tonnes,False,439008.0,,439008.0,0.0005580763904074641,main_id
TECH-687b8c8d-2023-7,2023,Material use,Total blasting agents used e.g. ANFO,t,486.3,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,486.3,t,reported in tonnes,False,439008.0,,439008.0,0.0011077246883883665,main_id
TECH-fefeaee4-2023-3,2023,Material use,Cement,t,9417.6,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,9417.6,t,reported in tonnes,False,1028000.0,,1028000.0,0.009161089494163424,main_id
TECH-fefeaee4-2023-7,2023,Material use,Hydrochloric acid (HCL),kl,57.2,,ON-MAIN-fefeaee4,,CMP-4a434d72,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,,missing_density,volume reported; no density mapping for this subflow,True,1028000.0,,1028000.0,,main_id
