compartment_id,compartment_name,compartment_pathway
CMP87fcbae317,Air,Fugitive Emissions
CMP950ffe3996,Air,Other
CMP8395a4b073,Air,Spills
CMP1718f4466d,Air,Stack Emissions
CMP83f6ce8345,Air,Storage / Handling
CMP6d07582b7f,Air,Total
CMPf3265e9fca,Air,Unspecified
CMP1ada5c9a81,Land,Land Fill
CMPcb8a7736a9,Land,Land Treatment
CMP3143a20c1b,Land,Other
CMPab73449d50,Land,Spills
CMP9f9a51a77d,Land,Storage
CMPd55c4d2434,Land,Tailings
CMPa7d2fb8111,Land,Total
CMP64ce27a887,Land,Total Off-Site
CMP64b8fa0009,Land,Total On-Site
CMPcfaa2bd69b,Land,Underground Injection
CMPc2a407fec8,Land,Unspecified
CMPd14486f651,Land,Waste Rock
CMP9115949d7e,Water,Direct Discharge
CMP3e56f83199,Water,Spills
CMPdb39127c91,Water,Total
CMP68bd334352,Water,Unspecified
CMPdc26bd798a,,Acid or Base Recovery
CMP8bff63f5ca,,Biological Treatment
CMPe653bef0f2,,Chemical Treatment
CMPa85e070508,,Energy Recovery
CMP171e7c8ee1,,Incineration
CMPdb2643d259,,Inorganic Compound Recovery
CMP1693e775c9,,Metal Recovery
CMP9d366bb214,,Organic Compound Recovery
CMP860ec9c376,,Other
CMP0c7c16ad88,,Physical Treatment
CMPa7311ed8af,,Road Dust Emissions
CMP54d99df3e0,,Solvent Recovery
CMP86f071b89d,,Total
CMP06badc586b,,Total Releases (Excluding Road Dust)
CMP01b206d131,,Total Releases Including Road Dust
CMP281acc6045,,"Total Releases, Disposals and Transfers for Recycling"
CMP1eddd4f2ed,,Transfer to a Municipal Sewage Treatment Plant
CMP8e4863c7e3,,Used Oil Recovery
