site_id,activity_name,functional_unit,Amount,Unit,Flow Name,Compartments,Database
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",8.94736454619368e-11,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",8.94736454619368e-11,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",8.94736454619368e-11,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",8.94736454619368e-11,kilogram,Ammonia,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",8.94736454619368e-11,kilogram,Ammonium,"('water',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('water',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.63190925685293e-14,kilogram,Arsenic ion,"('water',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.0721081090193842e-08,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.0721081090193842e-08,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.0721081090193842e-08,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
ON-MAIN-1f126a43,"Au, UG mining and beneficiation at Macassa","Au, usable ore",1.0721081090193842e-08,kilogram,"Carbon monoxide, fossil","('air',)",biosphere3
