site_id,activity_name,functional_unit,Amount,Unit,Flow Name,Compartments,Database
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.4402565287100193e-09,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.4402565287100193e-09,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.4402565287100193e-09,kilogram,"Ammonia, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.4402565287100193e-09,kilogram,Ammonia,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,1.4402565287100193e-09,kilogram,Ammonium,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('air',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('water',)",biosphere3
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,Ore processed,2.626882976892488e-13,kilogram,Arsenic ion,"('water',)",biosphere3
