site_id,activity_name,mining_processing_type,archetypes,compartment_name,substance_name,flow_direction,release_pathway,unit,value,data_source,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key,reference_mass_unit
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,N2O,Emission,Stationary Fuel Combustion,tonnes,0.0656,MetalliCan,Cu,45578.436133333336,1.0,mining,1.4392771135915322e-09,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,N2O,Emission,On-site Transportation,tonnes,6.8682,MetalliCan,Cu,45578.436133333336,1.0,mining,1.5068968096904514e-07,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,Nitrogen oxides (expressed as nitrogen dioxide),Emission,Fugitive Emissions,tonnes,36.44,MetalliCan,Cu,45578.436133333336,1.0,mining,7.995008844401743e-07,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,Nitrogen oxides (expressed as nitrogen dioxide),Emission,Other,tonnes,1251.09,MetalliCan,Cu,45578.436133333336,1.0,mining,2.7449164695780943e-05,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,CO2,Emission,Stationary Fuel Combustion,tonnes,917.04,MetalliCan,Cu,45578.436133333336,1.0,mining,2.0120040918414308e-05,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,CO2,Emission,On-site Transportation,tonnes,46615.6208,MetalliCan,Cu,45578.436133333336,1.0,mining,0.0010227560389222772,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,Carbon monoxide,Emission,Fugitive Emissions,tonnes,154.85,MetalliCan,Cu,45578.436133333336,1.0,mining,3.3974399548726944e-06,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,Carbon monoxide,Emission,Other,tonnes,274.25,MetalliCan,Cu,45578.436133333336,1.0,mining,6.017099823208502e-06,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,CH4,Emission,Stationary Fuel Combustion,tonnes,0.0146,MetalliCan,Cu,45578.436133333336,1.0,mining,3.2032691857372514e-10,Cu concentrate,concentrate_economic,kg
BC-MAIN-3f490561,Open-pit mining and beneficiation at Mount Polley,"Open-pit, concentrator",Cu Porphyry,Air,CH4,Emission,On-site Transportation,tonnes,3.5057,MetalliCan,Cu,45578.436133333336,1.0,mining,7.691575879752797e-08,Cu concentrate,concentrate_economic,kg
