main_id,facility_group_id,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-857b7b89,,1.112991002891566e-07,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,,1.0157955831157578e-05,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,,4.021328764801654e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-857b7b89,,1.8409380766308478e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-857b7b89,,5.462069134295804e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,,1.412062891566265e-05,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,,0.000952158701485388,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-857b7b89,,0.0005194284180457832,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-e7e6a960,,3.4423444965937556e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,,3.035707256300155e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-e7e6a960,,4.923249563393176e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,,4.923249563393176e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,,2.3603771575249188e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e7e6a960,,1.6097688844751574e-09,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,,6.951464814472087e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-b86f7d07,,3.0908924533729443e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-b86f7d07,,7.49570411447718e-07,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-b86f7d07,,0.00010112509246855751,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-599152a0,,2.7437321377818775e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-599152a0,,1.207826391529696e-09,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-599152a0,,3.178353500124481e-08,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-599152a0,,7.966409138124601e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,,3.267011550462462e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-aeafbb59,,3.608862292531379e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-aeafbb59,,8.528192753802409e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,,8.528192753802409e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,,6.367087820284105e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,,6.367087820284105e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-aeafbb59,,1.5461068016870626e-07,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,,1.1407066214936003e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-cb85213a,,7.252789044754978e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-cb85213a,,7.252789044754978e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-cb85213a,,1.2767082596887608e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-cb85213a,,6.191584098530045e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-cb85213a,,0.0005528809713107574,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-cb85213a,,0.00017318389433583533,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
QC-MAIN-6dc537e6,,3.0258934502598863e-07,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,,5.395009974378001e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-6dc537e6,,1.358418338567345e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-6dc537e6,,1.847572792537732e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
QC-MAIN-6dc537e6,,0.00014921243297611223,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-6dc537e6,,2.1258921131848284e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-6b4800fe,,1.3051573643410853e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-6b4800fe,,2.9122372372372373e-08,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-6b4800fe,,1.7706155303030302e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
BC-MAIN-6b4800fe,,3.2543103448275863e-10,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-6b4800fe,,1.5700614412333333e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-c0660aec,,6.197658193788969e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-c0660aec,,1.04283241403222e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-c0660aec,,1.2755199262188896e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-c0660aec,,1.2755199262188896e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-c0660aec,,1.0508694672008572e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-c0660aec,,1.0508694672008572e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-c0660aec,,8.485941163393784e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-6e9be24e,,0.0004889380723201809,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-6e9be24e,,0.00023775502385844016,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-687b8c8d,,1.6332276404985786e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-687b8c8d,,0.00021144847989558278,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-687b8c8d,,1.1193735728924579e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-687b8c8d,,7.390741386477229e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-687b8c8d,,3.5351547281519964e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
YT-MAIN-44857446,,1.0938153801261226e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
YT-MAIN-44857446,,1.5381600630079367e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
YT-MAIN-44857446,,6.851951100511884e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
YT-MAIN-44857446,,0.0001382123691258957,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-YK,ecoinvent-3.10-cutoff regionalized
QC-MAIN-9de9bb0d,,5.579117800355356e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-9de9bb0d,,3.5295512726613243e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-9de9bb0d,,3.5295512726613243e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-9de9bb0d,,1.4506942123239443e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-9de9bb0d,,5.109677032741882e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-9de9bb0d,,0.00020122732123799362,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-9de9bb0d,,0.00016768956851654214,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
ON-MAIN-a3c56a83,,1.2131043153059927e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-a3c56a83,,1.4083138173302109e-06,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-a3c56a83,,3.181111053864168e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
QC-MAIN-f9e41c2a,,9.167824645433846e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-f9e41c2a,,5.315430756620358e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-f9e41c2a,,5.0205235396399585e-09,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-f9e41c2a,,9.533709569133384e-08,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-f9e41c2a,,5.3672447785653697e-08,consumption market for liquefied petroleum gas,liquefied petroleum gas,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,,2.2303883857593871e-07,consumption market for liquefied petroleum gas,liquefied petroleum gas,kilogram,CA,Regioinvent
QC-MAIN-f9e41c2a,,2.6058244472903484e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-e51eda66,,0.00017650518107533558,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e51eda66,,3.421769645999047e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
QC-MAIN-e51eda66,,7.874422638482669e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-e51eda66,,7.874422638482669e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-e51eda66,,7.05651426191278e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,,7.05651426191278e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,,3.1785550685940564e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,,0.0004134052919095085,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-1f126a43,,4.8147057417089405e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-1f126a43,,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,2.1042984740197977e-05,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,,3.211372248058965e-08,consumption market for propane,propane,kilogram,CA,Regioinvent
