technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,mass,mass_source,mass_note,needs_density,site_id,activity_name,mining_processing_type,archetypes,metal,mass_t,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-b86f7d07-2023.0-5.0,2023,Material use,Surface/underground emulsion & ANFO,pounds,6543598.0,"Explosives, treated as material input because in t",QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,2968.123704016,lbs→t,lbs×0.453592/1000,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Au,2.69356309999999,0.9963866796430149,mining,1097.9504887835149,"Au, usable ore",metal_economic
TECH-b86f7d07-2023.0-5.0,2023,Material use,Surface/underground emulsion & ANFO,pounds,6543598.0,"Explosives, treated as material input because in t",QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,2968.123704016,lbs→t,lbs×0.453592/1000,False,QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Free-miling,Ag,0.7527047,0.0036133203569852276,mining,14.248325806616338,"Ag, usable ore",metal_economic
TECH-cb85213a-2023.0-4.0,2023,Material use,Explosives,t,1211.0,"Explosives, treated as material input because in t",ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,1211.0,t,reported in tonnes,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7205298345,1.0,mining,445.13387967405504,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-2.0,2023,Material use,Cement,t,27374.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,27374.0,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,3790.9984434852386,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-2.0,2023,Material use,Cement,t,27374.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,27374.0,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,49.196554404743665,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-7.0,2023,Material use,Grinding media,t,3039.9,"Explosives, treated as material input because in t",QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,3039.9,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,420.9927730090881,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-7.0,2023,Material use,Grinding media,t,3039.9,"Explosives, treated as material input because in t",QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,3039.9,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,5.463308458207797,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-8.0,2023,Material use,Lime,t,2229.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,2229.0,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,308.69202639470285,"Au, usable ore",metal_economic
TECH-6dc537e6-2023.0-8.0,2023,Material use,Lime,t,2229.0,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,2229.0,t,reported in tonnes,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Ag,0.368109922499999,0.0006615671742966747,mining,4.0059589306704755,"Ag, usable ore",metal_economic
TECH-6dc537e6-2023.0-9.0,2023,Material use,Lubricants,kl,380.687,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,335.00456,L×density→t,kl×density=0.88 kg/L,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.216012,0.9993384328257033,mining,46.39445333237588,"Au, usable ore",metal_economic
