site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
QC-MAIN-b86f7d07,Open-pit and underground mining and beneficiation at Casa Berardi,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Surface/underground emulsion & ANFO,2968.123704016,t,MetalliCan,1361450.0,0.002180119507889383,Ore processed,1,ore
ON-MAIN-aeafbb59,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,Material use,Explosives,16268.5,t,MetalliCan,25434853.5024164,0.0006396144565351806,Ore processed,1,ore
ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Au–Ag free-milling,Material use,Explosives,1211.0,t,MetalliCan,222627.0,0.005439591783566234,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Cement,27374.0,t,MetalliCan,1661000.0,0.01648043347381096,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Grinding media,3039.9,t,MetalliCan,1661000.0,0.001830162552679109,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Lime,2229.0,t,MetalliCan,1661000.0,0.0013419626730885009,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Lubricants,335.00456,t,MetalliCan,1661000.0,0.00020168847682119207,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Nitric acid (HNO3),40.12825,t,MetalliCan,1661000.0,2.415909090909091e-05,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Sodium cyanide (NaCN),838.8,t,MetalliCan,1661000.0,0.0005049969897652016,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Sulfuric acid (H2SO4),0.1360864,t,MetalliCan,1661000.0,8.193040337146298e-08,Ore processed,1,ore
QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Material use,Tires,241.250566996281,t,MetalliCan,1661000.0,0.00014524417037705057,Ore processed,1,ore
QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Au–Ag polymetallic,Material use,Explosives,2761.75,t,MetalliCan,2886927.328724,0.0009566399446641673,Ore processed,1,ore
ON-MAIN-687b8c8d,Underground mining and beneficiation at Island,"Underground, concentrator",Au–Ag free-milling,Material use,Total blasting agents used e.g. ANFO,486.3,t,MetalliCan,439008.0,0.0011077246883883665,Ore processed,1,ore
ON-MAIN-687b8c8d,Underground mining and beneficiation at Island,"Underground, concentrator",Au–Ag free-milling,Material use,Total sodium cyanide used,245.0,t,MetalliCan,439008.0,0.0005580763904074641,Ore processed,1,ore
YT-MAIN-44857446,Underground mining and beneficiation at Keno Hill Silver District,"Underground, concentrator",Ag polymetallic,Material use,Surface/underground emulsion & ANFO,231.88076632,t,MetalliCan,127307.0,0.0018214298217694234,Ore processed,1,ore
QC-MAIN-9de9bb0d,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Au–Ag free-milling,Material use,Explosives,506.0,t,MetalliCan,191148.0,0.0026471634544959926,Ore processed,1,ore
QC-MAIN-e51eda66,Underground mining and beneficiation at LaRonde,"Underground, concentrator",Au–Ag polymetallic,Material use,Explosives,1570.0,t,MetalliCan,1501500.0,0.0010456210456210456,Ore processed,1,ore
ON-MAIN-1f126a43,Underground mining and beneficiation at Macassa,"Underground, concentrator",Au–Ag free-milling,Material use,Explosives,20644.0,t,MetalliCan,441588.0,0.04674945877152459,Ore processed,1,ore
GRP-0a2c0d69,Open-pit and underground mining at Meadowbank complex,"Open-pit, underground",Au–Ag free-milling,Material use,Explosives,11329.5,t,MetalliCan,3842649.005728,0.0029483567151493183,Ore processed,1,ore
NU-MAIN-8b0264c9,Open-pit and underground mining and beneficiation at Meliadine,"Open-pit, underground, concentrator",Au–Ag free-milling,Material use,Explosives,4549.5,t,MetalliCan,1918143.0,0.002371825249733727,Ore processed,1,ore
BC-MAIN-ed23117f,Open-pit mining and beneficiation at Mount Milligan,"Open-pit, concentrator",Cu Porphyry,Material use,Explosives,646.875,t,MetalliCan,21680000.0,2.983740774907749e-05,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Cement,9417.6,t,MetalliCan,1028000.0,0.009161089494163424,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Grinding media,726.071,t,MetalliCan,1028000.0,0.0007062947470817121,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Hydrochloric acid (HCL),68.068,t,MetalliCan,1028000.0,6.621400778210116e-05,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Lime,924.081,t,MetalliCan,1028000.0,0.0008989114785992218,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Lubricants,296.13848,t,MetalliCan,1028000.0,0.0002880724513618677,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Sodium cyanide (NaCN),390.003,t,MetalliCan,1028000.0,0.0003793803501945525,Ore processed,1,ore
ON-MAIN-fefeaee4,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Material use,Tires,100.705343372947,t,MetalliCan,1028000.0,9.79623962771858e-05,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,2'' balls,980.0,t,MetalliCan,3065000.0,0.00031973898858075043,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,3/4'' balls,179.0,t,MetalliCan,3065000.0,5.840130505709625e-05,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Anti-scalant,38.0,t,MetalliCan,3065000.0,1.2398042414355628e-05,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Explosives,522.6,t,MetalliCan,3065000.0,0.0001705057096247961,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Flocculant,192.0,t,MetalliCan,3065000.0,6.264274061990212e-05,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Lime,2724.0,t,MetalliCan,3065000.0,0.0008887438825448613,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,Polyfroth h57,55.0,t,MetalliCan,3065000.0,1.7944535073409462e-05,Ore processed,1,ore
BC-MAIN-aa76f6f2,Underground mining and beneficiation at New Afton,"Underground, concentrator",Cu Porphyry,Material use,S60 SAG Balls,583.0,t,MetalliCan,3065000.0,0.0001902120717781403,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Cement,12578.0,t,MetalliCan,2911000.0,0.004320851940913775,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Grinding media,1932.222,t,MetalliCan,2911000.0,0.0006637657162487118,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Hydrochloric acid (HCL),2.68345,t,MetalliCan,2911000.0,9.21830985915493e-07,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lime,4346.921,t,MetalliCan,2911000.0,0.001493274132600481,Ore processed,1,ore
GRP-0d911886,Open-pit and underground mining at Porcupine complex,"Open-pit, underground",Au–Ag free-milling,Material use,Lubricants,545.0420799999999,t,MetalliCan,2911000.0,0.00018723534180693918,Ore processed,1,ore
