main_id,facility_group_id,compartment_name,substance_name,flow_direction,release_pathway,unit,value,site_id,activity_name,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
BC-MAIN-599152a0,,Air,GHG,,,tCO2eq,229916.00098382577,BC-MAIN-599152a0,"Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",6862152.0,0.03350494145041173,Ore processed,1,ore
BC-MAIN-6b4800fe,,Air,GHG,,,tCO2eq,131638.00056328773,BC-MAIN-6b4800fe,"Cu and Mo, Open-pit mining and beneficiation at Gibraltar",30000000.0,0.004387933352109591,Ore processed,1,ore
BC-MAIN-bf503b6b,,Air,GHG,,,tCO2eq,2412130.010321664,BC-MAIN-bf503b6b,"Cu and Mo, Open-pit mining and beneficiation at Highland Valley",215221530000.0,1.1207661288913168e-05,Ore processed,1,ore
BC-MAIN-e34feb4d,,Air,GHG,,,tCO2eq,0.0,BC-MAIN-e34feb4d,,,,Ore processed,1,ore
QC-MAIN-e51eda66,,Air,GHG,,,tCO2eq,67116.0002871938,QC-MAIN-e51eda66,"Au and Ag and Cu and Zn, Underground mining and beneficiation at LaRonde",1501500.0,0.04469930089057197,Ore processed,1,ore
ON-MAIN-7001a391,,Air,GHG,,,tCO2eq,7782.000033299693,ON-MAIN-7001a391,,317660.0,0.024497890931498123,Ore processed,1,ore
NL-MAIN-c139de6d,,Air,GHG,,,tCO2eq,0.0,NL-MAIN-c139de6d,,,,Ore processed,1,ore
YT-MAIN-752fbcae,,Air,GHG,,,tCO2eq,0.0,YT-MAIN-752fbcae,,,,Ore processed,1,ore
BC-MAIN-ed23117f,,Air,GHG,,,tCO2eq,79566.00034046818,BC-MAIN-ed23117f,"Au and Cu, Open-pit mining and beneficiation at Mount Milligan",21680000.0,0.0036700184658887535,Ore processed,1,ore
BC-MAIN-3f490561,,Air,GHG,,,tCO2eq,71379.00030543547,BC-MAIN-3f490561,"Au and Cu, Open-pit mining and beneficiation at Mount Polley",5948239.0,0.01200002224279076,Ore processed,1,ore
BC-MAIN-23155c25,,Air,GHG,,,tCO2eq,540.0000023106958,BC-MAIN-23155c25,,,,Ore processed,1,ore
BC-MAIN-aa76f6f2,,Air,GHG,,,tCO2eq,15908.000068071386,BC-MAIN-aa76f6f2,"Au and Cu, Underground mining and beneficiation at New Afton",3065000.0,0.005190212093987402,Ore processed,1,ore
QC-MAIN-a97821c0,,Air,GHG,,,tCO2eq,8219.000035169645,QC-MAIN-a97821c0,"Cu and Ni and Co and Pt, Underground mining and beneficiation at Raglan",1500000.0,0.005479333356779763,Ore processed,1,ore
BC-MAIN-8eb8be0d,,Air,GHG,,,tCO2eq,84511.00036162816,BC-MAIN-8eb8be0d,"Au and Cu, Open-pit mining and beneficiation at Red Chris",1139000.0,0.07419754202074465,Ore processed,1,ore
MB-MAIN-e0a6250e,,Air,GHG,,,tCO2eq,4433.000018969101,MB-MAIN-e0a6250e,"Cu and Ni, Open-pit and underground mining and beneficiation at Thompson (T-1 and T-3)",464705.882352941,0.009539367129427182,Ore processed,1,ore
QC-MAIN-b2148882,,Air,GHG,,,tCO2eq,0.0,QC-MAIN-b2148882,,,,Ore processed,1,ore
NL-MAIN-2d8801d6,,Air,GHG,,,tCO2eq,11440.000048952515,NL-MAIN-2d8801d6,"Cu and Ni, Open-pit and underground mining and beneficiation at Voisey’s Bay",794117.647058823,0.014405925987569844,Ore processed,1,ore
ON-MAIN-f8313ebd,,Air,GHG,,,tCO2eq,16200.000069320871,ON-MAIN-f8313ebd,"Ag and Cu and Zn, Underground mining and beneficiation at Kidd Creek",1340000.0,0.012089552290537963,Ore processed,1,ore
ON-MAIN-a3c56a83,,Air,GHG,,,tCO2eq,59145.00025308537,ON-MAIN-a3c56a83,"Au and Pt and Pd, Open-pit and underground mining and beneficiation at Lac des Iles",3798000.0,0.015572669892860812,Ore processed,1,ore
NL-MAIN-b64bae7a,,Air,GHG,,,tCO2eq,576072.0024650502,NL-MAIN-b64bae7a,,3560000.0,0.16181797822051971,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Ammonia (total),Emission,Stack Emissions,tonnes,0.636,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,1.4402565287100193e-06,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Arsenic (and its compounds),Emission,Stack Emissions,kg,0.116,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.626882976892488e-07,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Carbon monoxide,Emission,Stack Emissions,tonnes,76.208,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,0.00017257715336467476,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Chromium (and its compounds),Emission,Stack Emissions,tonnes,0.00105,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.3777820049457863e-09,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Cobalt (and its compounds),Emission,Stack Emissions,kg,0.18,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,4.0761977227642053e-07,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Copper (and its compounds),Emission,Stack Emissions,tonnes,0.00105,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.3777820049457863e-09,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Cyanides (ionic),Emission,Stack Emissions,tonnes,0.098,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.2192632046160675e-07,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Lead (and its compounds),Emission,Stack Emissions,kg,0.29,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,6.56720744223122e-07,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Manganese (and its compounds),Emission,Stack Emissions,tonnes,0.012,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.7174651485094705e-08,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Nitric acid,Emission,Stack Emissions,tonnes,0.105,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.3777820049457866e-07,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Nitrogen oxides (expressed as nitrogen dioxide),Emission,Stack Emissions,tonnes,140.902,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,0.0003190802286294011,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Phosphorus (total),Emission,Stack Emissions,tonnes,0.001,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,2.2645542904245586e-09,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,PM10 - Particulate Matter <= 10 Micrometers,Emission,Stack Emissions,tonnes,21.207,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,4.8024402837033614e-05,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,PM2.5 - Particulate Matter <= 2.5 Micrometers,Emission,Stack Emissions,tonnes,21.207,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,4.8024402837033614e-05,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Thallium (and its compounds),Emission,Stack Emissions,kg,0.008,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,1.811643432339647e-08,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Total particulate matter,Emission,Stack Emissions,tonnes,21.207,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,4.8024402837033614e-05,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Vanadium (and its compounds),Emission,Stack Emissions,tonnes,0.00158,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,3.5779957788708026e-09,Ore processed,1,ore
ON-MAIN-1f126a43,,Air,Zinc (and its compounds),Emission,Stack Emissions,tonnes,0.0008,ON-MAIN-1f126a43,"Au, Underground mining and beneficiation at Macassa",441588.0,1.811643432339647e-09,Ore processed,1,ore
QC-MAIN-e7e6a960,,Air,Carbon monoxide,Emission,Stack Emissions,tonnes,3.03,QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",17332900.0,1.7481206260925751e-07,Ore processed,1,ore
QC-MAIN-e7e6a960,,Air,Nitrogen oxides (expressed as nitrogen dioxide),Emission,Stack Emissions,tonnes,9.03,QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",17332900.0,5.209745628256091e-07,Ore processed,1,ore
