main_id,facility_group_id,facility_name,facility_group_name,province,facility_type,mining_processing_type,commodities,ore_processed_t,Au_t,Ag_t,Cu_t,Ni_t,Co_t,Mo_t,Zn_t,Pb_t,Fe_t,Pt_t,Pd_t,U_t,Nb_t,Au_$,Ag_$,Cu_$,Ni_$,Co_$,Mo_$,Zn_$,Pb_$,Fe_$,Pt_$,U_$,N_$,Sum,%Au,%Cu,Main_product,facility_type.1,mining_processing_type.1,activity_name,site_id
QC-MAIN-089f3c60,,Bloom Lake,,Quebec,mining,Open-pit,Iron,11187000.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,Fe,mining,Open-pit,,QC-MAIN-089f3c60
BC-MAIN-857b7b89,,Brucejack,,British Columbia,mining,"Underground, concentrator","Gold, silver",166000.0,0.9020015,,,,,,,,,,,,,46717.485459702504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46717.485459702504,1.0,0.0,Au,mining,"Underground, concentrator","Au, Underground mining and beneficiation at Brucejack",BC-MAIN-857b7b89
QC-MAIN-de3d8b7b,,Canadian Electrolytic Zinc Limited (CEZinc),,Quebec,manufacturing,Refinery,"Lead, zinc",,,,,,,,752600.0,244600.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1941192.1221882368,504507.9421381382,0,0.0,0.0,0.0,2445700.064326375,0.0,0.0,Zn (Pb),manufacturing,Refinery,"Zn and Pb, refining at Canadian Electrolytic Zinc Limited (CEZinc)",QC-MAIN-de3d8b7b
QC-MAIN-e7e6a960,,Canadian Malartic,,Quebec,mining,"Open-pit, concentrator","Gold, silver",17332900.0,18.7851143425,9.6731885,,,,,,,,,,,,972939.9631315387,6501.640186505,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,979441.6033180438,0.9933618909341001,0.0,Au (Ag),mining,"Open-pit, concentrator","Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",QC-MAIN-e7e6a960
NL-MAIN-dd723db4,,Carol Lake,,Newfoundland and Labrador,mining,"Open-pit, concentrator",Iron,16478000.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,Fe,mining,"Open-pit, concentrator",,NL-MAIN-dd723db4
QC-MAIN-b86f7d07,,Casa Berardi,,Quebec,mining,"Open-pit, underground, concentrator","Gold, silver",1361450.0,2.69356309999999,0.7527047,,,,,,,,,,,,139508.077269318,505.915410011,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,140013.99267932898,0.9963866796430149,0.0,Au,mining,"Open-pit, underground, concentrator","Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",QC-MAIN-b86f7d07
SK-MAIN-91cf5448,,Cigar Lake,,Saskatchewan,mining,Underground,Uranium,43726.856187782,,,,,,,,,,,,6849.2392,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1176.01437064,0.0,0.0,,,U,mining,Underground,"U, Underground mining at Cigar Lake",SK-MAIN-91cf5448
ON-MAIN-f080c409,GRP-dc07540b,Copper Cliff Complex (mine),Sudbury Operation,Ontario,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",748000.0,,,10098.0,8751.0,,,,,,,,,,0.0,0.0,69676.2,136428.09,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,206104.28999999998,0.0,0.33806283217103344,Ni+Cu,mining,Underground,"Cu and Ni, Underground mining at Copper Cliff Complex (mine)",ON-MAIN-f080c409
ON-MAIN-63b394c3,GRP-dc07540b,Copper Cliff Complex (refinery),Sudbury Operation,Ontario,manufacturing,"Smelter, refinery, plant","Nickel (oxide sinter, pellets, powder, sulfide), copper cathodes, gold, silver, selenium cake, tellurium dioxide cake, platinum group metals (in residues), liquid sulfur dioxide, sulfuric acid",,,,57900.0,38200.0,,,,,,,,,,0.0,0.0,399510.0,595538.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,995048.0,0.0,0.40149821918138623,Ni+Cu,manufacturing,"Smelter, refinery, plant","Cu and Ni, refining smelting at Copper Cliff Complex (refinery)",ON-MAIN-63b394c3
BC-MAIN-599152a0,,Copper Mountain,,British Columbia,mining,"Open-pit, concentrator","Copper, gold, silver",6862152.0,0.275203767999999,6.789334187,19050.0,,,,,,,,,,,14253.66590853263,4563.31518710831,131445.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,150261.98109564095,0.0948587647028309,0.8747721748479808,"Cu (Au, Ag)",mining,"Open-pit, concentrator","Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",BC-MAIN-599152a0
