site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",0.00042672810244772324,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",1.8694211350781098,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",7.400659255633993,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",2.2230952922692113,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",175.23068913585445,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",0.3387973531315865,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",1.0052128253590524,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-857b7b89,"Au, Underground mining and beneficiation at Brucejack","Au, usable ore",0.06085930567932491,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Au, usable ore",3.1455544891427376,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Ag, usable ore",0.04082049751936252,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Au, usable ore",35.66905920181937,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Ag, usable ore",0.46288460355448363,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Au, usable ore",0.05101397617692496,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Au, usable ore",0.05101397617692496,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Ag, usable ore",0.0006620186981884099,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e7e6a960,"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic","Ag, usable ore",0.0006620186981884099,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
