substance_id,substance_name
SUB07971a0766,"1,2,4-Trimethylbenzene"
SUBbdfdffeb95,1-Nitropyrene
SUB0f01e7c1d0,2-Butoxyethanol
SUB324959500a,"7,12-Dimethylbenz[a]anthracene"
SUBfee6b26acd,"7H-Dibenzo[c,g]carbazole"
SUB59bc2af740,Acenaphthene
SUB5f82681098,Acenaphthylene
SUB0cb02304aa,Acetaldehyde
SUBbeec838a08,Acrolein
SUB04d412c6e9,Aluminum (fume or dust only)
SUBb7945341aa,Aluminum oxide (fibrous forms only)
SUB1c6e015419,Ammonia
SUB6aaa046914,Anthracene
SUB0600013568,Antimony
SUB0cbc90a094,Arsenic
SUB92c9c70222,Asbestos (friable form only)
SUB12f40aa86f,Azo disperse dyes
SUB24d6951bbb,Benz[a]anthracene
SUBe89b88732c,Benzene
SUB84410986b0,Benzo[a]pyrene
SUBbc1422aea9,Benzo[b]fluoranthene
SUB3feeddfb40,Benzo[e]pyrene
SUB739819743d,Benzo[ghi]perylene
SUB400d9d7412,Benzo[j]fluoranthene
SUB61cc69e600,Benzo[k]fluoranthene
SUB4eea0d29b9,Biogenic CO2
SUBcc6b33a72a,Bisphenol A
SUB72bfc6f7ea,CH4
SUB550729bf89,CO
SUB7765f1eeaa,CO2
SUB09c00f97af,Cadmium (and its compounds)
SUB3393dcebb9,Calcium fluoride
SUB2e8ffb4a6f,Carbon disulphide
SUB642eab0862,Carbon monoxide
SUBebbc37025c,Carbonyl sulphide
SUB26aa59ab40,Chlorine
SUB7e3f017a30,Chromium (and its compounds)
SUB65f3d10c4e,Chrysene
SUBd94d47b1d8,Cobalt (and its compounds)
SUB71ee3dc4ca,Copper (and its compounds)
SUB7d26453701,"Cresol (all isomers, and their salts)"
SUB43088290b1,Cumene
SUB2dfd45248d,Cyanides (ionic)
SUB72038cdf53,"Dibenz[a,h]acridine"
SUB414bbf79f1,"Dibenz[a,h]anthracene"
SUB4c08b38e69,"Dibenz[a,j]acridine"
SUB599e5241dc,"Dibenzo[a,e]fluoranthene"
SUB86b0baf95a,"Dibenzo[a,e]pyrene"
SUBf6386b6ccf,"Dibenzo[a,h]pyrene"
SUBe855715891,"Dibenzo[a,i]pyrene"
SUB661d9cd98a,Dioxins and furans - total
SUBa2a8a02933,Direct dust emissions
SUBf0dcc01230,Ethylbenzene
SUBa5e5153ac3,Ethylene
SUB0c065993da,Ethylene glycol
SUB9f82f183af,Fluoranthene
SUB8e9bc1adda,Fluorene
SUBcf761b373a,Fluoride emissions
