cluster,subflow_type_agg,min,max,mean,std,count,num_unique_main_id,num_unique_facility_group_id,num_unique_main_id_in_cluster,num_unique_facility_group_id_in_cluster,cluster_id
Concentrator | Gold,Diesel,934.4821748349345,1079.139344262295,1006.8107595486148,102.28806544933792,2,0,2,0,2,1
Concentrator | Gold,Electricity,13.3605737704918,1583.811855737705,583.9138181839204,868.8106933076198,3,0,2,0,2,1
Concentrator | Gold,Explosives,11.79342686059727,11.79342686059727,11.79342686059727,,1,0,1,0,2,1
Concentrator | Gold,Gasoline,13.31399248896723,13.31399248896723,13.31399248896723,,1,0,1,0,2,1
Concentrator | Gold,LPG-Propane,0.06115572867823733,329.3196721311475,164.69041392991286,232.8209297116081,2,0,2,0,2,1
Concentrator | Gold,Lubricants,1.90259375475146,1.90259375475146,1.90259375475146,,1,0,1,0,2,1
Concentrator | Gold,Other,84.23770491803279,84.23770491803279,84.23770491803279,,1,0,1,0,2,1
"Concentrator | Gold, zinc",Diesel,125.3395692358689,125.3395692358689,125.3395692358689,,1,0,1,0,1,2
"Concentrator | Gold, zinc",Electricity,247.3125797939148,247.3125797939148,247.3125797939148,,1,0,1,0,1,2
"Concentrator | Gold, zinc",Gasoline,0.5697253147084949,0.5697253147084949,0.5697253147084949,,1,0,1,0,1,2
"Concentrator | Gold, zinc",LPG-Propane,15.66744615448361,15.66744615448361,15.66744615448361,,1,0,1,0,1,2
"Open-pit, concentrator | Copper, gold, silver",Diesel,11.79804819246207,11.79804819246207,11.79804819246207,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",Electricity,286.790499540086,286.790499540086,286.790499540086,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",Gasoline,0.05362749178391851,0.05362749178391851,0.05362749178391851,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, gold, silver",LPG-Propane,1.474756024057759,1.474756024057759,1.474756024057759,,1,1,0,1,0,3
"Open-pit, concentrator | Copper, molybdenum, silver",Diesel,56.12176666666667,56.12176666666667,56.12176666666667,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Electricity,56.52216666666666,56.52216666666666,56.52216666666666,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Gasoline,1.293033333333333,1.293033333333333,1.293033333333333,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",LPG-Propane,0.0151,0.0151,0.0151,,1,1,0,1,0,4
"Open-pit, concentrator | Copper, molybdenum, silver",Natural gas,6.232566666666667,6.232566666666667,6.232566666666667,,1,1,0,1,0,4
"Open-pit, concentrator | Gold",Diesel,155.1810785788493,239.9020654152803,197.5415719970648,59.906784300856586,2,2,0,2,0,5
"Open-pit, concentrator | Gold",Electricity,117.6123217267912,603.6819637139807,307.5072022262552,259.87974919671586,3,2,0,2,0,5
"Open-pit, concentrator | Gold",Explosives,2.558457826140723,10.58865381798397,6.573555822062346,5.6782060400893934,2,2,0,2,0,5
"Open-pit, concentrator | Gold",Gasoline,2.826986992206142,6.441082302718312,4.634034647462228,2.5555513019176566,2,2,0,2,0,5
"Open-pit, concentrator | Gold",LPG-Propane,7.173935559827971,7.173935559827971,7.173935559827971,,1,1,0,2,0,5
"Open-pit, concentrator | Gold",Natural gas,179.8606315525143,179.8606315525143,179.8606315525143,,1,1,0,2,0,5
"Open-pit, concentrator | Gold, copper, silver",Aviation fuel,106.2966772502195,106.2966772502195,106.2966772502195,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Diesel,1195.53455514662,1195.53455514662,1195.53455514662,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Electricity,4.853877699736612,1119.038052326602,561.9459650131693,787.847185369393,2,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",Gasoline,21.99364354697103,21.99364354697103,21.99364354697103,,1,1,0,1,0,6
"Open-pit, concentrator | Gold, copper, silver",LPG-Propane,0.001755926251097454,70.51201562774365,35.25688577699737,49.858282778149935,2,1,0,1,0,6
"Open-pit, concentrator | Gold, silver",Diesel,130.5354120209066,130.5354120209066,130.5354120209066,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",Electricity,123.924302737933,123.924302737933,123.924302737933,,1,1,0,1,0,7
"Open-pit, concentrator | Gold, silver",Gasoline,2.18592280614657,2.18592280614657,2.18592280614657,,1,1,0,1,0,7
