mining_processing_type,archetypes,subflow_type_agg,value_sum,total_sum,share
"Open-pit, concentrator",Au–Ag free-milling,Diesel,6547495140.0,12583803656.17,0.5203112921099718
"Open-pit, concentrator",Au–Ag free-milling,Electricity consumption|Generated on-site,38464200.0,12583803656.17,0.0030566433688068956
"Open-pit, concentrator",Au–Ag free-milling,Electricity consumption|Grid electricity,5535132562.799999,12583803656.17,0.4398616439065348
"Open-pit, concentrator",Au–Ag free-milling,Gasoline,115917080.0,12583803656.17,0.009211609078401694
"Open-pit, concentrator",Au–Ag free-milling,LPG-Propane,183931609.37,12583803656.17,0.014616535222227183
"Open-pit, concentrator",Au–Ag free-milling,Natural gas,162863064.0,12583803656.17,0.012942276314057567
"Open-pit, concentrator",Au–Ag polymetallic,Aviation fuel,121071915.388,2868262627.8,0.042210888994103
"Open-pit, concentrator",Au–Ag polymetallic,Diesel,1361713858.312,2868262627.8,0.474752153137544
"Open-pit, concentrator",Au–Ag polymetallic,Electricity consumption|Generated on-site,5528566.7,2868262627.8,0.0019274966826313574
"Open-pit, concentrator",Au–Ag polymetallic,Electricity consumption|Grid electricity,1274584341.6,2868262627.8,0.4443750475449401
"Open-pit, concentrator",Au–Ag polymetallic,Gasoline,25050760.0,2868262627.8,0.00873377484934645
"Open-pit, concentrator",Au–Ag polymetallic,LPG-Propane,80313185.80000001,2868262627.8,0.028000638791435013
"Open-pit, concentrator",Cu Porphyry,Diesel,1010568636.977058,3434630397.168921,0.294229224143024
"Open-pit, concentrator",Cu Porphyry,Electricity consumption|Generated on-site,36282051.28205128,3434630397.168921,0.010563596977409172
"Open-pit, concentrator",Cu Porphyry,Electricity consumption|Grid electricity,365541666.6666667,3434630397.168921,0.10642823954739743
"Open-pit, concentrator",Cu Porphyry,Electricity consumption|Not specified,1968000000.0,3434630397.168921,0.5729874171096175
"Open-pit, concentrator",Cu Porphyry,Gasoline,21380145.74898786,3434630397.168921,0.006224875249054738
"Open-pit, concentrator",Cu Porphyry,LPG-Propane,32857896.49415693,3434630397.168921,0.00956664697349702
"Open-pit, concentrator",Cu polymetallic,Diesel,1683653000.0,3605539000.0,0.46696291456006994
"Open-pit, concentrator",Cu polymetallic,Electricity consumption|Grid electricity,1695665000.0,3605539000.0,0.470294455281166
"Open-pit, concentrator",Cu polymetallic,Gasoline,38791000.0,3605539000.0,0.010758724285051417
"Open-pit, concentrator",Cu polymetallic,LPG-Propane,453000.0,3605539000.0,0.00012564002219917744
"Open-pit, concentrator",Cu polymetallic,Natural gas,186977000.0,3605539000.0,0.051858265851513465
"Open-pit, concentrator",Fe concentrator,Diesel,432000000.0,2736000000.0,0.15789473684210525
"Open-pit, concentrator",Fe concentrator,Electricity consumption|Grid electricity,1233000000.0,2736000000.0,0.4506578947368421
"Open-pit, concentrator",Fe concentrator,Gasoline,1070000000.0,2736000000.0,0.39108187134502925
"Open-pit, concentrator",Fe concentrator,LPG-Propane,1000000.0,2736000000.0,0.0003654970760233918
"Open-pit, underground",Au–Ag free-milling,Diesel,4237433305.287511,5895324402.517726,0.718778648292505
"Open-pit, underground",Au–Ag free-milling,Electricity consumption|Generated on-site,684979992.6599152,5895324402.517726,0.11619038171459736
"Open-pit, underground",Au–Ag free-milling,Electricity consumption|Grid electricity,723967200.0,5895324402.517726,0.12280362378206264
"Open-pit, underground",Au–Ag free-milling,Gasoline,68356846.5,5895324402.517726,0.01159509499948921
"Open-pit, underground",Au–Ag free-milling,LPG-Propane,6571058.0703,5895324402.517726,0.0011146219650768814
"Open-pit, underground",Au–Ag free-milling,Lubricants,7311000.0,5895324402.517726,0.001240135317553972
"Open-pit, underground",Au–Ag free-milling,Natural gas,166705000.0,5895324402.517726,0.028277493928714936
"Open-pit, underground, concentrator",Au–Ag free-milling,Diesel,4145287070.1572666,8844958693.316868,0.46866098688390595
"Open-pit, underground, concentrator",Au–Ag free-milling,Electricity consumption|Generated on-site,477755733.6,8844958693.316868,0.05401446746845588
"Open-pit, underground, concentrator",Au–Ag free-milling,Electricity consumption|Not specified,4033857929.2,8844958693.316868,0.4560629471619725
"Open-pit, underground, concentrator",Au–Ag free-milling,Gasoline,60803069.5316758,8844958693.316868,0.006874319218428661
"Open-pit, underground, concentrator",Au–Ag free-milling,LPG-Propane,127254890.82792592,8844958693.316868,0.014387279267237055
"Open-pit, underground, concentrator",Ni–Cu sulfide,Diesel,497248345.0,1684681505.0,0.2951586656137713
"Open-pit, underground, concentrator",Ni–Cu sulfide,Electricity consumption|Not specified,1173600000.0,1684681505.0,0.696630191829642
"Open-pit, underground, concentrator",Ni–Cu sulfide,Gasoline,13833160.0,1684681505.0,0.008211142556586682
"Underground, concentrator",Ag polymetallic,Diesel,55697075.44526765,163969424.5685867,0.33967964205405954
"Underground, concentrator",Ag polymetallic,Electricity consumption|Not specified,63343396.8,163969424.5685867,0.3863122467292926
"Underground, concentrator",Ag polymetallic,Gasoline,8333350.1134884,163969424.5685867,0.05082258558517199
"Underground, concentrator",Ag polymetallic,LPG-Propane,36595602.20983067,163969424.5685867,0.22318552563147595
"Underground, concentrator",Au–Ag free-milling,Aviation fuel,121991438.7096,10107782757.658546,0.012069060211762916
"Underground, concentrator",Au–Ag free-milling,Diesel,2451861390.681284,10107782757.658546,0.24257163509213114
"Underground, concentrator",Au–Ag free-milling,Electricity consumption|Generated on-site,219473430.4776627,10107782757.658546,0.021713310994082288
"Underground, concentrator",Au–Ag free-milling,Electricity consumption|Grid electricity,5797647061.639999,10107782757.658546,0.5735824760625362
"Underground, concentrator",Au–Ag free-milling,Gasoline,76279947.3,10107782757.658546,0.007546654803419038
"Underground, concentrator",Au–Ag free-milling,LPG-Propane,585295590.0,10107782757.658546,0.05790543821853794
"Underground, concentrator",Au–Ag free-milling,Naphtha,6344000.0,10107782757.658546,0.0006276351750034622
"Underground, concentrator",Au–Ag free-milling,Natural gas,848889898.85,10107782757.658546,0.08398378944252698
"Underground, concentrator",Au–Ag polymetallic,Diesel,907801000.0,4448617308.0,0.2040636308201856
"Underground, concentrator",Au–Ag polymetallic,Electricity consumption|Grid electricity,2333311308.0,4448617308.0,0.5245025918062179
"Underground, concentrator",Au–Ag polymetallic,Electricity consumption|Not specified,764000000.0,4448617308.0,0.17173875546140818
"Underground, concentrator",Au–Ag polymetallic,Gasoline,11436000.0,4448617308.0,0.0025706863971945867
"Underground, concentrator",Au–Ag polymetallic,LPG-Propane,48400000.0,4448617308.0,0.010879785031848372
"Underground, concentrator",Au–Ag polymetallic,Natural gas,383669000.0,4448617308.0,0.08624455048314532
"Underground, concentrator",Au–Ag refractory,Diesel,111899935.999,1332634169.07016,0.0839689830833902
"Underground, concentrator",Au–Ag refractory,Electricity consumption|Grid electricity,893875119.6906,1332634169.07016,0.6707580673203792
"Underground, concentrator",Au–Ag refractory,Gasoline,4970480.57,1332634169.07016,0.0037298162431690708
"Underground, concentrator",Au–Ag refractory,LPG-Propane,14655632.81055998,1332634169.07016,0.01099749139764733
"Underground, concentrator",Au–Ag refractory,Natural gas,307233000.0,1332634169.07016,0.2305456419554142
"Underground, concentrator",Cu Porphyry,Diesel,170965251.5905,463187550.26489997,0.36910588700565
"Underground, concentrator",Cu Porphyry,Electricity consumption|Generated on-site,56414676.5,463187550.26489997,0.1217966166571966
