technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id
TECH-857b7b89-2023.0-2.0,2023.0,Energy,Aviation fuel,GJ,72676.1107896,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,72676110.7896,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89
TECH-857b7b89-2023.0-3.0,2023.0,Energy,Diesel,GJ,287042.447231542,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,287042447.23154205,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89
TECH-857b7b89-2023.0-4.0,2023.0,Energy,Electricity consumption|Generated on-site,GJ,86225.1173956,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,86225117.39559999,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89
TECH-857b7b89-2023.0-6.0,2023.0,Energy,Gasoline,GJ,13568.45,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,13568450.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89
TECH-857b7b89-2023.0-7.0,2023.0,Energy,Propane,GJ,42071.0413,,BC-MAIN-857b7b89,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,42071041.3,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-857b7b89
TECH-e7e6a960-2023.0-1.0,2023.0,Energy,Diesel,GJ,2557832.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,2557832000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960
TECH-e7e6a960-2023.0-3.0,2023.0,Energy,Light Fuel & Gasoline,GJ,42833.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,42833000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960
TECH-e7e6a960-2023.0-4.0,2023.0,Energy,Natural gas,GJ,162805.0,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,162805000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960
TECH-e7e6a960-2023.0-5.0,2023.0,Energy,Propane,GJ,1463.60937,,QC-MAIN-e7e6a960,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,1463609.3699999999,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-e7e6a960
TECH-b86f7d07-2023.0-1.0,2023.0,Energy,Diesel|Mobile equipment,gallons,2785135.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,378542030.29396677,lhv+density,"diesel MJ/kg=43.0, dens=0.835 kg/L",MJ,False,QC-MAIN-b86f7d07
TECH-b86f7d07-2023.0-3.0,2023.0,Energy,Gasoline|Mobile equipment,gallons,144321.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,17908178.0536758,lhv+density,"gasoline MJ/kg=44.0, dens=0.745 kg/L",MJ,False,QC-MAIN-b86f7d07
TECH-b86f7d07-2023.0-4.0,2023.0,Energy,Propane,gallons,494423.0,,QC-MAIN-b86f7d07,,CMP-7e360a1f,HeclaMiningCompany_SR_2023,42813081.771589935,lhv+density,"propane MJ/kg=46.4, dens=0.493 kg/L",MJ,False,QC-MAIN-b86f7d07
TECH-599152a0-2023.0-1.0,2023.0,Energy,Diesel,TJ,80.96,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,80960000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0
TECH-599152a0-2023.0-3.0,2023.0,Energy,Gasoline,TJ,0.368,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,368000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0
TECH-599152a0-2023.0-4.0,2023.0,Energy,Propane,TJ,10.12,Share of primary energy source derived from the all group,BC-MAIN-599152a0,,CMP-12afc634,HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,10120000.0,direct_unit,tj→MJ factor=1000000.0,MJ,False,BC-MAIN-599152a0
TECH-aeafbb59-2023.0-1.0,2023.0,Energy,Diesel,GJ,3947008.0,,ON-MAIN-aeafbb59,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,3947008000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-aeafbb59
