raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Dinitrogen monoxide,biosphere3,afd6d670-bbb0-4625-9730-04088a5b035e,0.010839198075268185,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Lead II,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,0.0004934183907136529,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Nitrogen oxides,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,6.520917236935017,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Particulate Matter, < 2.5 um",biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,0.03219050446045136,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Particulate Matter, > 10 um",biosphere3,7678cec7-b8e1-439d-8242-99cd452834b1,0.30022664845397723,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Particulate Matter, > 2.5 um and < 10um",biosphere3,295c9740-6fdb-4676-9eb8-15e3786f713d,0.691760056938464,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Sulfur dioxide,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,1.4931299820537973,kilogram,Measured Value. Process emission only.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Ammonium,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,0.4116459493753536,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Antimony ion,biosphere3,34b96163-a3df-4bc1-8224-e2a9fe01b23f,0.00853565100437652,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Arsenic ion,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,0.10473831848011954,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Cadmium II,biosphere3,af83b42f-a4e6-4457-be74-46a87798f82a,0.0003684979377755701,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Cobalt II,biosphere3,d4291dd5-dae8-47fa-bf06-466fcecbc210,0.006047680980679327,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Copper ion,biosphere3,6d9550e2-e670-44c1-bad8-c0c4975ffca7,0.0016719854494916095,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Cyanide,biosphere3,c9e29113-8f61-41bb-8bc1-b49c6f152fd9,0.002614282347977203,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Lead II,biosphere3,b3ebdcc3-c588-4997-95d2-9785b26b34e1,3.8694023305612275e-05,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Nickel II,biosphere3,9798359e-a3ee-4362-a038-23a188582c6e,0.005922412559905763,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Nitrate,biosphere3,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,4.690606422299042,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Water,biosphere3,db4566b1-bd88-427d-92da-2d25879063b9,26.36420061670576,cubic meter,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Zinc II,biosphere3,541b633c-17a3-4047-bce6-0c0e4fdb7c10,0.0010136303047594292,kilogram,"Measured Value. Final effluent (does not include recirculated water).
It is considered that the water emissions given by the plant are additional to those of the sulfidic tailing dataset. The first go to surface water after going through the WWT, while the second come from leaching and go to underground water."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Copper,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,117.752315527151,kilogram,0.2% Cu in ore; Calculated Value based on ore composition.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Gold,biosphere3,d080e6a4-42c6-484e-b5d7-d74693aec7d9,0.14054420875123017,kilogram,"1.8 ppm Au in ore; Calculated Value. When the amount is calculated based on the ore composition (1,79 g Au/t ore), the amount of recovered gold is higher than the amount of extracted gold. We hence calculate the amount of extracted gold based on a hypothetic recovery rate of 85%."
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Lead,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,211.94720859216218,kilogram,0.36% Pb in ore; Calculated Value based on ore composition.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Occupation, industrial area",biosphere3,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,321.7101826166436,square meter-year,Calculated Value. See parameters exchanges properties for details.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,Silver,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,3.2040878291194046,kilogram,54 ppm Ag in ore; Calculated Value based on ore composition.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Transformation, from forest, unspecified",biosphere3,0930b6b8-d9c6-4462-966f-ac7495b63bed,8.466057437280094,square meter,Calculated Value. See parameters exchanges properties for details.
Gold-silver ingot,gold-silver mine operation and beneficiation,"gold-silver, ingot",CA-QC,biosphere,"Transformation, to industrial area",biosphere3,4624deff-2016-41d4-b2bf-3db8dab88779,8.466057437280094,square meter,Calculated Value. See parameters exchanges properties for details.
