raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,"Carbon dioxide, fossil",biosphere3,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,139.94979556290622,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on explosives consumption. Emissions from explosives only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Dinitrogen monoxide,biosphere3,afd6d670-bbb0-4625-9730-04088a5b035e,0.050526941804719935,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Lead II,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,0.0022974015410716967,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Nitrogen oxides,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,30.36384137940414,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,"Particulate Matter, < 2.5 um",biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,0.14988235734877609,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,"Particulate Matter, > 10 um",biosphere3,7678cec7-b8e1-439d-8242-99cd452834b1,1.398504699450475,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,"Particulate Matter, > 2.5 um and < 10um",biosphere3,295c9740-6fdb-4676-9eb8-15e3786f713d,3.2221230433361803,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Sulfur dioxide,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,6.953786506287484,kilogram,"Calculated Value extrapolated from 1 mine to the other two, based on gold production. Process emission only."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Ammonium,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,11.690625221968816,kilogram,Calculated Value based on weighted average (extrapolation of third mine based on amount of extracted ore).
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Antimony ion,biosphere3,34b96163-a3df-4bc1-8224-e2a9fe01b23f,0.16229805958111337,kilogram,"Calculated Value based on weighted average (extrapolation from one mine only, based on amount of extracted ore)."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Arsenic ion,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,1.0468920122306824,kilogram,Calculated Value based on weighted average (extrapolation of third mine based on amount of extracted ore).
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Cadmium II,biosphere3,af83b42f-a4e6-4457-be74-46a87798f82a,0.003365151933052706,kilogram,Calculated Value based on weighted average (extrapolation of third mine based on amount of extracted ore).
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Chromium III,biosphere3,e34d3da4-a3d5-41be-84b5-458afe32c990,0.0014412147151297156,kilogram,"Calculated Value based on weighted average (extrapolation from one mine only, based on amount of extracted ore)."
Gold,gold-silver mine operation with refinery,gold,CA-QC,biosphere,Cobalt II,biosphere3,d4291dd5-dae8-47fa-bf06-466fcecbc210,0.11491973986251419,kilogram,"Calculated Value based on weighted average (extrapolation from one mine only, based on amount of extracted ore)."
