raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,market for ammonium nitrate,ecoinvent-3.10-cutoff,4936a0f0500ea80bf274e1cf09d139ff,0.00249115294537614,kilogram,"The exchange has been updated from 'ammonium nitrate, as N' into 'ammonium nitrate' and therefore its amount has been scaled (multiplied) from 0.0009 kg by 2.8573 kg of 'ammonium nitrate' per kg of 'ammonium nitrate, as N'. Original comment of the exchange is: Calculated Value. Use as an explosive (Anfor)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for diesel, burned in building machine",ecoinvent-3.10-cutoff,7b503114dd17d341a5d418812fc977be,0.098978424,megajoule,Calculated Value using the total consumption of the plant and substract the amount used for the explosive. Reported in m³.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for diesel, low-sulfur",ecoinvent-3.10-cutoff,a3f8685f5022cd35a0ebaee5ae5a989d,0.00014946,kilogram,"Calculated Value based on this estimation : the explosive Anfo is made of about 94 percent of ammonium nitrate and 6 percent of diesel.
Assumption : diesel low sulfur."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for electricity, high voltage",ecoinvent-3.10-cutoff,d0d7d353b8ca27cc0effb56c12a47119,0.03992,kilowatt hour,"Measured Value given by data provider (source : questionnaire). Reported as 161 kV mainly and 44 kV. The high voltage is between 44 kV and 315 kV in Quebec
Souce: http://www.hydroquebec.com/transenergie/fr/commerce/pdf/characteristics-and-target-values-of-voltage.pdf"
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for hazardous waste, for incineration",ecoinvent-3.10-cutoff,78aba9726eeea373a2cd9e5367092904,-8.953e-05,kilogram,Measured Value given by data provider (source : questionnaire). Reported as diesel sent to incineration.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"heat production, heavy fuel oil, at industrial furnace 1MW",ecoinvent-3.10-cutoff,2ff001b4c88fbd227eda77bd2ad48e53,0.0247127272727273,megajoule,"Calculated Value. Calculation is based on reported fuel input (in m3), the Net Heating Value of the fuel and efficiency (1/Fuel_use)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,market for lubricating oil,ecoinvent-3.10-cutoff,edc11964b6464c188c757f82f869c77b,5.0456e-05,kilogram,Estimation based on the amount of lubricant burned on site and with the amount of used oil sent to incineration plant.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for mine infrastructure, iron",ecoinvent-3.10-cutoff,d0a29ce6082ddf9d9cbb3b8ff52b9e7f,3.23331462014775e-13,unit,"Estimation based on the ecoinvent iron mine operation, crude ore, 46%, GLO dataset (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"market for solvent, organic",ecoinvent-3.10-cutoff,4ca2e594b18dbf86d1034ecbabfdbd06,2.189e-06,kilogram,Estimation based on the amount of waste solvent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,market for spent solvent mixture,ecoinvent-3.10-cutoff,087f21c3f228206c6c9c559860d34868,-2.189e-06,kilogram,Measured Value given by data provider (source : questionnaire). Reported as non-halogenated organic solvents sent to incineration.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,"transport, freight train, diesel",ecoinvent-3.10-cutoff,34fb4c90cc376739874eac1f4a731605,0.0159,ton kilometer,Calculated Value.Transport of the ore from the extra pit to the concentrator.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,technosphere,market for waste mineral oil,ecoinvent-3.10-cutoff,7e3380e62e98e926c429fcf085e2ba3a,-4.025e-06,kilogram,Measured Value given by data provider (source : questionnaire). Reported as waste oil with BPC concentration less or equal to 3 mg/kg and waste grease sent to incineration.
