main_id,facility_group_id,flow_type,subflow_type,value_MJ,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
BC-MAIN-857b7b89,,Energy,Acetylene,18475.650648,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,20482.948917490714,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Aviation fuel,72676110.7896,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,80572050.92186654,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Diesel,287042447.23154205,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,318228347.9922617,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Gasoline,13568450.0,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,15042602.47904244,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Propane,42071041.3,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,46641875.09666003,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Used oil,2344024.4,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,2598692.352507174,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Electricity consumption|Grid electricity,569009584.8,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,630829976.2250949,Au,metal_mass
BC-MAIN-857b7b89,,Energy,Electricity consumption|Generated on-site,86225117.39559999,BC-MAIN-857b7b89,"Au, UG mining and beneficiation at Brucejack",Au,0.9020015,1.0,95593097.5675761,Au,metal_mass
QC-MAIN-e7e6a960,,Energy,Electricity consumption|Grid electricity,2428287789.6,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,78491923.79757425,Au,metal_mass
QC-MAIN-e7e6a960,,Energy,Electricity consumption|Grid electricity,2428287789.6,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,78491923.79757425,Ag,metal_mass
