raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for diesel, burned in building machine",ecoinvent-3.10-cutoff,7b503114dd17d341a5d418812fc977be,4.028982331187504,megajoule,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for electricity, high voltage",ecoinvent-3.10-cutoff,551c407d4bf94e7a4c97e0555e494d94,0.2417770559805896,kilowatt hour,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"heat production, wood pellet, at furnace 25kW, state-of-the-art 2014",ecoinvent-3.10-cutoff,1730088585977eb2670072e6f7c528ae,0.02582816443931357,megajoule,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for explosive, tovex",ecoinvent-3.10-cutoff,4039be70f92cb41f235cdc157a5ea398,0.08232629581074989,kilogram,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for lime, packed",ecoinvent-3.10-cutoff,d01b9513e63e0d81699426729e398744,0.02582490330743992,kilogram,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for sodium chloride, powder",ecoinvent-3.10-cutoff,249476105f2d30c8363c97a1907d231a,0.004591673678100192,kilogram,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for sodium chloride, brine solution",ecoinvent-3.10-cutoff,ddcc250a65bde5006b0ed6943f07f1eb,0.0001915588862582423,kilogram,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"market for electricity, high voltage",ecoinvent-3.10-cutoff,551c407d4bf94e7a4c97e0555e494d94,2.246111100240669,kilowatt hour,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,"heat production, wood pellet, at furnace 25kW, state-of-the-art 2014",ecoinvent-3.10-cutoff,1730088585977eb2670072e6f7c528ae,0.02865752245289291,megajoule,
Cu concentrate from SE (Sanjuan-Delmás),[M+C] Copper (Cu) ore mining and concentration (Sweden),Cu concentrate,SE,technosphere,market for aluminium hydroxide,ecoinvent-3.10-cutoff,c82738661bbd847d85e52126d9216e5d,2.282792311555492e-05,kilogram,
