raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Arsenic ion,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,5.684e-19,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Cadmium II,biosphere3,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,2.046e-15,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Carbon dioxide, fossil",biosphere3,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,0.0005947,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions related to explosive (Anfor) for the main pit and extra pit and the emissions related to the combustion of waste oil on site (4.4644E-5 kg/kg).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Carbon monoxide, fossil",biosphere3,099b36ab-4c03-4587-87f4-2f81e337afb8,8.471e-05,kilogram,"Measured Value given by data provider (source : questionnaire). Emissions related to explosive (Anfor) for the main pit and extra pit.

The combustion of waste oil on site is also generating carbon monoxide. The estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3) is very small in comparaison to the above mentionned measured value (5.608E-10 kg/kg)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Chromium III,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,3.845e-17,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Copper ion,biosphere3,e336eee7-148a-4d1c-8027-780cbfafa12b,3.25e-12,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Dinitrogen monoxide,biosphere3,afd6d670-bbb0-4625-9730-04088a5b035e,3.302e-09,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions related to the combustion of waste oil on site (4.4644E-5 kg/kg).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Lead II,biosphere3,2718482b-8399-442e-b89a-52fbcc22d2e6,3.171e-13,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Mercury II,biosphere3,5ec9c16a-959d-44cd-be7d-a935727d2151,1.925e-21,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Methane, fossil",biosphere3,70ef743b-3ed5-4a6d-b192-fb6d62378555,6.191e-09,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions related to the combustion of waste oil on site (4.4644E-5 kg/kg).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Nickel II,biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,1.04e-13,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Nitrogen oxides,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,1.993e-05,kilogram,Measured Value given by data provider (source : questionnaire). Emissions related to explosive (Anfor) for the main pit and extra pit.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Particulate Matter, < 2.5 um",biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,4.343e-06,kilogram,"Measured Value given by data provider (source : questionnaire). Emissions related to stationnary sources (process), material transfer activities, fugitive sources (tailings) and road dust."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Particulate Matter, > 10 um",biosphere3,7678cec7-b8e1-439d-8242-99cd452834b1,7.854e-05,kilogram,"Measured Value given by data provider (source : questionnaire). Emissions related to stationnary sources (process), material transfer activities, fugitive sources (tailings) and road dust."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Particulate Matter, > 2.5 um and < 10um",biosphere3,295c9740-6fdb-4676-9eb8-15e3786f713d,2.904e-05,kilogram,"Measured Value given by data provider (source : questionnaire). Emissions related to stationnary sources (process), material transfer activities, fugitive sources (tailings) and road dust."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Phosphorus,biosphere3,ea4e9316-5080-4b3b-bbf3-1949f6d7577a,2.438e-11,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Sulfur dioxide,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,2.491e-06,kilogram,Measured Value given by data provider (source : questionnaire). Emissions related to explosive (Anfor) for the main pit and extra pit.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Thallium I,biosphere3,9540d6dc-b589-4fbb-8260-1b6a88b8bf11,2.786e-14,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Water,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,6.28995e-05,cubic meter,Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Zinc II,biosphere3,ada3ecfe-8244-4389-bcce-e83ca4f66e09,2.21e-11,kilogram,"Estimation based on the amount of waste oil burned on site (4.4644E-5 kg/kg) and the dataset treatment of waste mineral oil, hazardous waste incineration GLO (ecoinvent v3)."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Ammonium,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,4.549e-06,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Arsenic ion,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,1.958e-09,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"BOD5, Biological Oxygen Demand",biosphere3,70d467b6-115e-43c5-add2-441de9411348,8.6867e-05,kilogram,Estimation based on iron ore beneficiation to 65% Fe GLO dataset (ecoinvent v3).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"COD, Chemical Oxygen Demand",biosphere3,fc0b5c85-3b49-42c2-a3fd-db7e57b696e3,8.6867e-05,kilogram,Estimation based on iron ore beneficiation to 65% Fe GLO dataset (ecoinvent v3).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Cadmium II,biosphere3,af83b42f-a4e6-4457-be74-46a87798f82a,1.948e-09,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Copper ion,biosphere3,6d9550e2-e670-44c1-bad8-c0c4975ffca7,1.086e-08,kilogram,Measured Value given by data provider (source : questionnaire).  Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Cyanide,biosphere3,c9e29113-8f61-41bb-8bc1-b49c6f152fd9,5.7911e-07,kilogram,Estimation based on iron ore beneficiation to 65% Fe GLO dataset (ecoinvent v3).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"DOC, Dissolved Organic Carbon",biosphere3,960c0f37-f34c-4fc1-b77c-22d8b35fd8d5,3.136e-06,kilogram,Estimation based on iron ore beneficiation to 65% Fe GLO dataset (ecoinvent v3).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Hydrocarbons, unspecified",biosphere3,49c42751-1b0b-4ab1-8e70-032e991ce6fd,2.689e-08,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Iron ion,biosphere3,7c335b9c-a403-47a8-bb6d-2e7d3c3a230e,1.04e-06,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Lead II,biosphere3,b3ebdcc3-c588-4997-95d2-9785b26b34e1,1.958e-09,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Mercury II,biosphere3,66bfb434-78ab-4183-b1a7-7f87d08974fa,4.472e-11,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Nickel II,biosphere3,9798359e-a3ee-4362-a038-23a188582c6e,5.246e-08,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Nitrate,biosphere3,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,2.929e-05,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Suspended solids, unspecified",biosphere3,3844f446-ded5-4727-8421-17a00ef4eba7,3.198e-05,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"TOC, Total Organic Carbon",biosphere3,f65558fb-61a1-4e48-b4f2-60d62f14b085,3.136e-06,kilogram,Estimation based on iron ore beneficiation to 65% Fe GLO dataset (ecoinvent v3).
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Water,biosphere3,2404b41a-2eed-4e9d-8ab6-783946fdf5d6,0.0005992005,cubic meter,Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Zinc II,biosphere3,541b633c-17a3-4047-bce6-0c0e4fdb7c10,3.884e-08,kilogram,Measured Value given by data provider (source : questionnaire). Emissions in the final effluent.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,Iron,biosphere3,8ce3ff02-7a1e-48e3-881e-3248b944f28a,0.882,kilogram,"46% Fe in siderite; 25% Fe in ore; Calculated Value. Reported as ore containing 31% of iron.
3.22 kg of ore are extracted per kg of iron ore beneficated to 66.15% Fe."
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Occupation, mineral extraction site",biosphere3,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,0.00514217217066183,square meter-year,Calculated Value. See exchange properties for details.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Transformation, from forest, unspecified",biosphere3,0930b6b8-d9c6-4462-966f-ac7495b63bed,7.6748838368087e-05,square meter,Calculated Value. See exchange properties for details.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Transformation, to mineral extraction site",biosphere3,626915e9-2424-4059-8b6a-fae47161acdf,7.6748838368087e-05,square meter,Calculated Value. See exchange properties for details.
Iron concentrate,iron ore mine operation and beneficiation,iron ore concentrate,CA-QC,biosphere,"Water, lake",biosphere3,1acb026e-9de6-48fe-9e0d-be4d24125bbc,0.0006621,cubic meter,Measured Value given by data provider (source : questionnaire).
