raw_material,activity_name,reference_product,location,exchange_type,input_name,input_database,input_code,amount,unit,comment
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,market for ammonium nitrate,ecoinvent-3.10-cutoff,4936a0f0500ea80bf274e1cf09d139ff,0.00558434285306318,kilogram,"The exchange has been updated from 'ammonium nitrate, as N' into 'ammonium nitrate' and therefore its amount has been scaled (multiplied) from 0.002 kg by 2.8573 kg of 'ammonium nitrate' per kg of 'ammonium nitrate, as N'. Original comment of the exchange is: Estimation based on ''iron mine operation and iron ore benefication to 65% Fe, Québec 2011'' dataset (based on the extracted ore). 
Assumption : use of explosive Anfo."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for carboxymethyl cellulose, powder",ecoinvent-3.10-cutoff,a3281f997290a9f8953b895fd70877c6,0.002128,kilogram,"Calculated Values based on the Environmental Impact Assessment and a conversion factor (ore mined in 2010/expected amount of ore according to ElA).
Used as a dispersant."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for cement, CEM II/B",ecoinvent-3.10-cutoff,1760c90f66850195630efbfd50c4a86c,0.238,kilogram,"Extrapolation of the dataset 'nickel mine operation, sulfidic ore' based on the amount of extracted ore."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for chemical, inorganic",ecoinvent-3.10-cutoff,8b11c93221742fd1a07a536070dbf623,0.00211,kilogram,"Calculated Values based on the Environmental Impact Assessment and a conversion factor (ore mined in 2010/expected amount of ore according to ElA).
Proxy for collector AX350 (79%) and coagulant Percol 368 (cationic polydiallyldimethyl ammonium chloride) (21%)."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for diesel, burned in building machine",ecoinvent-3.10-cutoff,7b503114dd17d341a5d418812fc977be,1.9450032,megajoule,"Calculated Value: Stands for the diesel consumption of the mobile equipment used for exploitation like drilling machines, scoop trams and underground trucks. Also, the infrastructure of the machines is included. See exchanges properties for details."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for diesel, burned in diesel-electric generating set, 10MW",ecoinvent-3.10-cutoff,a872f94efc3b49aecba6218df7e9b8a7,0.16573200000000002,megajoule,Calculated Value. See exchanges properties for details.
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for diesel, low-sulfur",ecoinvent-3.10-cutoff,a3f8685f5022cd35a0ebaee5ae5a989d,0.0003564,kilogram,"Calculated Value based on this estimation : the explosive Anfo is made of about 94 percent of ammonium nitrate and 6 percent of diesel.
Assumption : diesel low sulfur."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,market for ethylene glycol,ecoinvent-3.10-cutoff,582656515ee64934d9a0a7643eaea104,1.596e-06,kilogram,"Calculated Values based on the Environmental Impact Assessment and a conversion factor (ore mined in 2010/expected amount of ore according to ElA).
Reported as anti-freeze. 
Raw data gives the amount of anti-freeze. It was assume a 60% ethylene glycol solution (% by volume), as its freezing point is -55 C (dilution water is neglected as it is marginal compared to the global amount of water consumed on site) (source :  http://www.engineeringtoolbox.com/ethylene-glycol-d_146.html)."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,market for foaming agent,ecoinvent-3.10-cutoff,e8290bc0826741c263df4a926f958f95,0.0003607,kilogram,"Calculated Values based on the Environmental Impact Assessment and a conversion factor (ore mined in 2010/expected amount of ore according to ElA).
Proxy for foaming agent MIBC."
Nickel concentrate,"nickel mine operation and benefication to nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",CA-QC,technosphere,"market for lime, hydrated, packed",ecoinvent-3.10-cutoff,0697f9e5c20583b2bb8ca68f0512a267,0.0004508,kilogram,Calculated Value based on the Environmental Impact Assessment and a conversion factor (ore mined in 2010/expected amount of ore according to ElA).
