lci_name,activity_name,flow_type,name,reference_product,categories,unit,location,impact_score,share_%,total_score
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Copper ion,,"('water', 'surface water')",kilogram,,16586.095658956765,1.7800679916082216,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Nickel II,,"('water', 'surface water')",kilogram,,1764.8789428519176,0.1894119375549083,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Arsenic ion,,"('water', 'surface water')",kilogram,,1592.022440897817,0.17086047537859453,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Cadmium II,,"('water', 'surface water')",kilogram,,843.8602775060556,0.09056553756019046,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Cobalt II,,"('water', 'surface water')",kilogram,,743.8647606235572,0.07983372806343693,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Zinc II,,"('water', 'surface water')",kilogram,,134.81283053300407,0.014468504790053656,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Antimony ion,,"('water', 'surface water')",kilogram,,10.413494225339354,0.0011176064658299193,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Lead II,,"('air', 'non-urban air or from high stacks')",kilogram,,0.1391439861812501,1.4933337002205555e-05,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Lead II,,"('water', 'surface water')",kilogram,,0.02666018205756686,2.861248223025595e-06,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for copper sulfate,copper sulfate,,kilogram,GLO,259408.99202412638,27.840526965014746,931767.5356867621
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",,kilogram,RoW,99272.68602964336,10.654233188804344,931767.5356867621
