lci_name,activity_name,flow_type,name,reference_product,categories,unit,location,impact_score,share_%,total_score
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Dinitrogen monoxide,,"('air', 'non-urban air or from high stacks')",kilogram,,2.9591010745482147,0.09846472738297457,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for cement, Portland","cement, Portland",,kilogram,CA-QC,655.1037693656589,21.798719419544327,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for diesel, burned in building machine","diesel, burned in building machine",,megajoule,GLO,421.60335601246203,14.028942732161429,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for chromium,chromium,,kilogram,GLO,356.27412397744183,11.855098425930873,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",,megajoule,CA-QC,268.94436058353426,8.949181686904433,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for electricity, high voltage","electricity, high voltage",,kilowatt hour,CA-QC,214.34152916187094,7.132260677846487,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,170.7964761905349,5.683289635059645,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",,kilogram,RoW,150.1315786763919,4.995660706927185,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for steel, unalloyed","steel, unalloyed",,kilogram,GLO,144.961339273337,4.823619874086002,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for quicklime, milled, loose","quicklime, milled, loose",,kilogram,RoW,126.65575166166934,4.214497492538692,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for sodium silicate, spray powder, 80%","sodium silicate, spray powder, 80%",,kilogram,RoW,56.24108789393286,1.871434347014827,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for ammonium nitrate,ammonium nitrate,,kilogram,RNA,55.997905478128324,1.863342399604689,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for oxygen, liquid","oxygen, liquid",,kilogram,RoW,55.76456327408612,1.8555778873663005,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for carboxymethyl cellulose, powder","carboxymethyl cellulose, powder",,kilogram,GLO,50.24601953143455,1.671947152395827,3005.239696687435
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",,unit,GLO,47.773283934265294,1.5896663413212604,3005.239696687435
