lci_name,activity_name,flow_type,name,reference_product,categories,unit,location,impact_score,share_%,total_score
Brucejack,Underground mining and beneficiation at Brucejack,Biosphere (direct),"Transformation, to mineral extraction site",,"('natural resource', 'land')",square meter,,14.229149328593408,69.37640802226163,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,3.14458512235774,15.331908849324712,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-BC,1.1896136563194613,5.800144513476119,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,0.9290231945278083,4.529595601065877,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for kerosene,kerosene,,kilogram,RoW,0.5793365207582984,2.8246443914647057,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.1825294385214971,0.8899503765481601,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.09101989907728011,0.4437815297813505,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.06664640643256807,0.3249448142758643,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.04302200479490812,0.20976040729219678,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,0.018744737150208666,0.09139285158738822,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.018076409640007153,0.08813431792739845,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.006632615504107356,0.032338337931633564,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.0037734061243303633,0.018397822446714205,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,0.00259067743262229,0.012631246638089517,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.002426782482061839,0.011832151576234948,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,0.0013561850524594057,0.0066122889977722095,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.0011607127072345753,0.005659233487128638,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for acetylene,acetylene,,kilogram,RoW,0.0001983109798528619,0.0009668957107590268,20.510069250093682
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for sulfuric acid,sulfuric acid,,kilogram,RoW,0.0001846700705095665,0.0009003873573402147,20.510069250093682
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Biosphere (direct),"Transformation, to mineral extraction site",,"('natural resource', 'land')",square meter,,34.465723016305766,87.40687517056625,39.43136389334268
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,3.074607228313804,7.797364647670481,39.43136389334268
