lci_name,activity_name,flow_type,name,reference_product,categories,unit,location,impact_score,share_%,total_score
Brucejack,Underground mining and beneficiation at Brucejack,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'urban air close to ground')",kilogram,,25.994598183825104,56.28013224562034,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Biosphere (direct),Nitrogen oxides,,"('air', 'low population density, long-term')",kilogram,,7.931119371095774,17.171430922091247,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-BC,6.121771481059017,13.254065559892043,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,2.9816718659061645,6.455529173390416,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.6871234302407138,1.4876705248352162,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.5629548135647297,1.2188367418368515,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for kerosene,kerosene,,kilogram,RoW,0.5500259476617905,1.1908448383783832,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.46323692281984646,1.0029404991371493,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.3481418457214101,0.7537515671093222,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.3252136178117266,0.7041103420444296,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.11003732690001175,0.2382385473356038,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,0.03490779280925702,0.0755778251240738,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.02556650641817219,0.05535328348212613,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,0.017798133173074545,0.03853420936235454,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.012429617074054298,0.026910994651399497,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.010234044259234935,0.02215742517903846,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,0.009064268446290259,0.01962477831969136,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),market for acetylene,acetylene,,kilogram,RoW,0.0019816174069446713,0.004290340975244048,46.18787686990195
Brucejack,Underground mining and beneficiation at Brucejack,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,-0.0,-0.0,46.18787686990195
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'urban air close to ground')",kilogram,,61.50315560510017,84.87358086388184,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Biosphere (direct),Nitrogen oxides,,"('air', 'low population density, long-term')",kilogram,,3.0540278045978777,4.214519942657816,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Biosphere (direct),Sulfur dioxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.7281928183162655,1.0048969266991308,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,2.2740298664800935,3.1381326024769964,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,1.5330791403512924,2.115629923524539,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,1.1521728412967198,1.5899840236304308,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,1.0762920420728925,1.4852694754812066,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.6255813813027757,0.8632944347417695,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.19038054977770963,0.26272276320613364,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,0.1155270798920953,0.1594259166171433,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.08461216226626304,0.11676371928431677,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.04113572498234917,0.05676678288023155,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.033869493130552306,0.04673947435302397,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,0.029998128804072644,0.041397040294408424,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.011841250015425967,0.01634077602727684,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,0.009913659198682775,0.013680724954324045,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.0006207457000342229,0.0008566212554367317,72.46442883532558
Canadian Malartic,Open-pit mining and beneficiation at Canadian Malartic,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,-0.0,-0.0,72.46442883532558
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Biosphere (direct),Ammonia,,"('air', 'urban air close to ground')",kilogram,,6.267037680483766,51.084386121900124,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'urban air close to ground')",kilogram,,2.2361904085705855,18.227816728986284,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,2.2582087286824186,18.407294246705895,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.7995422307508204,6.51729351550467,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.3208818673422893,2.615598317188433,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.2362065179055185,1.9253857373111545,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.149942588327685,1.2222241940720715,12.268010161713692
Casa Berardi,Open-pit and underground mining and beneficiation at Casa Berardi,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,-0.0,-0.0,12.268010161713692
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'urban air close to ground')",kilogram,,0.005267108106515079,43.51256419911655,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Biosphere (direct),Ammonia,,"('air', 'urban air close to ground')",kilogram,,0.0023379858794083603,19.314538190045592,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Biosphere (direct),Sulfur dioxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.0022438176682580213,18.536597002902173,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Biosphere (direct),Nitrogen oxides,,"('air', 'low population density, long-term')",kilogram,,0.0002478736641057133,2.047730653055891,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-SK,0.0016550399903079375,13.672594595372233,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.00030542907975635264,2.5232066956697716,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,2.3221057061080873e-05,0.19183349111285938,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,2.0942509956991433e-05,0.1730099877515431,0.012104798242669457
Cigar Lake + McClean Lake,Underground mining and beneficiation at Cigar Lake + McClean Lake,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,2.777425485092962e-06,0.022944830879564167,0.012104798242669457
