reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Cu concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.541409488199737,9,1.3460608927369742,40.22176790968777
Cu concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.10907840297842795,8,1.3460608927369742,8.103526635904007
Cu concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.021487575788594362,6,1.3460608927369742,1.596330144092012
Cu concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air',)",kilogram,,0.014647655248974613,7,1.3460608927369742,1.088186673278296
Cu concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.0008078301269195415,7,1.3460608927369742,0.06001438205941511
Cu concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.21619367313807006,9,1.3460608927369742,16.061210477519996
Cu concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.14289850455472738,9,1.3460608927369742,10.616050531277885
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-BC,0.08709884471638231,6,1.3460608927369742,6.47064669855183
Cu concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.07345532563577273,9,1.3460608927369742,5.457058148863864
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,0.06497739266617852,1,1.3460608927369742,4.827225351897611
Cu concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.044050574615076325,9,1.3460608927369742,3.272554373488064
Cu concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.008068754630052268,4,1.3460608927369742,0.5994345927134023
Cu concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.006727009930532336,9,1.3460608927369742,0.4997552463510149
Cu concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.004778064770371105,8,1.3460608927369742,0.3549664651987448
Cu concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,0.004465806435089589,5,1.3460608927369742,0.3317685298775132
Cu concentrate,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.0014454866480414488,3,1.3460608927369742,0.10738642329191439
Cu concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.0014148337485205588,9,1.3460608927369742,0.10510919351083346
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,0.0012197448326702301,2,1.3460608927369742,0.09061587326782053
Cu concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.0007875591115896507,4,1.3460608927369742,0.058508431218760835
Cu concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.0004177599605557521,4,1.3460608927369742,0.031035740122150927
