reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Cu concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.6313777312152474,10,1.5207751841876989,41.51683547838066
Cu concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.11197231933085751,9,1.5207751841876989,7.362844981631258
Cu concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.022831988164373665,7,1.5207751841876989,1.5013388173196065
Cu concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.018158054496747764,8,1.5207751841876989,1.1939999209315504
Cu concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.0010121808818381163,8,1.5207751841876989,0.06655690416060799
Cu concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.22122135079702226,10,1.5207751841876989,14.546617612989563
Cu concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.16959007565056905,10,1.5207751841876989,11.151554642256558
Cu concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.08410174955242429,10,1.5207751841876989,5.530189499859973
Cu concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.04418811818993735,10,1.5207751841876989,2.905631197127919
Cu concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,0.008068754630052268,4,1.5207751841876989,0.5305685359642479
Cu concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.0069018613034967395,10,1.5207751841876989,0.45383836975109987
Cu concentrate,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.00494482412119417,4,1.5207751841876989,0.3251515524850821
Cu concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.004778064770371105,8,1.5207751841876989,0.31418613481145424
Cu concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,0.004465806435089589,5,1.5207751841876989,0.2936532948145743
Cu concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,0.002714299958171735,5,1.5207751841876989,0.17848134204146293
Cu concentrate,Technosphere (first-tier),market for kerosene,kerosene,,kilogram,RoW,0.0023004653765346197,1,1.5207751841876989,0.15126926060168333
Cu concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.0014574175466450531,10,1.5207751841876989,0.09583385906073373
Cu concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.0004177599605557521,4,1.5207751841876989,0.02747019841587518
Cu concentrate,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.0003830137182974059,4,1.5207751841876989,0.025185426635034647
Cu concentrate,Technosphere (first-tier),market for dipropylene glycol monomethyl ether,dipropylene glycol monomethyl ether,,kilogram,RoW,0.00038204657479220253,1,1.5207751841876989,0.02512183120585752
Cu concentrate,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,0.00030806976702321595,4,1.5207751841876989,0.020257416758662272
