reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Cu concentrate,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'urban air close to ground')",kilogram,,0.029746737339334823,8,0.03035981734212405,97.98062025248556
Cu concentrate,Biosphere (direct),Nitrogen oxides,,"('air', 'non-urban air or from high stacks')",kilogram,,0.0001501199119637981,7,0.03035981734212405,0.4944690881111056
Cu concentrate,Biosphere (direct),Sulfur dioxide,,"('air',)",kilogram,,3.502203937013737e-05,5,0.03035981734212405,0.1153565549340263
Cu concentrate,Biosphere (direct),Ammonia,,"('air', 'low population density, long-term')",kilogram,,1.4811212047353468e-05,2,0.03035981734212405,0.048785576936930405
Cu concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.00018507342058094218,9,0.03035981734212405,0.6095999145691631
Cu concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,5.247705136420011e-05,9,0.03035981734212405,0.17285035273051047
Cu concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,4.361034472496822e-05,9,0.03035981734212405,0.14364495093473156
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-BC,4.228785532716808e-05,6,0.03035981734212405,0.1392888990425313
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-MB,3.539064093492621e-05,1,0.03035981734212405,0.11657066488941593
Cu concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,2.493462028524119e-05,9,0.03035981734212405,0.08213033696564626
Cu concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,1.4885955667454249e-05,8,0.03035981734212405,0.049031769525174594
Cu concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,6.16109845138098e-06,9,0.03035981734212405,0.02029359525438414
Cu concentrate,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,2.3051371304035942e-06,4,0.03035981734212405,0.007592723975994518
Cu concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,2.129815810801234e-06,9,0.03035981734212405,0.007015245799407787
Cu concentrate,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,9.007789401124482e-07,3,0.03035981734212405,0.0029670104070837846
Cu concentrate,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,8.414546586766788e-07,3,0.03035981734212405,0.00277160645992809
Cu concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,7.679026071542031e-07,8,0.03035981734212405,0.002529338692985953
Cu concentrate,Technosphere (first-tier),"market for electricity, medium voltage","electricity, medium voltage",,kilowatt hour,CA-QC,4.1216367524279204e-07,2,0.03035981734212405,0.0013575960309580573
Cu concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,4.0100989452160157e-07,4,0.03035981734212405,0.0013208574017512383
Cu concentrate,Technosphere (first-tier),market for dipropylene glycol monomethyl ether,dipropylene glycol monomethyl ether,,kilogram,RoW,2.5823993222934675e-07,1,0.03035981734212405,0.0008505977796876943
Cu concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,1.654626696962636e-07,4,0.03035981734212405,0.000545005484821166
Cu concentrate,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,9.032009508431218e-08,3,0.03035981734212405,0.0002974988092533536
Cu concentrate,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,2.345280300052445e-08,3,0.03035981734212405,7.724948650459711e-05
Cu concentrate,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,5.948261346867169e-09,2,0.03035981734212405,1.959254655532461e-05
Cu concentrate,Technosphere (first-tier),market for sulfuric acid,sulfuric acid,,kilogram,RoW,3.947212321112415e-09,3,0.03035981734212405,1.3001436328260393e-05
Cu concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,6,0.03035981734212405,0.0
