Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Copper Mountain,9.696595817810394,2.687051409098572,1.3488495495259722,0.3737835577746586,3.0507229275490346e-19,0.011289637385054455,1.9543034590733201,0.05522239622336131,0.0048038326212822904,4.9066658809579025e-11,0.22900602624989014,1.3625586805243897,0.30653656819320957,0.029710357423156263,6.773874699786526e-07,4.5759795439864606e-07,0.00355553310807914,0.08362766353997096,0.0847877841319252,0.024724914897050285,0.01670232519387016,0.00036701581313344274,4.5918978824177354e-05,3.386410089350693e-05
Gibraltar (Cu),7.765085400538051,2.3046903565255596,1.0801658760899793,0.32059504282634577,4.341098455295177e-19,0.013240860970509739,0.13247265874889702,0.0594537212442659,0.0002539745551279834,6.365076539187298e-11,0.24043426200803575,0.9231472522569912,0.2473550236013463,0.024979866035867108,6.768248823115964e-07,4.931671614021528e-07,0.0040330712160849165,0.08127679360680103,0.09675821819807606,0.02470432387093753,0.018000601293621375,0.0004930275537315753,4.028163021242443e-05,4.5739924140106295e-05
Highland Valley (Cu),4.916166602728977,1.2614984273390946,0.6838656839595489,0.1754813357612129,1.407820797326315e-19,0.004904719032678336,0.04657646324029999,0.02552831403988869,8.331367241887833e-05,2.2516624069928356e-11,0.1474248338244977,1.1231184331727948,0.15314418226650994,0.013735317135739555,2.83299563120783e-07,1.9018578548599502e-07,0.001540214417581726,0.03720051669064341,0.036609648407522545,0.01034051539358773,0.006941781132087872,0.00016750502510665919,3.052325523917655e-05,1.5604805665259342e-05
Mount Milligan,8.474254743578356,2.5151256449626076,1.178815212312389,0.3498677430231941,3.9521636980350683e-19,0.009931976698952735,4.974067452380505,0.06930933040141213,0.007031605626479492,5.530651274658655e-11,0.3170852940567973,1.1225497286423172,0.26945124323897934,0.027621928213034743,9.060226483827898e-07,7.57872677643041e-06,0.003982217729542854,0.05701655602021668,0.0718535514231772,0.03307028091886483,0.27662351764928533,0.0003333366502747367,0.00010565214251845182,4.817824911273533e-05
Mount Polley,9.465467313109906,2.7495478227169516,1.316698306737002,0.38247715118778747,3.620824966303989e-19,0.13715478965273395,0.16347649727440605,0.05841225936137506,0.00029600912948078386,5.148351567377004e-11,0.23601466753154593,1.204596830695637,0.3049700374743955,0.0304650724408167,6.639706965902683e-07,1.3743562561497773e-05,0.03860563026318853,1.3015733536104557,1.0792421769600573,0.024235780110666395,0.5016400152562734,0.00037103531825053197,5.1824050976498424e-05,3.8384737345687264e-05
Goldex (Cu),9.508648327978449,3.1687751421748813,1.3227050140026049,0.44079396650454955,1.710817230176497e-18,0.019615684401533,0.20101479413547385,0.0808975539290222,0.0003684877911967619,3.455279553688285e-10,0.31350763557578387,0.4260439508457083,0.2903352902641271,0.031316238003748026,9.033654589081162e-07,7.672573923000051e-07,0.0034014729739867194,0.036512436827904005,0.1293638912998652,0.03297321320083725,0.02800489461391747,0.001802336219686414,5.92470481076534e-05,0.00010127133245804924
Kidd Creek,1.929646491839249,0.4928498265099385,0.26842438849825295,0.06855810825166544,3.462348574779594e-20,0.007644764030070617,0.32320545727989153,0.003147970659745351,1.978302881329994e-05,2.6870999849260354e-12,0.032108231072087816,0.2468252197991087,0.061144929422059985,0.005839319171995632,4.492147913234485e-08,3.3720906973852736e-08,0.002370766133495762,0.08050950157920589,0.062365594848948394,0.0016396824507527578,0.0012308130948301666,1.1318556337310524e-05,9.512102503320352e-07,3.7194492908948486e-06
LaRonde (Cu),4.986157089775072,1.532290966035421,0.6936017382589346,0.2131500601653535,4.69335945749325e-19,0.014443218815134981,0.09648006705522022,0.033494482463089364,8.363920434333852e-05,2.926085891356993e-10,0.2336769599571217,0.4387458355369201,0.15358467488876137,0.01565142061222573,3.762470770239309e-07,3.5923956061611845e-07,0.004154695731600632,0.10586116044625044,0.10877265128044082,0.013733485318169175,0.013112243756330714,0.001633705748523141,3.984387388632736e-05,2.7108624141472614e-05
New Afton,2.6221813507228178,0.7879626188608599,0.36475977623447586,0.10960991299693809,1.5019588456180734e-19,0.0019836740573356505,0.03942656483314701,0.018097935770851257,0.00015741684242425753,1.7573046320721674e-11,0.08272061421165179,0.45994457252894416,0.08172532130233139,0.008408192576798859,2.002735273443939e-07,1.5550398392204852e-07,0.00045847986319880223,0.007397139571715299,0.013631839014326819,0.0073100647159643345,0.005675895360562429,0.00012760032162838645,1.8798866199583298e-05,1.4617183589040553e-05
Snow Lake (Cu),7.655209739188489,2.4088197332683428,1.0648815681713952,0.33508000701456514,2.3778275507940497e-19,0.007991061661919216,0.10574630834280457,0.032066684975234794,4.7703649512192796e-05,1.7460055434024282e-10,0.13949458740012932,0.0914417571946897,0.2328299717800367,0.025274254698769993,5.259522889870299e-07,4.568889248255526e-07,0.005814410785239465,0.018022932828501884,0.0517514919115347,0.019197588131047588,0.016676445619192747,0.004432263854556402,0.00011750839333788538,7.753154243589689e-05
Casa Berardi,79784.49863416809,24159.658847548206,11098.460386974712,3360.740779958439,7.621730137438145e-15,69.65323853809892,3154.278170164147,426.1617671243211,0.5532324872828619,2.1882914160308147e-06,2674.2920159989726,11083.78359827572,2469.7809250407217,252.12697785564296,0.004516345029567227,0.0035786901187250834,125.4537150311694,357.0932789525823,503.8570981047418,164.85270945587527,130.62218779040268,12.090199065266795,0.2485635809699005,0.3587899587221478
Hemlo,50960.29355194093,14954.167326753923,7088.85573269432,2080.2065227932117,3.556764929492197e-15,236.15744529996635,1244.4293558964196,352.36567611940984,1.6044687621723779,4.803663738171769e-05,849.524489544194,5035.446943663816,1772.902014887386,179.2955596680193,0.004996360946860764,0.0041157877907338145,101.30320578469416,2120.0275271673754,1853.4493482247265,182.37155739108144,150.22625196113415,3.3071238320010323,0.2179976427877719,0.3303215664329305
Meliadine,71613.724218516,22030.637913240727,9961.86091604518,3064.582312415178,5.976357052276055e-15,842.9334273574747,497.42970394423844,184.6519564430577,1.005919693644326,1.780431511869154e-07,493.5113561401541,3129.46453095251,2287.7585578622407,248.16542592680497,0.0020819078105991096,0.0019125624696411307,255.3102649970814,8430.681980371517,6778.796288504567,75.9908912701809,69.808529644408,0.5780358031527364,0.0535550337641153,0.30425997597801124
Rainy River,227407.95137741754,70483.19426416626,31633.690539900697,9804.598104076702,3.0860210497670194e-14,267.96666105828444,6781.1708488252925,1519.8057382723446,4.102487456991341,0.0002853872670998525,3590.904578213283,18615.576363371452,6901.984944920573,706.5162113286443,0.024466550472506097,0.016108661718912964,56.99696650904926,1001.9292983621036,1892.447136699223,893.0486410775536,587.9661463681574,18.3843196286689,1.2026000681403275,1.9776131600931186
Meadowbank complex,113619.06376274338,37195.8486731515,15805.03350279674,5174.146138086126,1.0447843213498506e-14,1305.8593284850667,1104.617959617333,745.7547851389953,1.635766618302394,3.9195511516151816e-07,655.9748421003985,3161.0863552939377,3598.510832758663,390.61475890887635,0.007897086230951353,0.006258913042476299,371.0625872326676,12251.258563771777,10328.872173735203,288.24663187399415,228.45032343218946,1.0648620527261268,0.11397499714034964,0.5705915596187211
Porcupine complex,101256.76234497345,31319.400490758133,14085.369746446599,4356.700023162124,4.1881010747185196e-15,72.62815398239849,1248.9091555444031,476.89692976919815,1.0024390679285344,6.911809202767392e-05,1580.9061707738013,12183.975874328591,3215.872617258162,349.08753820640084,0.006882754841576235,0.004143294980201845,17.607326629159772,426.54040834232114,523.9960496646647,251.2269968745002,151.23026522832095,4.485925791636413,0.5933268105981782,0.39694341415201745
Canadian Malartic,72735.42494266598,22941.27287047654,10117.89564444612,3191.2566211275393,7.52729817516924e-15,294.80895567841446,1420.955974572218,547.0034467385933,2.313082712177542,1.6332626690504994e-06,1856.3031096117193,5002.007084917089,2301.0309026046034,243.62391380660267,0.005811801186636871,0.024078190830678085,75.18789876571822,2069.2019377510906,2197.0467405420186,212.13288634169584,878.8539374170945,8.224693192221748,0.41066661891532874,0.49235559036782095
Detour Lake,141864.19567495913,46042.514468982896,19734.085933001836,6404.76576861705,1.5570367965091343e-14,582.1778948923352,3189.5197381451458,1092.8285139948453,5.516005806520173,9.862844588038339e-05,1809.985152493053,4534.531145215989,4470.528068733995,481.54183886316866,0.014392921063339465,0.011820676653127249,143.94326895879146,3940.1418586911427,4318.954339412432,525.3504598789308,431.4546922497932,7.919197841236277,0.6326253236822268,1.114432795150658
Kiena,36959.34530717431,12475.015656994012,5141.247171715608,1735.3429598959983,6.607378056086858e-15,42.23510589524733,458.19518993713183,261.5306206025309,0.4798413220914839,1.476212595073237e-06,2502.3393956765403,16576.55116800909,1142.057828525408,123.9689968291374,0.0030050965939975496,0.002460590144882205,6.014622487692815,137.82719227014786,295.06258095461936,109.6870806697469,89.81153936224582,8.168216342443767,0.19031108785909367,0.29554653620772847
Brucejack,241460.79914443858,76741.07548180362,33588.518523819046,10675.10361539126,5.582194937227595e-15,590.5794128312544,2134.542451061167,1611.780701618325,1.476382388587877,2.5697900846356046e-06,1382.2988756529896,2581.7530930179655,7663.042031820033,831.5526927093408,0.019495127972265353,0.012810074996902851,161.76943484161657,5363.386406139557,4604.464301146272,711.5771429004842,467.56773325778045,26.042319188388394,1.344104575804323,0.8435610457245911
Eagle River,46115.7706921494,15079.363616953377,6414.956054384284,2097.622014730837,6.493634341101011e-15,280.1920426960346,2574.516920688516,299.1433484471141,0.5490689473058035,4.4500058055924716e-05,341.2661421712418,1024.3700684441644,1420.552963764711,152.79366673061625,0.0045565612719651585,0.0036547010674490244,84.43815069041017,2742.1381549252983,2255.8073063170737,166.3177454329941,133.39658685007936,2.8431285980684997,0.15556112240167863,0.36567789616372426
