Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Copper Mountain,9.208708479598009,2.838470131965018,1.2809817421858338,0.3948467306267406,2.928222010589566e-19,0.005861060211974842,0.1090550936738473,0.031903219404325195,2.1703793366908306e-08,5.3801297041716686e-11,1.939219555748573e-06,1.976037639558458e-06,0.2969053691159985,0.03222891855674504,4.932003548499833e-07,3.545079648474123e-07,0.003052303858954876,0.06438185451482943,0.048245145064963066,0.018002041632088697,0.012939540653818984,9.319221611190854e-09,5.699651676428186e-10,6.315054440147764e-09
Gibraltar (Cu),7.385100459080232,2.315678884730385,1.0273078868939756,0.3221236069929512,4.2071175724315703e-19,0.005521828969763827,0.14281300965925117,0.03158518504612688,2.4716892249437052e-08,6.913102929720005e-11,1.4344633610778681e-06,1.4508628251016576e-06,0.2388993030328047,0.025931723682878462,5.587831105830276e-07,4.4748306258067605e-07,0.0034076707905467776,0.06066901730375598,0.04545268243867611,0.020395795375518798,0.016333131730364072,6.862356993529232e-09,6.56203867033418e-10,4.565373925757352e-09
Highland Valley (Cu),4.598815438637696,1.4245717871204095,0.6397203932681402,0.19816573250178163,1.3518146719122573e-19,0.0024106686986262054,0.049086214821993324,0.0147784258667499,9.96849419160382e-09,2.468318977898214e-11,8.85172434609509e-07,9.022802474688394e-07,0.1476011267893467,0.01602198705574344,2.2805929945272782e-07,1.6369401184749638e-07,0.0013086741724760258,0.02635482147877328,0.019816878986764413,0.008324238545087077,0.005974831403114862,4.253503248834845e-09,2.6188515249059276e-10,2.8817143068063007e-09
Mount Milligan,8.155432518953939,2.518071238647755,1.134465292208731,0.3502774909829589,3.8198800420980818e-19,0.003107862583889342,0.1840572562809283,0.034126652966558695,2.7847067566789155e-08,6.307260106408219e-11,1.6793306690899794e-06,1.798469628740639e-06,0.26212350747542984,0.028453615690963843,6.173953328909209e-07,1.1049781319881549e-05,0.0032784903631608176,0.034178851585002626,0.025581842006238757,0.022535290341256793,0.40331702204608133,8.032508441895911e-09,4.949239541876484e-10,5.358209226792094e-09
Mount Polley,9.028776940860471,2.821282823220534,1.2559522798620493,0.3924558821315673,3.4894137538991348e-19,0.11215337164664649,0.12738253228977883,0.03268411199761426,2.391930636012437e-08,5.687811080427863e-11,1.910894309069345e-06,1.9566570604675918e-06,0.2957157384562722,0.032098503385110985,5.457809966506961e-07,2.0666036092941798e-05,0.04134991241984971,1.2311678848952867,0.9232184090056252,0.019921722859524052,0.7543103247867269,9.175851518931634e-09,6.328721285813372e-10,6.188377538028133e-09
Goldex (Cu),7.647738194757975,2.505910865371141,1.0638422316278424,0.3485859171281403,1.6466665609817493e-18,0.0027871324517310192,0.19477071351564104,0.03390288359879751,4.914163333302157e-08,3.718540303104519e-10,1.7877374715512494e-06,6.960299441346367e-08,0.23553255140158003,0.0255674639316804,7.082168571897652e-07,7.072394790335575e-07,0.001912141560618794,0.001127838627154033,0.01683903259839448,0.025850241654294507,0.025814240826251108,6.072181428893942e-09,2.308452937897482e-09,5.229112887023307e-09
Kidd Creek,1.7301530655618849,0.5069748448305978,0.24067375924642279,0.0705229755845437,3.269702160805943e-20,0.006694224623014811,0.01500097255621978,0.001013844569912734,1.5169223750129062e-09,2.6502863456469724e-12,3.021281593445577e-08,3.5232456966908114e-08,0.056018534297071716,0.006080799826821061,2.697211348371984e-08,2.1620990793058766e-08,0.004005522366666312,0.07348609258093619,0.055105196862255526,0.0009845119968051221,0.0007891661634038971,1.4174825064891335e-10,4.202934101759497e-11,8.235696155613307e-11
LaRonde (Cu),4.456380621087202,1.438836101621827,0.619906930073673,0.2001499768855653,4.339643110004132e-19,0.004201936361444869,0.06307681132016663,0.02069766926180821,1.372584852323826e-08,2.9775037135753716e-10,8.339514157339041e-07,-8.898075384016109e-07,0.13914809528122388,0.015104679937272093,3.06885922605705e-07,3.6584209408038986e-07,0.022002699987145807,0.026504737632579437,0.03391980069269762,0.01120177979107991,0.013353236395684072,3.489973500542392e-09,5.650234113210416e-10,2.6919141035653037e-09
New Afton,2.0717294028218247,0.6510695204914129,0.2881888969954005,0.09056733371779836,1.4184605562880683e-19,4.1172709402207753e-07,0.029206613197877446,0.010091995069424278,6.607669451347992e-09,1.7848340213837077e-11,4.795557981868114e-07,4.7347413237081617e-07,0.0652121269435711,0.007078918097236955,1.5144717691736508e-07,1.400959569770465e-07,0.0002499194198400972,2.1766490041291513e-05,2.7135769711297288e-06,0.005527881258660544,0.005113502409092632,2.1932041208706746e-09,2.52420375809536e-10,1.5317861756981164e-09
Snow Lake (Cu),7.446453763842918,2.3203450607597986,1.035842469729388,0.32277269574491363,2.227561595088182e-19,0.0009704305501194585,0.08913110907635187,0.016303084028004428,1.0371708252199323e-08,1.7742375959622023e-10,4.80484852651295e-07,-2.819330436561239e-07,0.22658835626457344,0.02459671467027894,4.281833635081557e-07,4.0995947092511576e-07,0.0008709522505147715,4.608424433857657e-05,0.01254484330465636,0.01562893978394727,0.014963520570239997,2.1048450236253986e-09,2.752962842414493e-10,1.6280836352116993e-09
