Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Copper Mountain,1.1415777605207457e-05,3.1634585320875627e-06,2.198430717856427e-08,5.872699519859374e-07,5.062073850644518e-07,1.0669802752558949e-07,7.396634426139232e-10,3.43360666760392e-11,8.954890566432635e-06,8.499609947706485e-09,5.6086539406003375e-06
Gibraltar (Cu),9.141815299667794e-06,2.7133058778735247e-06,7.427080785885918e-09,8.352403902494695e-07,2.219840920090082e-07,5.858811498351195e-08,9.613347271128834e-10,2.7798756588868133e-11,1.7071459002159472e-06,8.298582572432366e-09,4.920094693084266e-06
Highland Valley (Cu),5.787790431709636e-06,1.4851587701914995e-06,2.8011862331142646e-09,2.701136889721737e-07,7.922351826519586e-08,2.1094121425601312e-08,3.391784459713834e-10,1.574415330571431e-11,5.228594564772879e-06,3.698485388506791e-09,3.7281834256957635e-06
Mount Milligan,9.976718579899423e-06,2.9610507846984495e-06,1.0345056226483515e-07,1.2155034146581795e-06,2.5674787308958374e-06,7.301297162582049e-07,8.392362777584742e-10,3.0364551650383044e-11,1.1078440924149577e-06,5.7509924286247974e-09,1.2904605473434624e-05
Mount Polley,1.1143670602650123e-05,3.237035398091074e-06,1.539339765076261e-08,6.990045880269619e-07,3.82448003184325e-07,9.131787068158444e-08,7.778059620511468e-10,3.389132758865975e-11,6.866705393060803e-06,1.3410702340183047e-07,6.329913581923721e-06
Goldex (Cu),1.1194507496037376e-05,3.7305906269571777e-06,1.1826808953153987e-08,9.429901413228497e-07,3.51115575274644e-07,1.0803534631495217e-07,3.726600235147719e-09,3.427628455704471e-11,1.8244554827476128e-06,3.628844353825965e-09,7.2365762119918405e-06
Kidd Creek,2.2717679095527817e-06,5.802307973562071e-07,1.7738170535118628e-09,6.628673720965568e-08,3.7540555893155055e-08,4.3103200656113455e-09,4.082012961676655e-11,7.290271145254242e-13,4.891326263149493e-07,8.400672527591595e-09,1.1618309586750322e-07
LaRonde (Cu),5.870190060334815e-06,1.8039621148702489e-06,5.9220828055065115e-09,2.1919169176725095e-07,1.3184344813917983e-07,4.02114562532538e-08,2.914215005064934e-09,1.6828000389893227e-11,6.490792954885196e-07,1.0935233419364118e-08,4.866626088023294e-06
New Afton,3.0870874400591176e-06,9.276663122221134e-07,3.2010265356403698e-09,1.3031711503514126e-07,7.823328033070848e-08,1.918296453132977e-08,2.6140654718354423e-10,9.763311295026634e-12,3.2999748056232504e-07,7.054711293762526e-10,2.296138496303137e-06
Snow Lake (Cu),9.01245896394956e-06,2.835897098131893e-06,1.4461810042033834e-08,1.6358022390437014e-07,3.292184188268604e-07,7.006195056819855e-08,2.5946837625259037e-09,1.855274035435683e-11,1.357045220971217e-06,1.7976802382670107e-09,1.4352756316104824e-05
Casa Berardi,0.09393008736452646,0.028443102649556417,0.000635064189742776,0.0010350021837067938,0.00921580480222519,0.0006189943692662915,2.212758997834349e-05,2.9094641353886183e-07,0.005345433383577562,3.539753904129042e-05,0.030360150499740612
Hemlo,0.05999542403734866,0.017605501740785345,0.00022502803874385518,0.0031792343412077296,0.005524084143508339,0.001535997292399549,0.0004630372043661373,1.7671371449861507e-07,0.008369167331662292,0.0002202458864791273,0.026626753677271964
Meliadine,0.084310655564899,0.025936611827880207,5.607651141497918e-05,0.0018787474911986545,0.0012861538924312421,0.00028641536387565133,2.7294861962959056e-06,6.647146848394074e-08,0.030433116780719024,0.0008778535014773902,0.006541339961198878
Rainy River,0.2677268025623342,0.08297967881921868,0.0002082812722081559,0.008173789018220799,0.0057320746630724895,0.00200820201760275,0.002748955899661631,8.398029863331642e-07,0.033075360530087736,9.965446668203247e-05,0.14688844969675685
Meadowbank complex,0.1337634350604819,0.04379057459252163,0.0001363955145893472,0.003171978137762583,0.00285974976517804,0.0006250712707112493,5.901731063126399e-06,5.496576667682404e-07,0.047884722656737516,0.0012735278154691078,0.013921178850445637
Porcupine complex,0.11920932917153618,0.036872247476569614,0.05519665661356712,0.02104685393292446,1.5317936852235257,0.5086278556304288,0.000665913104761229,2.887243506315247e-07,0.011442715888586846,4.2463674777150215e-05,0.07247035625657183
Canadian Malartic,0.08563123096690937,0.02700870005401921,0.00012238061003168974,0.006333069255273264,0.002180609622660381,0.0006510123189226985,1.8103808060951908e-05,3.0702199228506595e-07,0.020569799067114283,0.000213535502272743,0.05015980340659887
Detour Lake,0.16701635706820384,0.05420573089609343,0.00015910277806473866,0.011463787766502241,0.004333794938104925,0.0013002633552244307,0.000952805997478037,6.299478733885581e-07,0.03548274305677985,0.0004075309583087445,0.07727037067135178
Kiena,0.04351214323336358,0.014686803073832772,2.3436764266368616e-05,0.000653215064130772,0.0006921464266243318,0.00032276816507488575,1.4995082104978769e-05,1.717177013764438e-07,0.004094699399314148,1.2773826032067503e-05,0.023245051614659396
