Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
7.2316659012806114e-06,Cu concentrate from Au mine,4.2767182510420005e-07,2.9264619861949847e-06,2.355912402151403e-09,1.5755991060038157e-11,9.861764601238406e-07,5.438528578284332e-09,2.5763906586482362e-06,Ecoinvent,Cu concentrate
8.300144792838013e-06,Cu concentrate from Cu mine,5.620018407247735e-07,7.986915920829646e-07,1.286584761659139e-08,1.7188007320509857e-11,3.054721070886566e-06,1.8123086096959395e-08,4.6651128517151115e-06,Ecoinvent,Cu concentrate
0.02012167285008707,Au-Ag ingot,0.001189970999408885,0.00814270345633219,6.555183989811638e-06,4.3840092122783365e-08,0.0027439763327498706,1.5132376761425388e-05,0.007168651566659356,Ecoinvent,Doré
3.236259555959689e-06,Pb concentrate,1.913884104566177e-07,1.3096278113631066e-06,1.0542998049978822e-09,7.051000074190799e-12,4.413261065466677e-07,2.433808461846808e-09,1.1529665482620322e-06,Ecoinvent,Pb concentrate
3.270687885861722e-06,Zn concentrate,1.934244573038379e-07,1.323559958391699e-06,1.0655157665623573e-09,7.126010811016568e-12,4.460210732632338e-07,2.4597000943792094e-09,1.1652321531608646e-06,Ecoinvent,Zn concentrate
1.394197646488304e-07,Fe concentrate,1.617014410100955e-09,1.839406271662181e-09,2.419396968412307e-11,3.8674145120364145e-13,2.3723916842951775e-08,1.4040044386454188e-10,3.4360053320510364e-08,Ecoinvent,Fe concentrate
3.4152167436861846e-06,Ni concentrate,4.2600889121919083e-08,9.185635948426242e-08,1.821170398174475e-10,7.91349387330598e-12,5.117127208619637e-07,2.920935093446723e-09,1.6893810540873557e-07,Ecoinvent,Ni concentrate
1.0250486806782673e-05,Cu concentrate from Au mine,4.803653809957644e-07,2.98567412715912e-06,2.429637717714166e-08,2.807151090764823e-11,6.460809938336835e-06,5.760790105494988e-09,5.056601522564829e-08,Regioinvent,Cu concentrate
8.442553361872307e-06,Cu concentrate from Cu mine,5.920735223397099e-07,8.259879341685209e-07,1.2777436725511593e-08,2.0730621795177695e-11,4.405097495685763e-05,1.8349384247160245e-08,1.530835549100795e-07,Regioinvent,Cu concentrate
0.02852136000189917,Au-Ag ingot,0.0013365876391081585,0.008307457663763236,6.760320361980968e-05,7.810728288115583e-08,0.017976812598828468,1.602905008132868e-05,0.00014069688032630284,Regioinvent,Doré
4.587219073883055e-06,Pb concentrate,2.1496942607361662e-07,1.3361259734279919e-06,1.0872927926679183e-08,1.256234689598818e-11,2.8912919439795714e-06,2.578024460574395e-09,2.262891448596494e-08,Regioinvent,Pb concentrate
4.636019293063851e-06,Zn concentrate,2.1725633494903527e-07,1.3503400153273888e-06,1.0988597317713531e-08,1.2695988898804495e-11,2.9220504024358525e-06,2.6054503029262395e-09,2.2869647936870286e-08,Regioinvent,Zn concentrate
1.6579840947957223e-07,Fe concentrate,1.9863346760829684e-09,2.434937222903416e-09,2.9684257104992443e-10,5.834396218068653e-13,2.9072848559067156e-07,1.4269319014834085e-10,7.638756895511224e-10,Regioinvent,Fe concentrate
3.151504870145916e-06,Ni concentrate,4.099883673821771e-08,9.026713555626148e-08,2.572385730953047e-10,8.684618380790581e-12,5.236908566066908e-06,2.7948790378614594e-09,1.3243118837977324e-08,Regioinvent,Ni concentrate
2.142884979470342e-05,Copper Mountain,2.3791416734009087e-07,7.397140376015922e-07,2.6029413488562778e-09,4.3900241473819274e-11,5.8206158318127605e-06,1.0214156836174822e-08,2.2734277216107188e-07,MetalliCan,Cu concentrate
2.0650969287107826e-05,Gibraltar (Cu),2.7528338677414186e-07,5.54771849551299e-07,1.999880269575678e-09,6.54879790765932e-11,6.079630939930818e-06,1.0940325028094968e-08,3.039910414981794e-07,MetalliCan,Cu concentrate
8.717781760560387e-06,Highland Valley (Cu),8.685981572277883e-08,1.7693738114756767e-07,5.040686305661941e-10,2.862133676675199e-11,2.8622262730642227e-06,4.539608921997902e-09,9.447581172178098e-08,MetalliCan,Cu concentrate
8.515105027848529e-06,Mount Milligan,7.968103125405236e-08,6.626120850195545e-07,3.766976701593298e-10,3.2324569827442996e-11,7.481655293976757e-07,4.338345212699031e-09,2.8424717358421205e-08,MetalliCan,Cu concentrate
1.986766560689274e-05,Mount Polley,2.196857318561458e-07,5.240116087928763e-07,1.2645772889908112e-09,6.338243029577815e-11,3.359408848327012e-05,1.3468306293899233e-07,2.3988094898564465e-07,MetalliCan,Cu concentrate
0.00029371301871596945,Red Chris,9.537085997855382e-07,3.828520710052646e-06,7.4125780463742145e-09,4.1991526860731535e-10,1.0530405989890899e-05,1.0870079999252285e-07,3.493620632865578e-07,MetalliCan,Cu concentrate
1.4679337749331252e-05,Goldex (Cu),2.1768436685561594e-07,5.432014134640558e-07,3.789893980174361e-09,4.3377799075882266e-11,2.8060751293169364e-06,3.410182885232468e-09,2.310039896812028e-07,MetalliCan,Cu concentrate
1.0939687137928953e-07,Kidd Creek,8.079098706249392e-09,4.6395010631077807e-07,1.1746226367498159e-11,2.728636092486742e-13,2.7333973531756507e-07,7.702567022189547e-09,2.333040527449227e-09,MetalliCan,Cu concentrate
7.246276525361541e-06,LaRonde (Cu),8.925167080240114e-08,7.054086850721387e-07,2.9372416813933855e-09,2.6726862831675572e-11,2.507046580115566e-06,3.8186193343635365e-09,5.754928321546826e-08,MetalliCan,Cu concentrate
4.782686117783127e-06,New Afton,3.5521666062295036e-07,2.3256547453148323e-07,4.56042322990649e-10,1.7207350360972908e-11,5.682123562149917e-07,9.336317761117981e-10,4.088365789208092e-08,MetalliCan,Cu concentrate
