Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
7.2316659012806114e-06,Cu concentrate from Au mine,4.2767182510420005e-07,2.9264619861949847e-06,2.355912402151403e-09,1.5755991060038157e-11,9.861764601238406e-07,5.438528578284332e-09,2.5763906586482362e-06,Ecoinvent,Cu concentrate
8.300144792838013e-06,Cu concentrate from Cu mine,5.620018407247735e-07,7.986915920829646e-07,1.286584761659139e-08,1.7188007320509857e-11,3.054721070886566e-06,1.8123086096959395e-08,4.6651128517151115e-06,Ecoinvent,Cu concentrate
0.02012167285008707,Au-Ag ingot,0.001189970999408885,0.00814270345633219,6.555183989811638e-06,4.3840092122783365e-08,0.0027439763327498706,1.5132376761425388e-05,0.007168651566659356,Ecoinvent,Doré
3.236259555959689e-06,Pb concentrate,1.913884104566177e-07,1.3096278113631066e-06,1.0542998049978822e-09,7.051000074190799e-12,4.413261065466677e-07,2.433808461846808e-09,1.1529665482620322e-06,Ecoinvent,Pb concentrate
3.270687885861722e-06,Zn concentrate,1.934244573038379e-07,1.323559958391699e-06,1.0655157665623573e-09,7.126010811016568e-12,4.460210732632338e-07,2.4597000943792094e-09,1.1652321531608646e-06,Ecoinvent,Zn concentrate
1.394197646488304e-07,Fe concentrate,1.617014410100955e-09,1.839406271662181e-09,2.419396968412307e-11,3.8674145120364145e-13,2.3723916842951775e-08,1.4040044386454188e-10,3.4360053320510364e-08,Ecoinvent,Fe concentrate
3.4152167436861846e-06,Ni concentrate,4.2600889121919083e-08,9.185635948426242e-08,1.821170398174475e-10,7.91349387330598e-12,5.117127208619637e-07,2.920935093446723e-09,1.6893810540873557e-07,Ecoinvent,Ni concentrate
0.0007268461417652873,U yellowcake,8.38275101334633e-05,0.0009317267180590169,0.0008628740578082766,1.639585071960609e-09,0.0003606978552161459,9.183413699047738e-07,5.1268034162436915e-05,Ecoinvent,U concentrate
1.0250486806782673e-05,Cu concentrate from Au mine,4.803653809957644e-07,2.98567412715912e-06,2.429637717714166e-08,2.807151090764823e-11,6.460809938336835e-06,5.760790105494988e-09,5.056601522564829e-08,Regioinvent,Cu concentrate
8.442553361872307e-06,Cu concentrate from Cu mine,5.920735223397099e-07,8.259879341685209e-07,1.2777436725511593e-08,2.0730621795177695e-11,4.405097495685763e-05,1.8349384247160245e-08,1.530835549100795e-07,Regioinvent,Cu concentrate
0.02852136000189917,Au-Ag ingot,0.0013365876391081585,0.008307457663763236,6.760320361980968e-05,7.810728288115583e-08,0.017976812598828468,1.602905008132868e-05,0.00014069688032630284,Regioinvent,Doré
4.587219073883055e-06,Pb concentrate,2.1496942607361662e-07,1.3361259734279919e-06,1.0872927926679183e-08,1.256234689598818e-11,2.8912919439795714e-06,2.578024460574395e-09,2.262891448596494e-08,Regioinvent,Pb concentrate
4.636019293063851e-06,Zn concentrate,2.1725633494903527e-07,1.3503400153273888e-06,1.0988597317713531e-08,1.2695988898804495e-11,2.9220504024358525e-06,2.6054503029262395e-09,2.2869647936870286e-08,Regioinvent,Zn concentrate
1.6579840947957223e-07,Fe concentrate,1.9863346760829684e-09,2.434937222903416e-09,2.9684257104992443e-10,5.834396218068653e-13,2.9072848559067156e-07,1.4269319014834085e-10,7.638756895511224e-10,Regioinvent,Fe concentrate
3.151504870145916e-06,Ni concentrate,4.099883673821771e-08,9.026713555626148e-08,2.572385730953047e-10,8.684618380790581e-12,5.236908566066908e-06,2.7948790378614594e-09,1.3243118837977324e-08,Regioinvent,Ni concentrate
0.0005633369308531556,U yellowcake,8.72489541559342e-05,0.0009164622396958347,0.0008629066440482853,1.782013261563376e-09,0.0013504378623436784,8.57936257638849e-07,6.226602754701042e-06,Regioinvent,U concentrate
2.1611596687730472e-05,Copper Mountain,2.5072550222359596e-07,3.925884106058965e-07,8.480016622843735e-10,2.361366385957629e-11,9.88469610474349e-06,1.0167201302370508e-08,4.429133742753601e-06,MetalliCan,Cu concentrate
2.7381659861060155e-05,Gibraltar (Cu),4.82187581911217e-07,1.5262047157633683e-06,2.2873834651503083e-09,6.761246410843259e-11,3.962773050528793e-06,1.2951830849178145e-08,5.878213292702253e-06,MetalliCan,Cu concentrate
1.175490258019311e-05,Highland Valley (Cu),1.5311507344786815e-07,4.78503286741862e-07,5.975296373815586e-10,2.728136312909087e-11,5.899166048522416e-06,5.207018204460036e-09,3.2485317271565477e-06,MetalliCan,Cu concentrate
9.398600725581303e-06,Mount Milligan,8.740073768414188e-08,1.5273783278070264e-07,4.006955921838237e-10,2.551819673219461e-11,1.0299325183928836e-06,4.543198875489972e-09,1.2724441838180554e-05,MetalliCan,Cu concentrate
2.4939574631436462e-05,Mount Polley,3.2620195625401496e-07,4.880434574664532e-07,1.1155873372195209e-09,5.420959319682955e-11,8.079202269505234e-06,1.3596047935517785e-07,5.3669721882796165e-06,MetalliCan,Cu concentrate
0.0002515067583961499,Red Chris,5.829906678464095e-07,1.4345733342948672e-06,6.33574186407881e-09,2.599579338506299e-10,1.0371323820070928e-05,9.328064776995863e-08,2.4607768116820857e-05,MetalliCan,Cu concentrate
2.5084526926863896e-05,Goldex (Cu),2.1219721877882647e-07,8.598139754501345e-07,3.6377407617512344e-09,3.620091678082537e-11,2.090336342532367e-06,7.656198604195235e-09,6.991418847166831e-06,MetalliCan,Cu concentrate
2.644707669679044e-06,Kidd Creek,1.1600064163825935e-08,8.408877677022563e-08,5.6490150193418085e-11,1.4810729472107776e-12,4.892892592523232e-07,7.789868588979355e-09,1.2007986106240814e-07,MetalliCan,Cu concentrate
