Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Other,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
7.2316659012806114e-06,Cu concentrate from Au mine,4.276718251042001e-07,2.9264619861949847e-06,2.355912402151403e-09,1.5755991060038157e-11,9.861764601238406e-07,5.438528578284332e-09,2.576390658648236e-06,Ecoinvent,Cu concentrate
8.300144792838013e-06,Cu concentrate from Cu mine,5.620018407247735e-07,7.986915920829646e-07,1.286584761659139e-08,1.7188007320509857e-11,3.054721070886566e-06,1.8123086096959395e-08,4.665112851715112e-06,Ecoinvent,Cu concentrate
0.020121672850087,Au-Ag ingot,0.0011899709994088,0.0081427034563321,6.555183989811638e-06,4.384009212278337e-08,0.0027439763327498,1.5132376761425388e-05,0.0071686515666593,Ecoinvent,Doré
3.236259555959689e-06,Pb concentrate,1.913884104566177e-07,1.3096278113631066e-06,1.054299804997882e-09,7.051000074190799e-12,4.413261065466677e-07,2.433808461846808e-09,1.1529665482620322e-06,Ecoinvent,Pb concentrate
3.270687885861722e-06,Zn concentrate,1.934244573038379e-07,1.323559958391699e-06,1.0655157665623571e-09,7.126010811016568e-12,4.460210732632338e-07,2.459700094379209e-09,1.1652321531608646e-06,Ecoinvent,Zn concentrate
0.1629314042397301,Au refined,0.0113519658655202,0.0770394726306634,3.796852308995706e-05,4.773464597120053e-07,0.0277136188200631,0.0001400066441424,0.03231691285227,Ecoinvent,
0.0021031190009458,Ag refined,0.0001465312009791,0.0009944256782758,4.900978023959269e-07,6.161589394170002e-09,0.0003577274667748,1.807206140032893e-06,0.0004171467950805,Ecoinvent,
1.394197646488304e-07,Fe concentrate,1.617014410100955e-09,1.8394062716621807e-09,2.419396968412307e-11,3.8674145120364165e-13,2.372391684295177e-08,1.4040044386454188e-10,3.4360053320510364e-08,Ecoinvent,Fe concentrate
3.415216743686185e-06,Ni concentrate,4.2600889121919097e-08,9.185635948426245e-08,1.8211703981744748e-10,7.91349387330598e-12,5.117127208619637e-07,2.920935093446723e-09,1.6893810540873557e-07,Ecoinvent,Ni concentrate
1.0250486806782671e-05,Cu concentrate from Au mine,4.803653809957644e-07,2.98567412715912e-06,2.4296377177141664e-08,2.8071510907648228e-11,6.460809938336835e-06,5.7607901054949885e-09,5.056601522564829e-08,Regioinvent,Cu concentrate
8.442553361872307e-06,Cu concentrate from Cu mine,5.920735223397099e-07,8.259879341685209e-07,1.2777436725511593e-08,2.0730621795177688e-11,4.405097495685763e-05,1.8349384247160245e-08,1.530835549100795e-07,Regioinvent,Cu concentrate
0.028521360001899,Au-Ag ingot,0.001336587639108,0.008307457663763,6.760320361980968e-05,7.810728288115583e-08,0.0179768125988284,1.602905008132868e-05,0.0001406968803263,Regioinvent,Doré
4.587219073883056e-06,Pb concentrate,2.1496942607361665e-07,1.336125973427992e-06,1.0872927926679185e-08,1.256234689598818e-11,2.8912919439795714e-06,2.578024460574395e-09,2.2628914485964943e-08,Regioinvent,Pb concentrate
4.636019293063851e-06,Zn concentrate,2.172563349490353e-07,1.3503400153273888e-06,1.0988597317713533e-08,1.2695988898804496e-11,2.9220504024358525e-06,2.6054503029262395e-09,2.2869647936870293e-08,Regioinvent,Zn concentrate
0.0837670708533793,Au refined,0.0043106944268598,0.0148425214637804,2.3735517198973e-05,3.384560953476302e-07,0.4834065674226318,0.0001928268007797,0.0003854269134957,Regioinvent,
0.001081265539572,Ag refined,5.564245512975329e-05,0.0001915873049057,3.063781156478961e-07,4.36879204748063e-09,0.0062398131271754,2.4890088021692967e-06,4.975091527814471e-06,Regioinvent,
1.6579840947957228e-07,Fe concentrate,1.9863346760829684e-09,2.4349372229034154e-09,2.9684257104992443e-10,5.834396218068653e-13,2.907284855906716e-07,1.4269319014834083e-10,7.638756895511224e-10,Regioinvent,Fe concentrate
3.151504870145916e-06,Ni concentrate,4.0998836738217724e-08,9.02671355562615e-08,2.5723857309530465e-10,8.684618380790581e-12,5.236908566066908e-06,2.7948790378614594e-09,1.3243118837977324e-08,Regioinvent,Ni concentrate
1.8678052820782402e-05,Copper Mountain,1.8387823044689055e-07,,,6.573698171637662e-07,0.0001172525457886,,1.9670114286356038e-07,MetalliCan,Cu concentrate
2.2863170332450572e-05,Gibraltar (Cu),3.659862170524122e-07,,,1.4406344372548423e-06,1.3685121186677626e-05,,3.449732846047848e-07,MetalliCan,Cu concentrate
1.028979198769884e-05,Highland Valley (Cu),1.1581532289321395e-07,,,4.566143162426759e-07,7.019118195495953e-05,,1.0768519673318585e-07,MetalliCan,Cu concentrate
9.143431152465496e-06,Mount Milligan,1.0432230641442513e-07,,,7.453552200655624e-07,9.462531103029724e-06,,2.387385951775685e-08,MetalliCan,Cu concentrate
2.1230003735504227e-05,Mount Polley,2.3495879847579264e-07,,,6.623121291664338e-07,4.152015528404018e-05,,2.443824828556118e-07,MetalliCan,Cu concentrate
0.00024759771049930756,Red Chris,6.521398671726381e-07,,,3.0370333353025083e-06,7.553820236577794e-05,,3.184197566249695e-07,MetalliCan,Cu concentrate
9.466812113940702e-06,Goldex (Cu),1.4547329773516363e-07,,,7.77653394958088e-07,1.931625889874962e-06,,1.1241598176455105e-07,MetalliCan,Cu concentrate
2.6006123797885308e-06,Kidd Creek,1.4106124822899973e-08,,,5.259005295996952e-07,3.7396483329873333e-07,,6.253840371842277e-09,MetalliCan,Cu concentrate
6.463399200277287e-06,LaRonde (Cu),6.562823456786071e-08,,,2.7208999627659796e-07,1.7554963766092566e-06,,3.1143652030043225e-08,MetalliCan,Cu concentrate
3.4433581793657543e-06,New Afton,1.2787870268727915e-07,,,7.954937283976373e-08,1.6155295866553689e-06,,1.675032292243902e-08,MetalliCan,Cu concentrate
1.3280942098193342e-06,Snow Lake (Cu),2.371163019877546e-08,,,2.0412671787120657e-07,4.013700783592464e-07,,1.0724230172032264e-08,MetalliCan,Cu concentrate
0.1775559239928264,Casa Berardi,0.0018908719254342999,,,0.009159922602789868,0.0162502311236894,,0.0004831376028627,MetalliCan,Doré
