Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Copper Mountain,0.8542288929492703,0.2280648695093009,2.9262966111020916e-19,0.011347472575942843,0.10192690202695569,0.05559615018248585,0.004945949485165206,4.906515134166376e-11,0.14387246373363727,1.8744262389628112,0.3070173179895852,0.029229607730502753,1.1536655733766284e-07,1.2348176904787475e-07,0.0035879146530205146,0.083627663539971,0.08499725691257819,0.004211040849677854,0.004507084513102524,0.0003670158131334431,4.591897882417779e-05,3.386410089350704e-05
Gibraltar (Cu),0.7106098643620762,0.20403676421481848,5.1107319533326795e-19,0.013718706533257994,0.13763357360296521,0.06349360046651564,0.00027472007636181477,6.774153490881522e-11,0.13156439937413242,1.157454932982711,0.2569856378645948,0.025207535842530535,1.694345223414562e-07,1.8465932084574176e-07,0.0041094198846543745,0.08266899615950576,0.09970467052962491,0.006184573080716996,0.006740065123683688,0.0004995220104099664,4.0480994876465354e-05,4.952355303039649e-05
Highland Valley (Cu),0.44115804511323414,0.10998343551290132,1.649466198399592e-19,0.005060521613372825,0.04863371056799587,0.026806820821116763,8.995847101294342e-05,2.3808851838914466e-11,0.10245690131135808,1.6000843562990477,0.15621629068252216,0.013777498447329992,5.509814653072634e-08,6.012868891966702e-08,0.001567703889330867,0.037640321637320714,0.03755718044420249,0.0020111591103299264,0.002194697116975027,0.00016955666203807336,3.058623570511795e-05,1.6800076209123662e-05
Mount Milligan,0.7468642713207193,0.21290918428503,3.790971356868593e-19,0.00997743608099939,0.16176365180512023,0.06987849100048779,0.00723962905547408,5.530476112666311e-11,0.16435185918863277,1.3561390957098887,0.2696595136559908,0.02741365784095834,2.03183538464938e-07,1.908310610484694e-07,0.00400455885106523,0.05701655602021677,0.07202379223504915,0.007416436633808707,0.006965333663629957,0.0003333366502747378,0.00010565214251845225,4.817824911273573e-05
Mount Polley,0.8354621676308183,0.23421914187904225,3.4731465557253247e-19,0.13696642369995954,0.116198417091987,0.05835247436883184,0.0003047662780595996,5.148192263415443e-11,0.13976882002682572,1.6100892201832024,0.30618922063414206,0.029245889544109574,1.353124405199985e-07,1.4222035442059458e-07,0.03910881309700497,1.2907869931128582,1.0739023785772166,0.004939483102803097,0.005191042872734676,0.0003710353182505324,5.182405097649886e-05,3.8384737345687475e-05
Goldex (Cu),0.8579047057112019,0.27625397875644997,1.6929639121569528e-18,0.019931302893817837,0.20253199446272957,0.0831034524257116,0.0003865778356641711,3.477702084465916e-10,0.2067719442938653,0.4540492293115293,0.2951817301955534,0.031842329335664527,2.5342329711812287e-07,3.483445131341135e-07,0.0034429283581580345,0.0372771851610239,0.13125549102319248,0.009250302295801921,0.012714574511674126,0.0018059005963182533,5.935961913163153e-05,0.00010333502360419981
Kidd Creek,0.17146991204665596,0.04317403804713533,4.091821435278616e-20,0.007220317556388358,0.015157694540519651,0.0036307390296078206,2.1445485569045088e-05,3.0201963615857694e-12,0.022172524583081502,0.3510302196485968,0.06195533987383546,0.00583145941321158,1.4031695440051248e-08,1.2741590998493146e-08,0.0024046398864797517,0.07510988125598826,0.0585988433938851,0.000512186237518197,0.00046506806623419897,1.1847262005954291e-05,9.674402805302204e-07,4.027469829240476e-06
LaRonde (Cu),0.44411111220285027,0.13204970679758146,4.605485894466466e-19,0.010345927365697836,0.0628138904376436,0.03465472750789554,8.754719406142441e-05,2.93052965962587e-10,0.17409520750714993,0.5786272547871645,0.15464423510626804,0.015663277619608264,7.57098067813711e-08,1.0485536001336879e-07,0.004160214426503814,0.03874977297644762,0.08394115586157402,0.002763739748685107,0.0038272205669503223,0.001634416574437278,3.9866323366040055e-05,2.7520175808821942e-05
New Afton,0.23141237644599927,0.06701046110206434,1.4407001829814716e-19,0.001991262671344714,0.032205841774216946,0.018179661900557725,0.00016207387077144783,1.7572514111154868e-11,0.05076336594328702,0.625422413079922,0.08172532130233148,0.008408192576798873,3.198756980858069e-08,4.120608438878854e-08,0.0004612471720868473,0.00739713957171532,0.013662275586846713,0.0011676085083680457,0.0015040220555120444,0.00012760032162838648,1.8798866199583406e-05,1.4617183589040631e-05
Snow Lake (Cu),0.6743967547604761,0.20507036903510384,2.321865204314186e-19,0.011858700655357463,0.08904242702449416,0.03226431786861869,4.96828163513071e-05,1.7477302657073724e-10,0.10263775279444062,0.1094952225375086,0.23321283635493922,0.025315815460278265,7.399427088138397e-08,1.7573421531947999e-07,0.005793671102640348,0.01711942107758244,0.10166162003876883,0.0027010405600695836,0.006414298684813431,0.004432545437236229,0.00011751728635159969,7.76945722566624e-05
Casa Berardi,7056.419075084987,2071.6038293983506,7.310871423458997e-15,143.6142663073896,628.2769445121389,434.48429958040003,0.5695993423257238,2.1882610829824785e-06,1965.5965636140406,15538.472798611796,2471.6866370784046,250.22126622911819,0.0006637562984962121,0.0012327019856128618,124.84399569669294,172.76039217637208,1534.1600080371095,24.22855155259071,44.99362148589958,12.090199065266788,0.2485635809698863,0.3587899587221456
Hemlo,4498.810357150025,1271.2085835880357,3.4137306684170207e-15,194.36374351403106,999.8884456965286,355.2003623213065,1.6519923367963087,4.80361484009905e-05,564.5613743054151,6998.519370630686,1794.1852323350502,158.10986092768704,0.0018277281448586533,0.0012067790118211255,101.42026321655118,1148.4323653829742,1720.2999924025135,66.71547240589229,44.047433012663994,3.307270818254428,0.21801256927320267,0.33036461761315283
Meliadine,6319.941541752066,1910.6429655171896,5.73371612494812e-15,848.1547998212072,485.2581064354854,184.79821253903063,1.0357099521240019,1.7809100881659707e-07,331.5803279428381,4374.938037667952,2293.785442384687,242.19181924585217,0.0006115094386625294,0.0009941714785340588,258.70059165362846,8430.700387521569,6797.058387471249,22.321018583578216,36.287258293549115,0.578116108646414,0.053563188804155004,0.3042834968597374
Rainy River,20158.723198897973,6054.45685344335,2.9601550695313595e-14,269.75707814247824,4965.904599276159,1519.8057390609897,4.223855634285039,0.000285383786339649,2384.2042832626253,25603.557219175273,6906.014863545195,702.4862935734816,0.009913582538397622,0.007480454588037693,57.42993595130108,1001.9292983621037,1906.002641146853,361.86488940351086,273.0365859692507,18.384319628668898,1.202600068140299,1.977613160093118
