Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Copper Mountain,1.18108851277852,0.3713540846976263,2.9349359667737987e-18,0.027109619953110994,0.17900580914019626,0.046126483711096185,0.01309995570289477,1.0109693554694159e-10,0.17475680582949285,1.896090994276725,0.411515147706614,0.044665643967227636,2.0637579749984703e-07,5.314034306907076e-07,0.004712557987726274,0.09978247652472348,0.16545193917887266,0.007539825548877613,0.01939622476412356,0.000473540605756681,5.0901770704015526e-05,0.00027870908346124354
Gibraltar (Cu),1.2818835203462378,0.4145783878718156,4.703988484926385e-18,0.06280159970065412,0.61226963746922,0.05642175326308775,0.0003442076942286469,1.7617328902703746e-10,0.18535946345965634,1.2034098161124414,0.438626006331536,0.04761136706110088,4.5583521750097276e-07,9.798153885817262e-07,0.006189642050303086,0.11447238245549368,0.3049656114029397,0.01663907052288643,0.035763260906952754,0.0007167312206744871,4.876392400269655e-05,0.0004253744060448862
Highland Valley (Cu),0.6044956365245361,0.19036950374791126,1.4882008000067509e-18,0.017389207428116372,0.19740841607851223,0.02262393551982942,0.00011126326777937683,5.84984048360952e-11,0.11907255542927289,1.611543867616954,0.21069642332455496,0.022870251198443114,1.4547055029791454e-07,3.11145080699189e-07,0.0022138861570407176,0.04714548690290507,0.09797973286714588,0.005309923210337081,0.011356795199345095,0.0002374456644260548,3.3214580538114343e-05,0.0001354752701669728
Mount Milligan,0.16886418119407468,0.05527440826007232,2.198199889913375e-19,0.008411734536780499,0.04328862721388758,0.019700198678485152,0.0186513413865453,3.111984651066958e-11,0.15744772428695517,1.3613121659545198,0.06107970218896736,0.006629985191220314,2.6005333738992853e-08,4.491077143278059e-08,0.001427705977465422,0.04332844001778699,0.04838067038046578,0.0009599724827898625,0.0016392431200769537,0.0001917886862939037,0.00010424250090827757,2.838395928688533e-05
Mount Polley,1.2432904724467375,0.3977400395310278,3.539890426943451e-18,0.27099500786864594,0.21050462246823562,0.049543480456673776,0.0004902496263931631,1.1399506553080758e-10,0.17751956307576017,1.6379190477879808,0.43412235944620226,0.047120030202537355,2.4454958906827704e-07,6.35079811760179e-07,0.04047767943128058,1.3108469882305214,1.2833138300287357,0.008941446931938886,0.023180412583711816,0.0005004424823219837,5.783184661653893e-05,0.00033352495233487977
Red Chris,4.440100514611377,1.3677773891575695,2.7146927200383868e-18,0.12435587182709693,0.5593418224918318,0.21075487031626192,0.0003392571716070142,4.6302206485875593e-10,0.48059444861526296,6.93244675591538,1.5755477236130577,0.17100925357049104,4.485186815694612e-07,8.14042348265873e-07,0.028504657070439567,0.8866733382909843,0.8143454289566441,0.016371852752488168,0.029712545056733708,0.0038118378902339614,0.00020211059835753445,0.00034748301558544515
Goldex (Cu),0.5312464900328229,0.17119704288081808,1.451627156158255e-18,0.021045046030583964,0.2868219927955086,0.024742614712606192,0.00016417112600242574,3.3737909384062694e-10,0.16241203550175629,0.4452937810078129,0.18179162567161894,0.019733244799166227,1.9048491351375055e-07,3.4319476878654117e-07,0.0022187318004363186,0.02144643003073595,0.10595621505687719,0.006953540665851116,0.012526608804269678,0.0016947510840308276,5.440748061484995e-05,0.00012960958186804389
Kidd Creek,0.14968029868920726,0.043286808344377085,7.477204814856701e-20,0.008410898964934098,0.037176486398044106,0.0010654762505031845,5.879625140537966e-06,4.358310999020095e-12,0.02253386284163324,0.35128361140233244,0.05499596035714911,0.005969370572520372,1.563699154932198e-08,2.369118546798149e-08,0.0022950711499562706,0.07454660102360003,0.0632863667043841,0.0005707748871066957,0.000864728254613636,8.746928875617818e-06,9.965926819168993e-07,5.6023979024062905e-06
LaRonde (Cu),0.365007087262804,0.11458128029894238,3.9076250998242e-19,0.0321748714088898,0.07731199466637208,0.01881514056439281,4.2383464115245805e-05,2.908724368832892e-10,0.12886793266596855,0.5688294705261445,0.12843137558545845,0.013940626401685864,6.137691349291393e-08,9.870062600953683e-08,0.0036374708174864976,0.03469157240058086,0.10417524138271012,0.0022537440820860795,0.003602572773995431,0.0016104091145617715,3.885444996839327e-05,3.414658250364743e-05
New Afton,0.09040993745709969,0.029208085412542394,1.360609713953621e-19,0.0021287433555353076,0.02903358612658613,0.010082381434693534,0.0003217816251315609,1.784786491068422e-11,0.050293653238817404,0.6264484066968877,0.031472161174936855,0.003416355925736416,2.9729012021180732e-08,4.1736065279488535e-08,0.00040421886263214803,0.004917537191210758,0.009964506881275776,0.0010852137146784059,0.0015233663564170389,0.00012323574308096476,1.8803575886664656e-05,1.8121645481534194e-05
