Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Copper Mountain,1.2131732053144508,0.37686119814679825,2.9208287031285306e-18,0.02813919231379477,0.2541225586836245,0.9551120735156782,0.00021653313343994638,1.739979610322911e-10,0.19252696817011464,1.8855766029280268,0.41898317604535407,0.04548073930255486,2.521169773887268e-07,6.057136721661613e-07,0.0047212494700779074,0.09968707561717081,0.1661994918278123,0.009202748435341343,0.022108548512635478,0.0014487584023071384,7.095112405738723e-05,0.00030116174659195795
Gibraltar (Cu),1.154839975825715,0.3774751955639135,4.313359688647182e-18,0.045816338713614506,0.24047149370373228,0.0536047486841321,0.000308715701786106,1.3557048270392474e-10,0.1794104010950696,1.218876620546577,0.39212537070566805,0.04256472328272322,2.981292058627109e-07,7.81482084655746e-07,0.005768448571861953,0.10773790725645897,0.22647136382083738,0.010882262866523438,0.02852409541767314,0.0006519021625944963,3.853652173875645e-05,0.00040488367923025557
Highland Valley (Cu),0.4897079832894951,0.1571570168474294,1.3569509653882902e-18,0.011405009061552993,0.07465476503701894,0.019984149980582566,9.812798181047918e-05,3.484454533035486e-11,0.11574363882284865,1.6413482527990646,0.17191540446850284,0.018660881851823113,8.86764780050097e-08,2.3735303424900695e-07,0.0020528873673469547,0.04629150784285954,0.07131375793690549,0.003236857800092449,0.008663385546341646,8.944478410102123e-05,4.0808945192559054e-05,0.00012471100386047905
Mount Milligan,0.48550365781384264,0.14632259838579992,3.0066905251851504e-19,0.007064057585670609,0.1824517274505252,2.3980153015443686,2.8705299424278988e-05,2.6718376530084713e-11,0.1576264964515222,1.3614017136516847,0.17749814381145612,0.019267155658341736,3.0514804623059936e-08,7.312335494983763e-08,0.0014222506368691099,0.042851285515886836,0.04378141418309074,0.0011142344200643535,0.002669002403263383,0.00018227262482782696,6.529930241238233e-05,3.2911784537606874e-05
Mount Polley,1.1140587814121399,0.3601347542020657,3.471052914380284e-18,0.26853624638854745,0.18971683207681056,0.07106103043493704,0.00024860232456290254,8.699473149583385e-11,0.17089123497727518,1.6353747184001022,0.38848667114514324,0.04216898968853493,2.259839079687811e-07,6.21972180176921e-07,0.0403243795588987,1.3077556314456122,1.2735231299266265,0.008249852230809141,0.022701984058433555,0.00022731121563009457,7.318103070623583e-06,0.0003183089387256207
Red Chris,16.871808631130914,4.921885793508883,2.9869614238263964e-18,0.13930199950098288,0.4385808103032363,0.2493852164731051,0.00032065801890962585,5.159430839909794e-10,0.570463799131023,8.31586428635867,6.11142691659441,0.6634079770494408,4.3713078582633547e-07,8.49041760933506e-07,0.032987747904453184,1.057656691788571,0.93054093260622,0.015956247161035282,0.030990023560755788,0.004524407912689946,0.0002545422696990239,0.0003935115470589891
Goldex (Cu),0.8181691048717854,0.2710471749344893,3.4121627105340253e-18,0.02482164044505675,0.18400093670677306,0.039438967356189965,0.00023796205598899912,3.514186848284625e-10,0.18468709280686205,0.45563915027357366,0.2706927331402887,0.029384231136750504,2.3942379539163655e-07,6.099073979680153e-07,0.002995518500355274,0.034688503417527355,0.13976135912072413,0.008739385554881095,0.02226161950227453,0.0017878552099728036,-4.087459931557714e-05,0.00030900933181598935
Kidd Creek,0.006061148079475442,0.0020561699717999175,3.4678107051033534e-20,0.006940058481921538,0.01625182263253913,0.15556709408060387,2.396695617421844e-06,7.922243630514678e-13,0.021704603363986906,0.3501992002275666,0.0027519115802846503,0.0002985783792987732,2.323472222734164e-09,6.315228661279729e-09,0.0022496912642735556,0.07379120713057838,0.05646080884714518,8.4825957386663e-05,0.00023050584128915598,2.2158588410215645e-06,7.138938282237427e-08,3.1557998646428047e-06
LaRonde (Cu),0.4070499068190494,0.13062846066286446,8.227104956800669e-19,0.03316713143356963,0.05953145988362268,0.040694297135299734,5.99306383036063e-05,2.946082032158975e-10,0.13383584423049813,0.5712303462875684,0.14032090497511654,0.015231996798907597,7.396797560519633e-08,1.6029503847501245e-07,0.004595196911957225,0.03769695650641233,0.11234197733931878,0.0027001820508975594,0.00585076876999615,0.0016315941854323176,5.449981619383798e-06,7.365159107822828e-05
New Afton,0.2715424283540501,0.08333595011323848,3.961766426882644e-19,0.0045120432729373935,0.07058463830916648,0.01812684160230404,9.795344611853997e-05,3.22565134133244e-11,0.0550767292091472,0.6306630355804629,0.09621643764055932,0.010444468443424892,7.667532310699855e-08,1.0723254312219603e-07,0.0010889268895021378,0.009674760220485528,0.023241880654191367,0.002798764346353744,0.003913987759914814,0.0001705314387078423,2.620593048653494e-05,4.631416106655775e-05
