Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Copper Mountain,1.1512166058443669e-05,3.073877126459935e-06,2.198430717856427e-08,5.872699520929012e-07,5.062073850644518e-07,1.0669802664375695e-07,7.396633912742539e-10,3.43360666760392e-11,8.954890566432635e-06,8.499609947706485e-09,5.6086539406003375e-06
Gibraltar (Cu),9.24276757249005e-06,2.6429627429722525e-06,7.427080785885918e-09,8.352403904043309e-07,2.219840920090082e-07,5.8588113754788314e-08,9.61334660545851e-10,2.7798756588868133e-11,1.7071459002159472e-06,8.298582572432366e-09,4.920094693084266e-06
Highland Valley (Cu),5.839914372198515e-06,1.4485095558637945e-06,2.8011862331142646e-09,2.701136890215571e-07,7.922351826519586e-08,2.1094121018942776e-08,3.3917842247141896e-10,1.574415330571431e-11,5.228594564772879e-06,3.698485388506791e-09,3.7281834256957635e-06
Mount Milligan,1.0065359499534423e-05,2.8694808888283744e-06,1.0345056226483515e-07,1.2155034147443052e-06,2.5674787308958374e-06,7.301297147798084e-07,8.392362234351799e-10,3.0364551650383044e-11,1.1078440924149577e-06,5.7509924286247974e-09,1.2904605473434624e-05
Mount Polley,1.1258858567416755e-05,3.1572069353755493e-06,1.539339765076261e-08,6.990045881552758e-07,3.82448003184325e-07,9.13178696530013e-08,7.778059087816658e-10,3.389132758865975e-11,6.866705393060803e-06,1.3410702340183047e-07,6.329913581923721e-06
Goldex (Cu),1.1380093179652746e-05,3.6646494050345437e-06,1.1826808953153987e-08,9.429901420454527e-07,3.51115575274644e-07,1.0803534389043071e-07,3.72660008895722e-09,3.427628455704471e-11,1.8244554827476128e-06,3.628844353825965e-09,7.2365762119918405e-06
Kidd Creek,2.283682547449569e-06,5.731719081531416e-07,1.7738170535118628e-09,6.628673722240043e-08,3.7540555893155055e-08,4.310319955011236e-09,4.082012715450845e-11,7.290271145254242e-13,4.891326263149493e-07,8.400672527591595e-09,1.1618309586750322e-07
LaRonde (Cu),5.9489557944257125e-06,1.7680292816818646e-06,5.9220828055065115e-09,2.1919169192690954e-07,1.3184344813917983e-07,4.0211455631825736e-08,2.914214909805598e-09,1.6828000389893227e-11,6.490792954885196e-07,1.0935233419364118e-08,4.866626088023294e-06
New Afton,3.1187382112053277e-06,9.030981389537464e-07,3.2010265356403698e-09,1.3031711510206782e-07,7.823328033070848e-08,1.9182964186177116e-08,2.6140652903396836e-10,9.763311295026634e-12,3.2999748056232504e-07,7.054711293762526e-10,2.296138496303137e-06
Snow Lake (Cu),9.074459287061411e-06,2.7591127627313324e-06,1.4461810042033834e-08,1.6358022397736702e-07,3.292184188268604e-07,7.006194987179721e-08,2.594683562574666e-09,1.855274035435683e-11,1.357045220971217e-06,1.7976802382670107e-09,1.4352756316104824e-05
Casa Berardi,0.09509816162811902,0.027919951256142817,0.000635064189742776,0.001035002187344007,0.00921580480222519,0.0006189943613374522,2.2127589233205106e-05,2.9094641353886183e-07,0.005345433383577562,3.539753904129042e-05,0.030360150499740612
Hemlo,0.06061588444932036,0.017142198037610325,0.00022502803874385518,0.0031792343424615604,0.005524084143508339,0.0015359972856498906,0.00046303719055580434,1.7671371449861507e-07,0.008369167331662292,0.0002202458864791273,0.026626753677271964
Meliadine,0.08516872785698588,0.025752281254944085,5.607651141497918e-05,0.0018787474943545122,0.0012861538924312421,0.00028641535692349845,2.729486030632285e-06,6.647146848394074e-08,0.030433116780719024,0.0008778535014773902,0.006541339961198878
Rainy River,0.27167643420360216,0.08159787022865535,0.0002082812722081559,0.008173789034129053,0.0057320746630724895,0.0020082019798808586,0.002748955817894101,8.398029863331642e-07,0.033075360530087736,9.965446668203247e-05,0.14688844969675685
Meadowbank complex,0.13557615245013088,0.0427695440888372,0.0001363955145893472,0.0031719781432968143,0.00285974976517804,0.0006250712582380949,5.9017307026341096e-06,5.496576667682404e-07,0.047884722656737516,0.0012735278154691078,0.013921178850445637
Porcupine complex,0.12021012236754115,0.03604396389494621,0.05519665661356712,0.021046853934478672,1.5317936852235257,0.50862785562253,0.0006659130849374713,2.887243506315247e-07,0.011442715888586846,4.2463674777150215e-05,0.07247035625657183
Canadian Malartic,0.08663897397490229,0.026287723218591,0.00012238061003168974,0.006333069257874258,0.002180609622660381,0.0006510123068069298,1.8103807305282672e-05,3.0702199228506595e-07,0.020569799067114283,0.000213535502272743,0.05015980340659887
Detour Lake,0.16917767604596118,0.052742846687610624,0.00015910277806473866,0.011463787772575522,0.004333794938104925,0.0013002633306866086,0.000952805968874542,6.299478733885581e-07,0.03548274305677985,0.0004075309583087445,0.07727037067135178
Kiena,0.044271276865383825,0.014446304629007327,2.3436764266368616e-05,0.0006532150676728586,0.0006921464266243318,0.0003227681588689123,1.499508159835648e-05,1.717177013764438e-07,0.004094699399314148,1.2773826032067503e-05,0.023245051614659396
Brucejack,0.28708440133768554,0.08749654980515702,0.00011465867974518195,0.0038774075798618116,0.0032702844213229106,0.0013175804022049237,3.8620601925871545e-05,1.2861606619906234e-06,0.03034094166045047,0.0005517518363778413,0.16417214883038156
Eagle River,0.05514138330456009,0.01748218206710579,3.991600074266989e-05,0.0007119560875293462,0.0009798449421412865,0.00036379013820816183,0.000428638641025009,1.7119035993386697e-07,0.016236471462197397,0.0002851125680241879,0.019000607689970472
Éléonore,0.06899855800385264,0.021534205728689526,0.00012993314316037886,0.003957505937904542,0.0028439695670070494,0.0005325465385472925,2.009697752433644e-05,2.2631222671253277e-07,0.058626717086621837,0.0001322745882267704,0.029783164026431663
Goldex (Au),0.08542184099184219,0.027507779928208298,8.877500122903765e-05,0.0070783208816689955,0.0026355617731149083,0.0008109404555932823,2.7972797101550532e-05,2.5728640719790606e-07,0.013694821553202943,2.723901816302028e-05,0.05431956024819229
Island,0.04823126365957015,0.014539908983980542,0.00019413991428450815,0.000489470804142464,0.004631654799061315,0.001318948183539934,0.0006062005005409648,1.9599129487292085e-07,0.033814142137557436,0.0005962477499771678,0.02471155242874623
LaRonde (Doré),0.04465435714463302,0.013271272102631064,4.4452642824619354e-05,0.0016453079618370609,0.000989650072853943,0.0003018372938678772,2.1874829049981234e-05,1.2631520318388868e-07,0.004872152351360565,8.208261237656724e-05,0.0365301177603623
Macassa,0.15033413140909135,0.051349810304911515,0.00022725976621220311,0.00382061018220848,0.006025242106671843,0.0022333143554047483,0.0003033020628629161,3.9703200188255376e-07,0.02909151906929072,0.00017479003627542561,0.03826065835509107
Musselwhite,0.07172380599617237,0.021960339251533317,0.00020522494754123498,0.0017688430902177215,0.00522790134787319,0.0015104347807661479,0.0006785958660854472,2.905908310268969e-07,0.018834069868495115,0.0003383618111450783,0.0316918491077689
Red Lake,0.08249584806354802,0.02309305637467808,0.010176742817949348,0.005936824264481137,0.27618340738001945,0.08876272473213165,0.0006395716520631467,2.508563194397127e-07,0.045831672090920185,9.580502873605666e-05,0.05895264476311901
Seabee Gold Operation,0.33062370764544063,0.09719209921561865,0.00017491684719786276,0.0019362545951189945,0.004623147648866962,0.0007739786305654143,5.711439344550679e-06,5.096603012428711e-07,0.0139660370651391,0.000184174749064902,0.021036572484395055
Snow Lake (Doré),0.06811517271168559,0.020710594035707165,0.00010855398390661234,0.0012278743035045061,0.0024711962506527825,0.000525902608997638,1.9476347072320212e-05,1.3926153375234202e-07,0.010186322583494728,1.3493839842342246e-05,0.10773539682274347
Timmins Operation,0.21320550017655016,0.06415442919518889,0.05391650169519701,0.007825536868381935,0.847696884099686,0.0025694408014954114,0.0013268003198520077,5.663675111242202e-07,0.016909875657821587,0.00019528702804624498,0.07720664294917778
Westwood-Doyon,0.06898579969275083,0.02121848827178757,3.812517238011035e-05,0.0011370503239283302,0.0011658820060567205,0.0005286419255206823,2.18219423290936e-05,2.2025415849958691e-07,0.009000770095632065,1.915145491054494e-05,0.028559994410873202
Nunavik Nickel,5.956927174173069e-06,1.8216819907503356e-06,8.738338385113812e-09,1.2931328473191747e-06,2.661928304960419e-07,5.194886402074931e-08,1.0202160011122984e-09,1.1462677843217749e-11,1.4725855534955197e-06,2.1879802861389862e-08,1.5864481694600747e-06
