Commodity,Climate change HH LT (DALY),Climate change HH ST (DALY),Human toxicity cancer LT (DALY),Human toxicity cancer ST (DALY),Human toxicity non-cancer LT (DALY),Human toxicity non-cancer ST (DALY),Ionizing radiations HH (DALY),Ozone layer depletion (DALY),Particulate matter formation (DALY),Photochemical ozone HH (DALY),Water availability HH (DALY)
Copper Mountain,1.592513508222971e-05,5.005591878988276e-06,1.7537241307485633e-08,2.0523827414861338e-07,5.208644795317189e-07,2.2988381176619832e-07,1.4806725810209962e-09,6.589217937245186e-11,5.491212777812737e-06,1.0119437953660963e-08,2.1121812893197195e-07
Gibraltar (Cu),1.732331259341875e-05,5.53985773353263e-06,2.6987244089450548e-08,3.3898192033848115e-07,8.916352743304658e-07,5.348802167322338e-07,2.5907679437698683e-09,7.650177124709436e-11,4.809872949663762e-06,1.1612765390122536e-08,3.4497328460479883e-07
Highland Valley (Cu),8.181298184927686e-06,2.5312673840522357e-06,8.893887455784209e-09,1.1351229481095326e-07,2.9101078601854754e-07,1.7343013168670712e-07,8.542106988434385e-10,3.371667119691264e-11,3.2733537053727148e-06,4.825774081044776e-09,1.1099471097372851e-07
Mount Milligan,7.0431647339426965e-06,2.100266418522796e-06,4.6811971678289125e-08,7.886109020780937e-08,1.1415229453360486e-06,2.743787616903947e-07,4.4703340996397023e-10,3.373886800288477e-11,8.397253808353808e-07,4.383715282685689e-09,2.3873859517760235e-08
Mount Polley,1.6830350071407677e-05,5.285772856391885e-06,1.4495201695703298e-08,2.3464438733246633e-07,4.0578299715008343e-07,1.9603494051008971e-07,1.673536202125576e-09,6.864116131644279e-11,7.192131130943508e-06,1.349871452386499e-07,2.5131911328064845e-07
Red Chris,0.0001921271961756956,5.547051427179172e-05,1.4238266054187903e-07,5.98702107793044e-07,4.583303162745877e-06,1.1463329380482512e-06,6.663818475262662e-09,3.565895523726746e-10,9.395012569539995e-06,9.11133093506434e-08,3.184197566249967e-07
Goldex (Cu),7.2156346917065396e-06,2.2511774157781963e-06,1.3571927874488742e-08,1.3164097293934007e-07,4.983090567842405e-07,2.72045453825831e-07,3.5776054461601033e-09,3.352303267466108e-11,1.9317413167366777e-06,2.094454886158982e-09,1.1241598176455796e-07
Kidd Creek,2.021940329008672e-06,5.786720502138569e-07,4.302159836507786e-09,1.0156325534568577e-08,2.8958025030305365e-07,1.3025179952120148e-07,6.369484601152144e-11,1.2953970730231145e-12,3.821674878354057e-07,7.778344617055795e-09,6.2538403718422795e-09
LaRonde (Cu),4.984191449967497e-06,1.4792077428206666e-06,6.5206096363096155e-09,6.134735184122035e-08,1.9426036988141093e-07,2.0872461667174104e-07,2.8810292405835357e-09,2.4439219296584817e-11,1.7584517403971028e-06,3.5198959063763926e-09,3.114365203003981e-08
New Afton,2.644371938849348e-06,7.989862405164049e-07,2.314038897653099e-09,1.2575378074489917e-07,6.285771039208079e-08,4.250705869678735e-08,2.5378967276280097e-10,1.3573716006292643e-11,2.868993227573352e-07,4.564743472278733e-10,1.6750322922435623e-08
Snow Lake (Cu),8.485163395195687e-06,2.5502995072916605e-06,1.086985642048786e-08,1.1937651545224414e-07,2.8901897252111193e-07,1.3959768308022187e-07,2.562334448518909e-09,2.273017136357337e-11,2.0405447694763585e-06,1.452330733982836e-09,1.384197343040444e-07
Casa Berardi,0.1371314429240243,0.040424481026052964,0.0004629096618897975,0.001265196545732541,0.005467298634748636,0.0038224665275950567,2.2481007351711068e-05,3.743305690567665e-07,0.016250231123689476,1.0947283529598825e-05,0.0004831376028626863
Fox Complex,0.04630800888031242,0.014406149014251654,0.0006257847717580726,0.002973642006092364,0.010772067242372623,0.0077281748980977194,5.859799723528226e-06,9.566842060717036e-08,0.011973605111401468,9.423416447242321e-05,0.0006754898716053484
Hemlo,0.09463162037630915,0.028473342033336645,0.00018254443615822678,0.002533864789526853,0.0068819535203197765,0.00196461438932953,0.00046528014209294504,2.7617439635667036e-07,0.013725803267018744,0.00011968542887854882,0.0007686113473123267
Meliadine,0.0778148055095488,0.022602554944756572,3.6334447835782694e-05,0.0012441381019266504,0.0009210533691042836,0.00047164361657094957,3.164326921782458e-06,5.3625003531816905e-08,0.024624547001958645,0.0008748142505648513,0.00038847291668036253
Rainy River,0.3296854195039595,0.09904635590292513,0.00018404769887869516,0.007607423423981626,0.0050282076578499245,0.0018582858027536616,0.0027514315322878236,1.071703486365787e-06,0.035609731182782,8.396757415057229e-05,0.0028521287935195897
Meadowbank complex,0.12176680070044497,0.037194222300812735,9.22276348882783e-05,0.002260118320119908,0.002014239145234031,0.0010816944936079063,6.621129906873287e-06,7.102661900975514e-07,0.03211804319355581,0.0009192027390492526,0.0007786529716759463
Porcupine complex,0.14541242923126896,0.04244617180618064,0.010306829836750778,0.00337394598323229,0.28738710039692034,0.02221263505893955,0.0006656341204093873,3.9175242599328897e-07,0.006854707479243216,2.331628411645511e-05,0.0003758905740921952
Canadian Malartic,0.10137499199125873,0.03185079555154628,0.00015661583442547338,0.004978044168616082,0.0025115175130511315,0.0009934744593774905,2.3237146347311874e-05,4.3157721852315886e-07,0.06591567430522702,0.00021797231010439638,0.0013501377026562803
Detour Lake,0.14386309110788503,0.044190027945350555,0.00012364459089979265,0.007812708735446844,0.0032886417479154116,0.001048251974476325,0.0009549339003399597,7.139499907933924e-07,0.029188043375155927,0.0003957000782503157,0.001354089544428917
Kiena,0.03233358384625502,0.009909949258020523,1.3825459090067396e-05,0.00029511694216653093,0.0004353645961113321,0.00021460761070104175,1.8937574516819825e-06,4.399178741670719e-08,0.0038098894894321267,6.8522424671526694e-06,0.0003761389186367568
Magino,0.09997120582151134,0.03282090077750655,0.0001959042911388101,0.008610153347040145,0.00480236739438204,0.002107022044206117,2.0741940614750172e-05,3.386376299885993e-07,0.04947619985585512,0.0009125361354416418,0.0023910323601917228
