Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Brucejack,0.0001502042511268137,5.5323993697307035e-05,2.8307227820844096e-23,6.8492763005335645e-06,3.137254686485682e-05,3.608511999896777e-05,1.8761580321220322e-08,2.7135745762048613e-14,6.184051958254157e-06,3.203703924487289e-05,5.2699108476342375e-05,5.720507548463654e-06,1.464477564285413e-11,1.8363956690204868e-11,1.1028911610634598e-06,3.9569437910881995e-05,3.651393940239148e-05,5.345885369619347e-07,6.702844064009156e-07,1.511852505884836e-07,7.543603683723207e-09,1.0098970741748512e-08
Canadian Malartic,9.67629374778078e-07,3.521421820575893e-07,6.978163673243076e-25,3.2228826622079493e-07,2.490199436686183e-07,4.0108306696722e-07,1.249522800857388e-10,1.84564576833954e-15,6.039021550318379e-07,2.326028622678651e-07,3.7637252303385937e-07,4.08487998229926e-08,2.1368582112779825e-13,2.3585662313175694e-13,8.429768005244887e-08,2.8352264572600553e-06,2.393914711722262e-06,7.79994163818078e-09,8.608766566964115e-09,1.0268904899130665e-08,2.089415345059745e-10,7.063736255837975e-11
Casa Berardi,2.5305641872494412e-06,9.120107996646756e-07,3.400396776771177e-24,9.350794661822201e-08,5.831541981850569e-07,4.762161939314354e-07,3.310457959894686e-10,5.485701577943751e-15,1.7787299799636686e-06,5.87263593523517e-07,8.809926238923066e-07,9.563366344221097e-08,6.3746772090375e-13,8.089595858186911e-13,4.654138415246003e-09,1.9223276206665123e-07,3.0204691731469854e-07,2.3268603625120933e-08,2.9527024242139315e-08,3.0181728271055696e-08,6.138285268548573e-10,1.996591866470601e-10
Detour Lake,3.7950819011971556e-06,1.2873885404225173e-06,1.2220225589201314e-23,5.852643650619822e-07,1.5812874495660707e-06,4.904750253330848e-07,9.671532052182212e-10,9.268307998127539e-14,2.773784013160399e-07,3.6469511766373645e-07,1.3161090154702288e-06,1.428560389643847e-07,3.117843739687867e-12,2.9597236317522203e-12,1.1342447780513866e-07,3.5332833038509435e-06,3.542168837616298e-06,1.1380754937769809e-07,1.0802990976306338e-07,5.915178081952153e-09,3.1762333539366937e-10,1.238407437805019e-09
Eagle River,0.0001408096177033921,5.289490256289823e-05,1.236312952946779e-22,7.445342434783183e-06,3.474768526795698e-05,4.52303717371571e-05,2.3380711817758072e-08,5.062590134276177e-13,5.0246569567778215e-06,3.123632077964913e-05,4.907297960067811e-05,5.326906966814699e-06,2.5601217193802597e-11,2.8422101571618104e-11,1.3396446552952329e-06,4.531897583148294e-05,4.267291618744329e-05,9.345192049883366e-07,1.037406684353538e-06,4.4175116954061755e-08,2.0841042923452532e-09,1.520256162415679e-08
Éléonore,4.8910265346481904e-06,1.6905138185416199e-06,1.055375380066643e-23,5.075707650159853e-07,1.332756524688459e-06,7.714326440533829e-07,1.8506676342556955e-09,8.781691340459333e-15,2.6810948585114828e-06,7.976288365498344e-07,1.9466971884575527e-06,2.1127621179291582e-07,1.2890154745313785e-12,1.765665187971873e-12,6.203169581941079e-07,3.849863333544734e-06,3.2520813721846696e-06,4.705176376859636e-08,6.444677788253716e-08,4.498642680093131e-08,9.167949798830796e-10,5.461030560554654e-10
Goldex,3.835372977876136e-06,1.3043676880976558e-06,1.8356064684472113e-23,1.645048663000666e-07,1.075647720732182e-06,2.951138517334605e-07,1.2938915612340793e-09,3.613491498111649e-15,1.2834737610614553e-06,3.2079374613694134e-07,1.256511812828584e-06,1.3639667166570752e-07,1.4168697839261228e-12,3.3781521555090646e-12,1.6452898167277042e-08,2.140535785383396e-07,8.848033392935186e-07,5.171813464922098e-08,1.233025507889783e-07,1.950748236552263e-08,4.091050228340192e-10,1.652933415084915e-09
Hemlo (Williams),0.0001505492429119648,5.782286710287817e-05,1.58150412319985e-23,6.859023190370041e-06,3.1275252847904196e-05,4.2680473778720396e-05,2.0573268492795677e-08,1.7577104565860375e-14,3.949997431416583e-06,3.85032247503446e-05,5.3333568943641906e-05,5.789344764362975e-06,8.226661388222926e-12,7.062041129198236e-12,1.533069926040378e-06,1.834371848201056e-05,2.4888581241688084e-05,3.0032243066563725e-07,2.577644989073404e-07,1.3371563189198132e-08,4.185980099952558e-10,6.871428101117019e-09
Kiena,5.3123098779963165e-05,1.9953889345012015e-05,5.521857036674385e-23,1.7003970606061651e-06,1.1865113186090985e-05,1.2901341834342773e-05,9.418910914273767e-09,1.479653781123446e-14,4.598553715943678e-06,1.1707801690831231e-05,1.847594238941527e-05,2.0055765739522746e-06,6.231666394894899e-12,1.1327348625800223e-11,1.3987121455339617e-07,4.878143459557497e-06,7.082183182538561e-06,2.2747639860821802e-07,4.1344821621626104e-07,5.6635806987507667e-08,1.227726951927288e-09,6.525916017037928e-09
Lamaque,2.2618452436742094e-06,8.242392981191084e-07,1.84613542760821e-24,7.647422133547844e-08,5.794413651218524e-07,5.898945920489056e-07,3.0890618494041677e-10,4.895762613108727e-15,1.5974184951556076e-06,4.933290875126741e-07,7.861382865880524e-07,8.533699257374118e-08,5.243839644290116e-13,6.184680514365869e-13,4.127229693897139e-09,1.7576800266282922e-07,2.4531089644071785e-07,1.914106762011054e-08,2.2574083408176278e-08,2.7324337926718305e-08,5.558472909933173e-10,1.8647394246425498e-10
