Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq)
Copper Mountain,0.8599203142922278,0.08714543284490135,0.0007201615009033733,0.0004943016606454968,1.9164560771477568
Gibraltar (Cu),1.0078086847692949,0.12409844400025671,0.0009637475584878101,0.0006280972903484305,2.5550879910171034
Highland Valley (Cu),0.3955444613386381,0.039837929925897644,0.0003294025977750215,0.00022739580619410561,0.872488096416248
Mount Milligan,1.0719951777308754,0.16456886387118877,0.0013621088892968069,0.0007236168962048242,1.2833585975864708
Mount Polley,0.9280866811943194,0.10205880217881942,0.0008391085942206532,0.0005531415193813821,1.8615330736995475
Goldex (Cu),1.9012052263646881,0.28825461324371077,0.0007310477308254989,0.001256617453582729,4.487051310855577
Kidd Creek,0.079316970099524,0.008186540628131525,6.545420864862159e-05,4.6368698332096116e-05,0.0181183233161466
LaRonde (Cu),0.610455204661061,0.2242018641573328,0.00027061052493834855,0.0003265954447617914,4.12315184126237
New Afton,0.35529686961084317,0.03355243875573015,0.00026440780812797906,0.0001708972127900421,0.6868679223621825
Snow Lake (Cu),1.688816646722969,0.14950098123992625,0.0001619115221211905,0.0009219540288487349,14.498601565551326
Casa Berardi,8167.713516393246,1872.5478142053735,4.058708934601899,3.764781996399769,31009.56525756046
Hemlo,6649.922591878187,364.08754593348203,2.4543160569898124,3.8653446370854407,20119.379524484742
Meliadine,4995.685292128503,191.50015070626756,1.2237359632583047,3.299828662746923,1599.6478830783162
Rainy River,36081.21140596207,1836.7741360993828,10.71866503703351,17.577836827718833,119973.41437022388
Meadowbank complex,12897.340682255714,339.7821462418493,3.6177407259612218,7.027265731539346,2981.573471718002
Porcupine complex,8920.30292980844,474.980858189953,3.368712739436713,4.0133441723590355,28581.88399032224
Canadian Malartic,10084.371342879047,1421.283502727908,4.965031503277238,7.179054103927161,20002.101355597377
Detour Lake,21462.53977456315,1193.098906690267,8.720540996208923,14.191789583546075,43658.53321237769
Kiena,5761.104031906888,1210.340668071256,2.1741007175939213,2.9132547880475106,21170.596171807498
Brucejack,26446.55108228104,1206.5093741550415,6.280736082292875,12.262159306777544,163386.59022315964
Eagle River,6564.793360196576,252.92222852740076,1.4320948695077942,3.1191358381499814,19003.165373940952
Éléonore,8943.692710642588,1474.123916835499,2.7525316511493614,4.301511857594303,25452.321370145306
Goldex (Au),14270.924500275894,2163.7116227444926,5.487428280328169,9.432486524200364,33680.935181804
Island,4486.13899585708,247.54541117412944,1.4689456423171745,1.7024557025298335,25240.141601436306
LaRonde (Doré),4582.230190438342,1682.9155053688507,2.031270639094849,2.4515074777776316,30949.413217784837
Macassa,28400.019985384526,695.9192465727076,3.046494365879939,16.280566927764234,21463.894341512118
Musselwhite,7604.613140200322,348.4474811799674,2.2102192583716476,3.186581854326713,28610.79551897105
Red Lake,7255.153702073747,373.98444054149405,2.5623081700873946,3.770335800001316,27218.270580207463
Seabee Gold Operation,38928.65325507084,234.91110013098427,3.0270225103571846,7.968570105337731,9954.507579742
Snow Lake (Doré),12676.682308303552,1122.1919465833112,1.2153485931087324,6.920418713029941,108830.1479251124
Timmins Operation,14981.01442905203,702.4900140655276,4.900980554848886,7.258796727873938,56390.330672324635
Westwood-Doyon,9341.859032830409,1682.781544386983,3.0648985729669214,5.2740957543548515,29170.90316951275
Nunavik Nickel,0.8032796635386656,0.062479440230744004,0.00021357301869998356,0.0005975929699440625,0.9563545459828333
Thompson,0.5915337457013646,0.026368274745130777,0.00012159672338563136,0.0003932801894276864,1.5741685749283079
Voisey's Bay,1.2415768064643529,0.07159133102070711,0.00025561168621883527,0.0005480905565876338,6.1818629647850685
Raglan,0.6914777227396517,0.1302042252813911,0.0002367460893828359,0.00040629901493864987,2.3754072584490586
Gibraltar (Mo),4.270771780264797,0.5258896370074156,0.004084054881435733,0.0026616759670879467,10.827647945230638
Highland Valley (Mo),1.6761912988127687,0.16882044221196726,0.0013959031723493848,0.0009636309057979994,3.6973262318666684
Kidd Creek (Zn),0.029649770216849357,0.003060241084507442,2.4467680255542744e-05,1.733325481634504e-05,0.006772877513261832
LaRonde (Zn),0.22819652182091216,0.0838097275646862,0.00010115792349054689,0.00012208585328443787,1.5412906252005314
Snow Lake (Zn),0.6313027845748151,0.05588551355436079,6.052474471680125e-05,0.0003446390389241136,5.419775744629533
Key Lake + McArthur River,20.038087172313283,0.08562781039534824,0.001475859024677418,0.003611543784404742,5.050431008868372
Cigar Lake + McClean Lake,11.155353977194867,0.04540052818149109,0.0007975399724974406,0.0020080127862315985,2.8166222064534168
