Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq),Source,Reference product,site_id,ore_processed_t,dore_t_mass,conc_t_mass
Copper Mountain,1.3341631567532775,0.13119694589446507,0.010961051918393583,0.006044038471876343,0.0,MetalliCan,Cu concentrate,BC-MAIN-599152a0,6862152.0,,63500.0
Gibraltar (Cu),0.8297693636480235,0.07468508920020822,0.006239681811391451,0.0006111818268815031,1.2351246663250777,MetalliCan,Cu concentrate,BC-MAIN-6b4800fe,30000000.0,,186436.98475294118
Highland Valley (Cu),0.7183999540219546,0.11537375566645025,0.009639078927920597,0.0035918876291064277,2.545259443096029,MetalliCan,Cu concentrate,BC-MAIN-bf503b6b,17408000.0,,343098.0392156863
Mount Milligan,0.9648844759965167,0.08485326299916718,0.007089197381917156,0.0005108384173790016,3.7206058738645993,MetalliCan,Cu concentrate,BC-MAIN-ed23117f,21680000.0,,93533.69434666667
Mount Polley,1.3048362100299449,0.11005584327052897,0.009194786269445032,0.004285004797744088,0.0,MetalliCan,Cu concentrate,BC-MAIN-3f490561,5948239.0,,45578.436133333336
Red Chris,30.421493900604954,0.4998296739712771,0.04175904836571043,0.004745261401437002,0.0,MetalliCan,Cu concentrate,BC-MAIN-8eb8be0d,1139000.0,0.15869132653061224,13333.333333333334
Goldex (Cu),0.4334359904647461,0.025054192863157576,0.0020931913372541633,7.72867498756557e-05,0.8642261077960498,MetalliCan,Cu concentrate,QC-MAIN-c0660aec,2886927.328724,4.474542118316694,130.12252666666666
Kidd Creek,0.3304928031223477,0.025391078786431986,0.0021213369946735394,0.0003003754410388715,0.0,MetalliCan,Cu concentrate,ON-MAIN-f8313ebd,1340000.0,,152533.33333333334
LaRonde (Cu),0.5728071972859065,0.039909052705826564,0.003334263564541917,0.000279732017732908,0.4407278022276415,MetalliCan,Cu concentrate,QC-MAIN-e51eda66,1501500.0,9.802902790306113,23998.078284
New Afton,0.27976641431450844,0.043486584443073184,0.003633154300962227,7.039982499120866e-05,1.6583858187907623,MetalliCan,Cu concentrate,BC-MAIN-aa76f6f2,3065000.0,,71667.53600000001
Snow Lake (Cu),0.07437195170811892,0.006224412153809089,0.0005200281635093507,0.000340782589750305,0.0,MetalliCan,Cu concentrate,GRP-a13779f8,2123641.0,32.97878714387755,109797.33333333334
Casa Berardi,20028.088358766832,1110.4623827973774,92.77530518426283,6.410883251724269,0.0,MetalliCan,Doré,QC-MAIN-b86f7d07,1361450.0,3.5165997959183577,
Fox Complex,3268.819580078125,3207.1087794228515,267.9428846906012,7.279968878556723,0.0,MetalliCan,Doré,ON-MAIN-4e0734b5,457000.0,1.453612551020408,
