Commodity,Climate change ST (kg CO2 eq (short)),Land occupation biodiversity (m2 arable land eq .yr),Land transformation biodiversity (m2 arable land eq),Particulate matter formation (kg PM2.5 eq),Water scarcity (m3 world-eq)
Copper Mountain,2.1089134958014037,0.21827022874800586,0.011710210657095533,0.0028817405011904037,0.37246667286769386
Gibraltar (Cu),1.8239386803484574,0.20125988767850514,0.00727833629088358,0.0028436065100029585,0.3977165943374341
Highland Valley (Cu),1.0848636295801308,0.15541953824414237,0.009973088211601259,0.0016329680715262017,0.22880009604623858
Mount Milligan,1.861857344843289,0.2519720917312656,0.008556157575955866,0.0008606155696362843,0.7527065453637914
Mount Polley,2.1412709630024622,0.21271522874925802,0.010079297914037975,0.023408970645840445,0.41896461578139854
Goldex (Cu),1.8825846848488503,0.25288545486887093,0.0027977560173449174,0.004671181505536892,0.47839848371680993
Kidd Creek,0.38304483731852124,0.033653800851139386,0.0021869105691814886,0.0027737039222547957,0.01416007254674101
LaRonde (Cu),1.067831224104326,0.19684911204364128,0.0035494151090725554,0.0014250763965807632,0.2074522780954419
New Afton,0.4770698803809337,0.076326184328174,0.0039039558011890567,0.0002097831448317731,0.14172200009217828
Snow Lake (Cu),1.7020487160843394,0.1128253555520924,0.0006746405222002729,0.0012429013645807421,1.8536399842425244
Casa Berardi,16340.75641108097,2495.832285509702,96.37885151504297,10.79196206876032,1662.598282296548
Hemlo,11557.111034021085,840.2718286802817,43.52108074476555,73.40546454196149,1698.29503496041
Meliadine,15103.643352058638,527.7375231155636,27.223791623406598,23.39145157333212,1739.5830321281103
Rainy River,45894.97387668272,3558.594792962497,159.16812374792346,102.32330904308724,9546.030861641111
Meadowbank complex,24798.813504340305,656.8177478953611,26.390049807332307,38.23831641356306,3629.865692178797
Porcupine complex,20869.903368436822,1701.8682877628912,108.72075278294264,61.16331105199719,3276.4678979315286
Canadian Malartic,15764.662167643839,1573.5514070570302,39.39260774662143,34.86370221494656,2897.563474255238
Detour Lake,31041.327158421554,1488.3875491760366,31.518859978063563,116.14112151743713,5514.975610496036
Kiena,8025.411046869231,2660.1379938666873,149.751838681484,5.110257104776958,1376.9433444661822
Brucejack,54197.02676872451,1250.5183072841435,20.395720220676502,34.484274338624516,10942.78381396348
Eagle River,9811.097059742491,331.77205714901635,8.054998522864363,68.30914285566148,1482.6507175595598
Éléonore,10042.799401810222,1182.3014173370868,12.195608006262619,20.404062606433826,1588.4484050555698
Goldex (Au),14131.153937048435,1898.2218184562498,21.000660720987817,35.06306236221952,3590.979295282411
Island,9272.66585794292,317.98374237675785,9.695267470242193,223.41231673688347,1281.2350458144838
LaRonde (Doré),8015.409521865664,1477.598878677494,26.642801941770806,10.696981345703048,1557.1889136618952
Macassa,24880.61759839398,1357.0356659331585,44.794530944433674,90.74307986040249,5622.953443967175
Musselwhite,12128.701026611081,490.33906178419596,16.321971575693013,93.49495807262885,1749.6205080966743
Red Lake,16912.712551519755,1424.2172237808531,92.61708052388016,433.0043971469394,2737.7336450052853
Seabee Gold Operation,60454.99031862591,488.1968543639728,24.81661445115445,35.04553000115886,6728.4813012534805
Snow Lake (Doré),12776.005546864642,846.8954806929964,5.064021477161102,9.32953012371129,13913.887681846587
Timmins Operation,38966.018818344666,863.5330406395163,23.020592549329933,44.9180896980813,4174.090280889093
Westwood-Doyon,11654.73630302955,2368.5421512777257,95.12263664640959,17.130757508356325,2038.712948137626
Nunavik Nickel,1.0636864292346782,0.07428978560745093,0.001906285641667092,0.0010304437963252007,0.1847470201427081
Thompson,1.0379839282362462,0.15683749873140979,0.011240839876850341,0.000658294875209573,0.29547866329020833
Voisey's Bay,3.240748457969537,0.12034479025761022,0.005651662500943741,0.030219954015117474,0.2246630806923102
Raglan,1.6816436751672408,0.10429211344340426,0.001068645290845421,0.0018884821221294976,0.163648356267242
Gibraltar (Mo),7.729270401034266,0.8528752479371866,0.03084326822151957,0.012050297214355351,1.685396109973187
Highland Valley (Mo),4.597306106224562,0.6586184568718648,0.04226276904107533,0.0069199977742441,0.9695818475974852
Kidd Creek (Zn),0.1431874017808473,0.012580251857916301,0.0008174971436009014,0.001036848457082883,0.005293229170686186
LaRonde (Zn),0.39916993714928867,0.07358489409767821,0.0013268200379052246,0.0005327130759771947,0.07754850321798763
Snow Lake (Zn),0.6362491121838987,0.04217566262415426,0.0002521898695276717,0.0004646135497342892,0.6929160021800735
Key Lake + McArthur River,28.283291574863156,1.1332493121300256,0.09024045034802074,0.020341248135289078,70.14912393647646
Cigar Lake + McClean Lake,15.503180311002073,0.4299374084264069,0.033559820268549256,0.060105493670901886,23.7139524535618
Market for Doré,18788.971582763388,1238.195539134631,36.99605701731203,55.700028233406016,5075.7024665956005
Market for Cu concentrate,1.3564691188812674,0.16398993037701223,0.00784325804990266,0.0029194786609804675,0.38154299398669966
Market for Ni concentrate,1.489414516186349,0.09357877843574482,0.0029089450381601617,0.005001353402820622,0.1934462038085133
Market for U concentrate,20.980371369098624,0.7313568115354236,0.05785152011551395,0.043063675777627285,43.61474113638124
Market for Mo concentrate,5.778859660444197,0.7319030732689593,0.03795468934708887,0.008855436038249837,1.2396273545890548
Market for Zn concentrate,0.3785628578003228,0.031051301991145117,0.0006240268407618295,0.0007439755622423614,0.306452527935986
