technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,subflow_type_agg
TECH-7607a50e-2023-1,2023,Energy,Electricity consumption|Generated on-site,GJ,717.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,717000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,439008.0,,439008.0,1.6332276404985786,main_id,Electricity
TECH-7607a50e-2023-2,2023,Energy,Diesel,GJ,211308.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,211308000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,439008.0,,439008.0,481.33063634375685,main_id,Diesel
TECH-7607a50e-2023-3,2023,Energy,Gasoline,GJ,14406.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,14406000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,439008.0,,439008.0,32.81489175595889,main_id,Gasoline
TECH-7607a50e-2023-4,2023,Energy,Propane,GJ,72011.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,72011000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,439008.0,,439008.0,164.03117938625263,main_id,LPG-Propane
TECH-7607a50e-2023-5,2023,Energy,Electricity consumption,GJ,334179.0,,ON-MAIN-7607a50e,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,334179000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,439008.0,,439008.0,761.213918652963,main_id,Electricity
TECH-687b8c8d-2023-1,2023,Energy,Electricity consumption|Generated on-site,GJ,475.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,475000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,0.165042474983904,main_id,Electricity
TECH-687b8c8d-2023-2,2023,Energy,Diesel,GJ,140100.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,140100000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,48.6788436741999,main_id,Diesel
TECH-687b8c8d-2023-3,2023,Energy,Gasoline,GJ,2124.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,2124000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,0.7380004565596044,main_id,Gasoline
TECH-687b8c8d-2023-4,2023,Energy,Naphta,GJ,6344.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,6344000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,2.2042725501008147,main_id,Naphtha
TECH-687b8c8d-2023-5,2023,Energy,Natural gas,GJ,221612.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,221612000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,77.00082729712197,main_id,Natural gas
TECH-687b8c8d-2023-6,2023,Energy,Electricity consumption,GJ,960748.0,,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,SRC_AlamosGoldInc_Data_2023,960748000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,2878047.0,,2878047.0,333.81942685439117,main_id,Electricity
TECH-f9e41c2a-2023-1,2023,Energy,Diesel|Mobile equipment,GJ,191632.0,,QC-MAIN-f9e41c2a,,CMP-64d60fd7,SRC_EldoradoGold_ESG_2023,191632000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,838419.0,,838419.0,228.56352253467537,main_id,Diesel
