Commodity,"Climate change, ecosystem quality, long term (PDF.m2.yr)","Climate change, ecosystem quality, short term (PDF.m2.yr)","Climate change, human health, long term (DALY)","Climate change, human health, short term (DALY)",Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),"Freshwater ecotoxicity, long term (PDF.m2.yr)","Freshwater ecotoxicity, short term (PDF.m2.yr)",Freshwater eutrophication (PDF.m2.yr),"Human toxicity cancer, long term (DALY)","Human toxicity cancer, short term (DALY)","Human toxicity non-cancer, long term (DALY)","Human toxicity non-cancer, short term (DALY)","Ionizing radiations, ecosystem quality (PDF.m2.yr)","Ionizing radiations, human health (DALY)","Land occupation, biodiversity (PDF.m2.yr)","Land transformation, biodiversity (PDF.m2.yr)","Marine acidification, long term (PDF.m2.yr)","Marine acidification, short term (PDF.m2.yr)","Marine ecotoxicity, long term (PDF.m2.yr)","Marine ecotoxicity, short term (PDF.m2.yr)",Marine eutrophication (PDF.m2.yr),Ozone layer depletion (DALY),Particulate matter formation (DALY),"Photochemical ozone formation, ecosystem quality (PDF.m2.yr)","Photochemical ozone formation, human health (DALY)",Terrestrial acidification (PDF.m2.yr),"Terrestrial ecotoxicity, long term (PDF.m2.yr)","Terrestrial ecotoxicity, short term (PDF.m2.yr)",Thermally polluted water (PDF.m2.yr),"Water availability, freshwater ecosystem (PDF.m2.yr)","Water availability, human health (DALY)","Water availability, terrestrial ecosystem (PDF.m2.yr)",Total human health (DALY),Total ecosystem quality (PDF.m2.yr),"Climate change, ecosystem quality, long term (PDF.m2.yr) (%)","Climate change, ecosystem quality, short term (PDF.m2.yr) (%)",Fisheries impact (PDF.m2.yr) (%),Freshwater acidification (PDF.m2.yr) (%),"Freshwater ecotoxicity, long term (PDF.m2.yr) (%)","Freshwater ecotoxicity, short term (PDF.m2.yr) (%)",Freshwater eutrophication (PDF.m2.yr) (%),"Ionizing radiations, ecosystem quality (PDF.m2.yr) (%)","Land occupation, biodiversity (PDF.m2.yr) (%)","Land transformation, biodiversity (PDF.m2.yr) (%)","Marine acidification, long term (PDF.m2.yr) (%)","Marine acidification, short term (PDF.m2.yr) (%)","Marine ecotoxicity, long term (PDF.m2.yr) (%)","Marine ecotoxicity, short term (PDF.m2.yr) (%)",Marine eutrophication (PDF.m2.yr) (%),"Photochemical ozone formation, ecosystem quality (PDF.m2.yr) (%)",Terrestrial acidification (PDF.m2.yr) (%),"Terrestrial ecotoxicity, long term (PDF.m2.yr) (%)","Terrestrial ecotoxicity, short term (PDF.m2.yr) (%)",Thermally polluted water (PDF.m2.yr) (%),"Water availability, freshwater ecosystem (PDF.m2.yr) (%)","Water availability, terrestrial ecosystem (PDF.m2.yr) (%)","Climate change, human health, long term (DALY) (%)","Climate change, human health, short term (DALY) (%)","Human toxicity cancer, long term (DALY) (%)","Human toxicity cancer, short term (DALY) (%)","Human toxicity non-cancer, long term (DALY) (%)","Human toxicity non-cancer, short term (DALY) (%)","Ionizing radiations, human health (DALY) (%)",Ozone layer depletion (DALY) (%),Particulate matter formation (DALY) (%),"Photochemical ozone formation, human health (DALY) (%)","Water availability, human health (DALY) (%)"
Aluminium primary ingot,3.0087723078133823,0.8830521153964651,4.054914130603898e-05,1.1900869069096908e-05,6.7113032428729e-19,0.12165226814100835,1.2347080443751783,0.2380456655710469,0.00019309412079114764,7.260503423123143e-08,1.8329363065923327e-06,1.4200832193884774e-06,2.8549989039360227e-07,1.4933044638246485e-10,2.2999251661504124e-09,0.4226208585730473,0.12108266929373568,1.0315431383413345,0.11197241792496407,6.94788055988256e-07,5.12380321552611e-07,0.005439835284823041,9.908090805150267e-11,1.1478933646109278e-05,0.17306600977667067,1.758869262918014e-08,0.760813617650263,0.02536548076714762,0.0187018814220813,0.004699564870784083,9.201325919677705e-05,1.1238719631777999e-05,0.00020090468035636734,7.879877593634961e-05,8.162023162079478,36.863069952950525,10.819034666540759,8.222597644727865e-18,1.490467078140641,15.127475380265961,2.91650318608504,0.0023657629604416867,1.829576361364052e-09,5.177893399476389,1.483488430372046,12.638326525877233,1.3718708670809054,8.51244896260796e-06,6.27761415739562e-06,0.06664812359387016,2.1203812625860987,9.321385182842668,0.31077442765655094,0.22913291289063836,0.05757843095346904,0.001127333963278467,0.0024614568761549788,51.459100505308484,15.10286032705627,0.09213979959521042,2.3260974359207087,1.8021640596746855,0.36231513370742874,0.0029187320980825853,0.00012573914616584417,14.567400964935656,0.02232102265571683,14.262556109826086
Aluminium primary liquid,2.9409531749981785,0.8622684153481812,3.963514472480731e-05,1.1620767715600073e-05,6.605672813748994e-19,0.12037313578981862,1.2084387116266648,0.2300363060360057,0.00018634764896384952,4.9806413815359486e-08,1.2206343289048203e-06,1.4081240881128318e-06,2.8099733195121964e-07,1.327508102430728e-10,2.046765677155103e-09,0.4142084124695608,0.11072896474712901,1.0071274567124662,0.10932203666251841,6.702430245492369e-07,4.935018505784004e-07,0.005156030518625918,9.707286476141506e-11,1.132123428395845e-05,0.1692296213349102,1.7202564311418312e-08,0.7524083692338591,0.024469376017757206,0.01801281722315006,0.004664690789953915,9.129535216682166e-05,1.1151032749423875e-05,0.000192055693790484,7.670708817250713e-05,7.977868448404632,36.86389659115391,10.80825562523048,8.279997165245258e-18,1.5088383139971449,15.147388296034405,2.88343067479393,0.0023358074925529044,1.6639884588422808e-09,5.191968445561318,1.3879517500601548,12.624016843921082,1.3703163616890675,8.401279475638236e-06,6.185886039235055e-06,0.06462917447149673,2.1212385542500614,9.431195489119922,0.30671571204775194,0.22578483638386093,0.05847038993086847,0.0011443577035301752,0.0024073559877875674,51.67077211387758,15.149535711049342,0.06493065374004223,1.5912927448891383,1.8357157358731846,0.36632511889811625,0.0026682875415008802,0.0001265500582463868,14.759045811383222,0.022426303385068326,14.537160795813598
Cadmium,1.7495102724702547,0.5258066218973984,2.3578101658395318e-05,7.086281372670784e-06,4.7121568163747775e-18,0.06934310055336308,2.215144666370848,0.148208761655796,0.0002130022453628968,1.348415227215413e-07,2.0852644868814008e-05,7.5856366665453584e-06,5.963615939709355e-06,2.109782846202285e-09,2.784765563942174e-08,0.19967827767520727,0.26288718949944256,0.6281997690380346,0.06819254041174656,5.567139212377165e-07,1.0400403955167215e-06,0.009776080391400778,9.188526734279133e-11,3.7937393607478965e-06,0.22868990940881112,2.350189317076615e-08,0.4669672910295436,0.020324101618962427,0.03796147348576718,0.001744948046855015,5.3929512329008514e-05,6.587079669101133e-06,0.0007043841220583608,7.563338336527082e-05,6.633407955026033,26.374230023719214,7.92664382263724,7.103674081743228e-17,1.0453616153793595,33.39376503585108,2.2342778050232903,0.0032110530033285264,3.180541375574126e-08,3.0101914284333144,3.963078877129167,9.470241741457453,1.0280166827381407,8.39257776714762e-06,1.5678824558479006e-05,0.1473764384413232,3.447547790808437,7.039628712654851,0.30639004500790823,0.5722770820540947,0.02630545352683901,0.0008129985777242441,0.010618736655939568,31.174199287800025,9.369250795574812,0.17828307649589767,27.570688948432103,10.029482126841513,7.884899067529638,0.0368192647219439,0.00012148771250789108,5.01595881599804,0.03107343890364384,8.709222536414753
Copper concentrate CA,0.4690857221670826,0.14679034684090242,6.321855332459861e-06,1.978289460378152e-06,6.86095450594936e-19,0.030580511304932348,8.215391739099854,0.046599744071736754,0.00013191804672975938,1.5813479822410865e-08,5.461883609023626e-07,4.969485875452965e-07,3.017430045376681e-07,1.2992237175798633e-09,1.286584761659139e-08,0.5310157186493746,1.0598634120568975,0.1657061350445947,0.01798757429391302,7.380183227738162e-07,7.079652532821531e-06,0.010923350446569379,1.7188007320509857e-11,3.054721070886566e-06,0.1774380669244061,1.8123086096959395e-08,0.2572813919519928,0.026939158849839797,0.25840730858220035,0.0006733846996375914,3.819405164215677e-05,4.6651128517151115e-06,7.486520938339559e-05,1.7411678263848352e-05,11.414936375319979,4.109402862562459,1.285949759284468,6.0105061301815936e-18,0.2678990955310964,71.9705434089164,0.4082348121754686,0.0011556616908962973,1.1381786764829374e-08,4.651937612175165,9.284882343701963,1.4516606102410246,0.15757927773302022,6.4653739496040635e-06,6.202095482659295e-05,0.09569348516200714,1.5544376340812696,2.2539012351243244,0.23599920283466888,2.263764773502356,0.005899154208984502,0.00033459714873869487,0.0006558530588506849,36.308133177407996,11.361853983286892,0.09082111203056281,3.136908186710563,2.8541107871095037,1.732992075578224,0.07389205923535004,9.871539698845172e-05,17.54409324935118,0.10408580851501334,26.793010880526243
Copper concentrate CA (gold),0.41149345205076077,0.1251007975241235,5.5456858966278214e-06,1.6859800046527904e-06,7.197063317729182e-19,0.01304304429723744,0.15119469033404775,0.035059281590956205,0.0001912805021672397,7.0857076959604395e-09,4.2058611740823963e-07,2.372096141811499e-07,2.689252372013835e-06,2.1423133005751226e-10,2.355912402151403e-09,0.1457633894612145,0.43790294285602793,0.14791023561133754,0.016055947434687984,9.294379439299315e-08,5.022698978287036e-07,0.00670655849206752,1.5755991060038157e-11,9.861764601238406e-07,0.05308498911122599,5.438528578284332e-09,0.08906378704183049,0.0033927308557070855,0.018332850663923976,0.0012256961984501743,2.1093337073410656e-05,2.5763906586482362e-06,3.8015765302115457e-05,1.4156176937395269e-05,1.6555813872093672,24.85492137262852,7.55630611038653,4.347151625001345e-17,0.7878225980314189,9.132422694658349,2.117641685381098,0.011553675563462353,1.2939945551007832e-08,8.804362659990515,26.450100625626938,8.934035907510031,0.9698071963560633,5.613967100080676e-06,3.033797684059043e-05,0.40508781651453774,3.206425822454163,5.379607896652884,0.2049268542107641,1.1073361180283416,0.0740341856896686,0.0012740743062450944,0.0022962184520686404,39.1750252992262,11.909853995954716,0.05005382263372732,2.9710430949560265,1.6756615520574045,18.997024294813993,0.016642292707771775,0.00011130117354224914,6.966403884926977,0.0384180602032304,18.19976304366743
Gold production,4386.115751103494,1328.2315473999897,0.059111560925941976,0.01790054000655111,1.523991603050137e-15,54.989173064940275,3095.573866241926,363.71083838532604,0.6261048458781338,3.4153425521296337e-05,0.0005554298445070834,0.0010137869352997834,0.00043375063084586307,1.7362122284484714e-05,0.0001679611502378135,1914.1271159135147,-518.7022286072024,1576.6890957051783,171.15327163825458,0.0007444957378446311,0.0005860471092031222,13.986408834816242,1.5866809323616575e-07,0.005078513648013686,278.0815992140844,2.756601767747778e-05,394.0971756739215,27.17584223286655,21.39071903489737,4.811062066624487,0.16148024750139456,0.019723583791908972,14.977891814498522,0.10404700497350383,13127.198151015586,33.41242891777453,10.118164837004697,1.1609420270175728e-17,0.41889497234934353,23.581375329528615,2.7706661711142644,0.004769523844124308,1.3226068567527104e-07,14.581383581578894,-3.951355214113782,12.01085774410435,1.3038065676262631,5.671398643335274e-06,4.464373146967258e-06,0.10654527092465793,2.118362166968361,3.002142354676289,0.20701936483501693,0.16294961642856343,0.03664957298029572,0.0012301196770531085,0.1140981620159345,56.81236181761798,17.204281863864882,0.032824996288930854,0.5338258844149592,0.974354750103523,0.4168794968738602,0.16142814517398726,0.00015249655026261592,4.880980139031353,0.026493811796406468,18.956416666613034
Gold mining and beneficiation,1144.9556345193844,348.08540064123895,0.015430535487197607,0.004691137362889463,2.0025394304162926e-15,36.29148169752274,420.69007669874634,97.55033165479406,0.5322264361887591,1.9715552810469964e-05,0.001170255446598415,0.0006600213951450569,0.007482682061187133,5.960857427023273e-07,6.555183989811638e-06,405.57782459773836,1218.438495660606,411.5512817709288,44.67470232523535,0.00025861048776728256,0.0013975355584715694,18.66059360587341,4.3840092122783365e-08,0.0027439763327498706,147.70577076021098,1.5132376761425388e-05,247.81459943949866,9.440068454141764,51.01004619576228,3.410425655098075,0.05869093778523293,0.007168651566659356,0.10577656809835428,0.03938870635307978,4606.555108438275,24.85492103246649,7.556306012786368,4.347151794077197e-17,0.7878225885335466,9.132422532580309,2.1176416944649517,0.011553675656974734,1.2939945982854281e-08,8.804362805837316,26.450101365957256,8.934035783421983,0.9698071828859782,5.613967089931488e-06,3.0337975462652508e-05,0.4050878186975552,3.2064257841970445,5.3796078328804215,0.20492685384029102,1.1073360677336133,0.07403418769159771,0.0012740743658471172,0.0022962184454190736,39.17502481264176,11.909853857189868,0.05005382160495458,2.9710431109573956,1.6756615188847148,18.997024157413247,0.016642293176757483,0.00011130117280268466,6.9664037913632075,0.0384180598006418,18.19976391811315
Gold operation refinery,9214.527340862016,2875.0873898657833,0.12418393067734967,0.03874747356238057,1.396783656331357e-14,245.6292890724456,3075.66896647654,943.6152380296086,2.825179490345522,0.00012732098560685304,0.011224644879913467,0.003810215449494712,0.0732292571811687,3.1242638246536083e-06,3.7968523089957064e-05,1562.8638711439025,1085.5877057743419,3275.204519322264,355.52905664222897,0.001723818123557627,0.015110352027956814,315.9378392730616,4.773464597120053e-07,0.02771361882006317,1375.8334339798655,0.0001400066441424111,1760.5087742437413,62.925969289792,551.5278299026854,19.289480561246524,0.2645839184660872,0.03231691285227001,31.430253136479585,0.3115318242423406,26754.273756392668,34.441328607024126,10.746273346996794,5.2207870378003044e-17,0.9180936522851978,11.495991236695929,3.526970108108956,0.010559731563150628,1.1677625238872711e-08,5.841548476981072,4.05762352459652,12.241799381826562,1.3288682768198066,6.44315050093908e-06,5.6478273959300975e-05,1.180887368312778,5.142480960265736,6.580289901620243,0.23519969131943438,2.0614569280577215,0.07209868874365351,0.000988940760923729,0.11747750442663255,39.862357876075926,12.437725634167927,0.04086933523292633,3.6030491931963318,1.223058176724425,23.506188287269058,0.012187686822140312,0.00015322558485732023,8.895919024473322,0.044941361763894766,10.373551058825592
Molybdenite CA,3.2613565963558093,1.0205718134889992,4.395321284663039e-05,1.3754218214175654e-05,4.770134384290855e-18,0.21261349077826097,57.1181790286914,0.32398850866319007,0.000917170943379038,1.0994450337497563e-07,3.797419003047841e-06,3.455075435969077e-06,2.0978927475874363e-06,9.032958319646293e-09,8.945084959060307e-08,3.6919300084665307,7.368786647894806,1.152085367261972,0.12506007174071065,5.131132432175924e-06,4.922186034610196e-05,0.0759454819116682,1.1950101828809745e-10,2.1238196471453157e-05,1.2336525866562937,1.2600222956268208e-07,1.7887697932586155,0.18729669359708084,1.7965978409926224,0.004681761833374314,0.0002655472561173197,3.243457721785817e-05,0.0005205064511836447,0.00012105610897771794,79.36327337600864,4.109402822769292,1.2859497473771238,6.010506096051297e-18,0.26789909454835265,71.97054329913529,0.40823481048745547,0.0011556616862735112,1.1381786480567394e-08,4.651937667660007,9.28488245814011,1.4516605959580355,0.15757927618257248,6.465373987115627e-06,6.202095535159924e-05,0.09569348475818586,1.5544376311338295,2.253901228070259,0.23599920420331386,2.26376479266508,0.005899154148031402,0.0003345971566208031,0.0006558530527308023,36.30813283014126,11.36185387943314,0.0908211112214192,3.1369081949815594,2.854110763303182,1.7329920524486564,0.07389205744839175,9.871539676704236e-05,17.544093107570756,0.1040858083303128,26.79301151487382
Nickel concentrate CA,0.19352752202850224,0.05988375153809857,2.6081650736407268e-06,8.070516700454577e-07,1.694847037000233e-19,0.004102390266250737,0.027153839490939212,0.010861976032337115,2.527149283550022e-05,2.0722393942469664e-09,4.052864972767212e-08,6.263542116588081e-08,2.922093831838162e-08,1.2017384524009407e-11,1.821170398174475e-10,0.029213925509208698,0.14115247955603757,0.06896175849641303,0.007485930472137421,1.7770818392026352e-08,2.5818552320122455e-08,0.001722971219969771,7.91349387330598e-12,5.117127208619637e-07,0.02871889227384243,2.920935093446723e-09,0.030425389808399685,0.0006486922656599423,0.0009423771414627507,2.323227317577842e-05,1.383124251740363e-06,1.6893810540873557e-07,0.00030718601438047493,4.233435778365296e-06,0.6051590173867205,31.979614691064,9.895539819714937,2.800663938412668e-17,0.6779028566683568,4.48705855994654,1.7948961711324682,0.004176008637305116,1.9858225984807265e-09,4.827479169915408,23.324857682131434,11.395642552632367,1.2370187433485134,2.9365535142757525e-06,4.266407932185431e-06,0.2847137976081292,4.745676995421837,5.027668585322701,0.10719368744784023,0.15572388651370528,0.0038390361059318194,0.00022855550557821267,0.050761205824381025,61.60870768300274,19.06375134281814,0.04894935231655134,0.9573465111905372,1.4795410736115366,0.6902416818914171,0.004301873214851754,0.00018692840254592704,12.087409556961724,0.0689967970784859,3.9905673371043684
