Commodity,Total HH (DALY),Total EQ (PDF.m2.yr)
Aluminium primary ingot,7.879877593634961e-05,8.162023162079478
Aluminium primary liquid,7.670708817250713e-05,7.977868448404632
Cadmium,7.563338336527082e-05,6.633407955026033
Copper concentrate CA,1.7411678263848352e-05,11.414936375319979
Copper concentrate CA (gold),1.4156176937395269e-05,1.6555813872093672
Gold production,0.10404700497350383,13127.198151015586
Gold mining and beneficiation,0.03938870635307978,4606.555108438275
Gold operation refinery,0.3115318242423406,26754.273756392668
Molybdenite CA,0.00012105610897771794,79.36327337600864
Nickel concentrate CA,4.233435778365296e-06,0.6051590173867205
Sulfidic tailings copper CA,0.0,-0.0012351222870396472
Sulfidic market tailings gold CA,0.0,-0.0012351222870396472
Sulfidic tailings gold CA,0.0,-0.0012351222870396472
Sulfidic tailings nickel CA,0.0,-0.0012351222870396472
Tellurium,8.530122088272127e-05,10.108101582378959
