main_id,facility_group_id,company_id,year,flow_type,subflow_type_agg,value_normalized_sum,ore_type,mining_method,mining_submethod,facility_name,facility_group_name,company_name,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owners,operators,operation_periods,company_URL,facility_URL,MDO_URL,source_id,facility_id
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Diesel,11.79804819,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,,BC-MAIN-599152a0
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Electricity,286.7904995,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,,BC-MAIN-599152a0
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,Gasoline,0.053627492,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,,BC-MAIN-599152a0
BC-MAIN-599152a0,nan,CMP-12afc634,2023,Energy,LPG-Propane,1.474756024,Sulfide,Concentrator,,Copper Mountain,,Hudbay Minerals Inc,Princeton,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, gold, silver",Hudbay Minerals Inc (100%),Copper Mountain Mine Ltd,1884–1958; 2011–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,,BC-MAIN-599152a0
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Diesel,56.12176667,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,BC-MAIN-6b4800fe
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Electricity,56.52216667,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,BC-MAIN-6b4800fe
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Gasoline,1.293033333,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,BC-MAIN-6b4800fe
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,LPG-Propane,0.0151,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,BC-MAIN-6b4800fe
BC-MAIN-6b4800fe,nan,CMP-e35f138c,2023,Energy,Natural gas,6.232566667,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Gibraltar,,Taseko Mines Limited,north of Williams Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, molybdenum, silver",Taseko Mines Limited (100%),,1972–1998; 2004–open,https://www.tasekomines.com/,https://www.tasekomines.com/properties/gibraltar-mine/,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,,BC-MAIN-6b4800fe
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Aviation fuel,106.2966773,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,,BC-MAIN-857b7b89
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Diesel,1195.534555,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,,BC-MAIN-857b7b89
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Electricity,1123.89193,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,,BC-MAIN-857b7b89
BC-MAIN-857b7b89,nan,CMP-4a434d72,2023,Energy,Gasoline,21.99364355,Sulfide,"OP, concentrator",Surface – Truck & Shovel,Brucejack,,Newmont Corporation,Stewart,British Columbia,active_facility,,,mining,"Underground, concentrator",Precious metals,"Gold, silver","Newmount Corporation (70%), Imperial Metals Corp (30%)",,2017–open,https://www.newmont.com/home/default.aspx,https://operations.newmont.com/north-america/red-chris-canada,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,,BC-MAIN-857b7b89
