tech_attr_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,method,comment,source,source_id,value_%,archetype_id,ore_type,mining_method,mining_submethod,mining_depth
TA-7607a50e-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.0009480000000000001,ARCH-7607a50e-1,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-7607a50e-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill recovery rate,Reported,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,97.0,ARCH-7607a50e-1,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-7607a50e-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.0009429999999999999,ARCH-7607a50e-1,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-687b8c8d-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.00022,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-687b8c8d-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill recovery rate,Reported,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,90.0,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-687b8c8d-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,nan,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore grade,Reported,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023,0.00022,ARCH-687b8c8d-1,,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-f9e41c2a-2023-1,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,nan,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Gold,Crude ore,Head grade,Reported,,Data.xlsx,SRC_EldoradoGold_Data,0.000676,ARCH-f9e41c2a-1,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-f9e41c2a-2023-2,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,nan,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Gold,Crude ore,Recovery rate,Reported,,Data.xlsx,SRC_EldoradoGold_Data,0.971,ARCH-f9e41c2a-1,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,
TA-02884fb5-2023-1,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,nan,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Head grade,Reported,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data,0.000303,ARCH-02884fb5-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
TA-02884fb5-2023-2,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,nan,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Ore grade,Reported,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data,0.000319,ARCH-02884fb5-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
TA-02884fb5-2023-3,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,nan,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Recovery rate,Reported,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data,93.0,ARCH-02884fb5-1,Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",
